session,subject,unit,mean_rate_hz,baseline_hz,evoked_hz,driven_hz,p_responsive,p_frequency,bf_hz,bf_idx,best_hz,selectivity_index,sparseness,bf_split_a,bf_split_b,bf_split_match,split_half_r,q_responsive,q_frequency,responsive,enhanced,suppressed,freq_tuned,latency_s
LA11_ses-1,LA11,32,3.394127764719342,3.716932993151605,3.590707667517121,-0.1262253256344837,8.698492940479923e-07,0.18073240162185342,32000.0,4,0.0673854447439353,0.14386408772765488,0.7581101611605945,8000.0,32000.0,False,0.3730885413295253,1.2464303908614524e-06,0.20718104576163685,True,False,True,False,
LA11_ses-1,LA11,33,3.970594317661424,4.306432120316906,3.934470256479119,-0.371961863837787,1.329736382017339e-18,0.3355322959962213,4000.0,1,0.1232876712328767,0.18692057893560557,1.0,4000.0,32000.0,False,0.6414965086647898,2.4999043981925973e-18,0.37547661694815243,True,False,True,False,
LA11_ses-1,LA11,34,31.99342890299751,32.1082315026185,41.65167181415335,9.543440311534846,2.1180994231555e-161,1.0847530020663197e-196,8000.0,2,25.910629654705485,0.2822950297394637,0.6573682806397076,8000.0,8000.0,True,0.9978380759221792,1.3826482345598404e-160,6.372923887139628e-196,True,True,False,True,0.011000000000000093
LA11_ses-1,LA11,35,28.071172255290225,28.65449174164093,30.903719618638377,2.2492278769974487,9.446428855967655e-11,1.7982690080573828e-15,8000.0,2,6.533513879485444,0.10789269817093192,0.6240959023091766,8000.0,8000.0,True,0.9878079721855121,1.5101433885390469e-10,3.643044973219698e-15,True,True,False,True,0.023000000000000104
LA11_ses-1,LA11,36,5.480482524745383,5.60091311937693,6.4428628978111995,0.8419497784342689,0.4995656785061061,9.71204551941552e-07,8000.0,2,2.3019634394041977,0.15910674846625764,0.5438803457132387,8000.0,8000.0,True,0.83542992574706,0.5194598869421899,1.678184336075476e-06,False,False,False,False,0.027000000000000107
LA11_ses-1,LA11,37,0.675001034002442,0.7318383241573788,0.8862629246676514,0.1544246005102726,0.002999051579591423,0.045179423289032565,2000.0,0,0.357839947950553,0.2159510288215789,0.4829660906684603,2000.0,8000.0,False,-0.10343042723540762,0.003768861610716494,0.05833606853254205,True,True,False,False,
LA11_ses-1,LA11,38,1.070201324616502,1.1843695447831342,1.2165972874983215,0.03222774271518732,0.00034783241207990455,0.3553673519799756,8000.0,2,0.22342586323628977,0.1964761319401762,0.7151595630024079,8000.0,32000.0,False,-0.31799927939000583,0.0004516056178937988,0.3939213571476145,True,True,False,False,0.013000000000000095
LA11_ses-1,LA11,39,2.7017304813652734,2.9327245870820464,2.9944944272861553,0.061769840204109035,1.1373895980253223e-06,0.002036485745897323,8000.0,2,0.6635071090047393,0.1581322305707865,0.7606159069276724,8000.0,8000.0,True,0.67926202480674,1.6005182966224594e-06,0.0029725102502228,True,True,False,True,0.013000000000000095
LA11_ses-1,LA11,40,29.871750461081906,30.37733315429032,32.7997851483819,2.4224519940915803,1.642401708069451e-11,1.0440962866048266e-21,8000.0,2,7.257955314827353,0.09363823718211693,0.6765979035418962,8000.0,8000.0,True,0.9669447286007886,2.699051758016231e-11,2.3367869271631834e-21,True,True,False,True,0.03900000000000012
LA11_ses-1,LA11,41,3.568090258235612,3.5813079092251914,4.850275278635692,1.2689673694105008,0.19882629617002,4.808362022517786e-27,8000.0,2,3.8050101557210563,0.40447918942377525,0.6667384859619521,8000.0,8000.0,True,0.95472300558664,0.21531879999979125,1.2020905056294464e-26,False,False,False,False,0.0170000000000001
LA11_ses-1,LA11,42,3.905922764728276,3.716932993151605,5.051698670605613,1.3347656774540084,0.019570831806839682,2.1104947356193806e-17,8000.0,2,3.6560595802301963,0.3023915617510282,0.6172605754963872,8000.0,8000.0,True,0.9832225597424991,0.022987855295863342,4.4282702042013793e-17,False,False,False,False,0.023000000000000104
LA11_ses-1,LA11,43,0.5577423456246816,0.543843158318786,0.5962132402309654,0.0523700819121794,0.03081356212473483,0.422406710465986,8000.0,2,0.13540961408259986,0.12478151247505757,0.5026239767567132,4000.0,16000.0,False,-0.7027943382135149,0.03549601519270924,0.4638578362593771,False,False,False,False,
LA11_ses-1,LA11,44,0.5256057628529738,0.5317577548005908,0.2846783939841547,-0.24707936081643614,1.7982383245803053e-06,0.05488447899288745,4000.0,1,0.0136986301369863,0.5335649534762988,1.0,4000.0,4000.0,True,0.7888439014721017,2.485800036919834e-06,0.06824260615517752,True,False,True,False,
LA11_ses-1,LA11,45,2.384879710731823,1.9954344031153484,6.996105814421915,5.000671411306566,6.91734294231588e-136,1.3085871648811762e-23,8000.0,2,7.345971563981043,0.3373194100233719,0.13110540479023228,8000.0,8000.0,True,0.9778429091693532,3.9648185157176386e-135,3.0447325123472914e-23,True,True,False,True,0.009000000000000091
LA11_ses-1,LA11,46,1.793008845386774,1.9350073855243721,0.6015845306834967,-1.3334228548408755,7.018866536739641e-95,0.1274098205509605,4000.0,1,-0.9383561643835616,0.5200251565135358,,2000.0,4000.0,False,0.8217190491045326,3.2341836002623834e-94,0.14822429618552335,True,False,True,False,
LA11_ses-1,LA11,47,1.0735212195309347,1.212568819658923,0.40016113871357595,-0.8124076809453471,5.685999782215546e-43,0.04838277909237511,4000.0,1,-0.4863013698630137,0.6051919956733368,,2000.0,4000.0,False,0.5376803356639358,1.629524327830065e-42,0.06188056559542927,True,False,True,False,
LA11_ses-1,LA11,48,0.588816562023771,0.5250436417349268,1.2649389015711026,0.7398952598361757,0.0015315934962290404,4.1187986836192645e-20,16000.0,3,1.7192746809939556,0.5614191167188637,0.5902591404895263,16000.0,16000.0,True,0.993488521264904,0.0019455376843990513,9.045959725705862e-20,True,True,False,True,0.03300000000000011
LA11_ses-1,LA11,49,7.813571874812058,7.476836309923459,2.4681079629380958,-5.008728346985364,6.517687037204469e-288,4.4925125550257485e-11,32000.0,4,-3.4838274932614555,0.5009339576776439,,32000.0,32000.0,True,0.9116970032915792,5.890986360550193e-287,8.445923603448407e-11,True,False,True,False,
LA11_ses-1,LA11,50,1.4798763570574887,0.9829461528132134,4.761648986168927,3.7787028333557138,1.0610862746123754e-90,2.9693285656557365e-29,8000.0,2,6.2017603249830735,0.4724267259341575,0.1850238353666485,8000.0,8000.0,True,0.9939873567788969,4.617690269146448e-90,7.668046295924155e-29,True,True,False,True,0.009000000000000091
