unit,pseudo_r2,glm_baseline_hz,glm_bf_hz,emp_bf_hz,r_glm_emp,glm_2000,glm_4000,glm_8000,glm_16000,glm_32000,emp_2000,emp_4000,emp_8000,emp_16000,emp_32000
58,0.22000718116760254,0.6028913821231203,4000.0,4000.0,0.9974994087290759,12.184824529742114,14.184898916338794,0.2868320380200071,-0.11688387050736715,-0.09944516077149679,18.106701366297983,20.363013698630137,2.037914691943128,-0.34922766957689727,-0.10107816711590296
75,0.13943469524383545,1.652974323276578,8000.0,2000.0,0.9889771980509006,6.613472743984165,0.4709146461448088,6.77644042586893,1.8618691406211272,-0.07424481296926588,22.765126870527002,1.3493150684931507,19.079214624238322,4.781732706514439,0.02021563342318059
69,0.1871291995048523,0.6608165247331059,2000.0,2000.0,0.9984509029825906,8.989330913316211,2.3835822599043452,7.122275974046191,0.23781439233919022,0.17005875278612015,19.310344827586206,6.684931506849315,15.524712254570074,1.3901947615849564,0.9097035040431267
67,0.1359003186225891,6.728422861040219,4000.0,4000.0,0.9957486789926153,29.948067922651187,40.90419508939924,27.918153066694156,18.883261938154117,6.856780309736148,59.03057905009759,79.0,59.41773865944482,36.92411014103425,12.890835579514825
84,0.11756861209869385,1.5794519411677233,4000.0,4000.0,0.9997560972140719,0.03958759435473769,5.609767533624757,-0.004783533727537703,-0.5181435572260729,-0.3988300787562242,-0.08458035133376708,17.034246575342465,-0.6093432633716994,-1.7662860980523842,-1.408355795148248
64,0.3486001491546631,0.5906521890177895,4000.0,4000.0,0.9995809129561792,19.028673448799594,25.390545168159946,7.496645250557406,0.31068221592758405,0.02226702236984479,32.30969420949902,42.88356164383562,14.299255247122545,1.2558764271323035,0.4919137466307278
62,0.05312228202819824,5.261740348516245,8000.0,8000.0,0.9891051710539741,4.004705765070181,0.9593013308660794,12.981465675653677,3.219671585382681,10.023558952631216,6.115810019518543,1.36986301369863,25.551794177386594,5.19140362659503,23.08625336927224
61,0.1610938310623169,0.9602169080504385,4000.0,4000.0,0.9993718218769454,0.7958529905549082,16.268165202545266,0.48165795366678565,-0.22755208451833397,-0.25506564815129906,2.147039687703318,27.04794520547945,0.9140148950575491,-0.6380120886501007,-0.5660377358490566
60,0.17483550310134888,1.3809563297607812,8000.0,8000.0,0.9863378641127758,0.0386145930907813,-0.010971226153603464,6.5142653804442965,3.7917140346191016,2.808337531628379,0.3903708523096942,-0.2328767123287671,15.517941773865944,9.670920080591001,9.252021563342318
87,0.1126638650894165,21.130787838599783,4000.0,4000.0,0.9919410086732842,16.52951336989631,17.70891476760139,14.109168063499826,-1.202769268653494,-3.804137219092947,60.24072869225765,68.04794520547945,44.35341909275559,0.9805238415043653,-6.320754716981132
71,0.20494717359542847,1.3541319226842718,8000.0,8000.0,0.991825675520124,10.947654500045221,2.8313262606043024,13.868376507796686,10.109031453170221,2.9431264543909235,27.59921925829538,6.273972602739726,38.82870683818551,23.928811282740092,7.61455525606469
72,0.20991289615631104,1.5682078382437714,4000.0,4000.0,0.9999963974572558,18.305195710950564,20.68496026783533,-0.4369040510123261,-0.5518078586524018,-0.5403177520697602,25.842550422901756,29.232876712328768,-0.6093432633716994,-0.8865010073875084,-0.8288409703504043
97,0.10286957025527954,16.637818777548194,2000.0,2000.0,0.9979527766257311,44.717966592324856,26.703436410440087,18.223833596719384,20.002386605752587,18.927038705361962,104.90566037735849,56.821917808219176,38.13811780636425,43.65345869711216,42.25067385444744
213,0.2243078351020813,0.8969388640052947,4000.0,4000.0,0.9996868781459003,2.273033794152054,22.68226760266951,5.7782229745262,0.021599885212692405,-0.031398180735793924,4.892648015614834,48.58904109589041,11.38794854434665,0.4298186702484889,-0.1078167115902965
109,0.027986347675323486,3.5222983706797444,8000.0,8000.0,0.9992961199617107,-1.0006361354197346,4.651694739976994,9.762740577379338,-1.3745227206553303,-0.9383192408884846,-1.756668835393624,7.3561643835616435,14.962762356127286,-2.887844190732035,-1.610512129380054
147,0.1778867244720459,0.7678263383392661,16000.0,16000.0,0.9946432572797049,1.1577867073531778,-0.019069572019991154,0.3521269363876016,7.497062425088468,5.786896924447599,3.4808067664281066,0.1917808219178082,1.7264725795531484,21.457353928811283,14.299191374663073
202,0.15727460384368896,1.2600940034176982,4000.0,8000.0,0.9859456320472763,0.90659348513821,8.139903707763942,6.397016687652858,-0.04795570824405315,-0.10981007073184612,2.810670136629798,16.5,16.594448205822612,0.17461383478844864,-0.5660377358490566
94,0.23698431253433228,1.918276646693211,4000.0,4000.0,0.9981308030845367,9.442813059727687,22.62199511233999,15.355456492344874,9.405839106480617,10.35396876041128,18.594664931685102,66.48630136986301,37.244414353419096,18.67696440564137,21.004043126684635
181,0.07259726524353027,1.145347162074339,8000.0,8000.0,0.9982960945531203,0.7154697934920673,4.121768430882204,6.822206453495729,0.7129267017180805,0.20363374155114933,1.8477553675992193,8.856164383561644,15.951252538930264,1.9879113498992613,0.6671159029649596
83,0.03587925434112549,4.311982695176784,4000.0,4000.0,0.9994146685995421,0.698776181623753,6.089581902906712,5.567340310499485,-1.793355051591579,-1.1735058465744892,1.2036434612882239,11.527397260273972,11.184834123222748,-3.5057085292142376,-2.284366576819407
100,0.02557915449142456,5.1207245720791,16000.0,16000.0,0.9969258112591779,3.63380538092383,-1.6876522435115948,11.0312529669834,12.387333975894533,4.374245749576174,4.222511385816525,-2.6232876712328768,12.180094786729859,15.1645399597045,5.363881401617251
