session,subject,n_units,n_trials,n_responsive,n_enhanced,n_suppressed,n_tuned,frac_tuned,median_si,median_sparseness,median_latency_ms,bf_match,decode_acc,decode_acc_shuffled
LA11_ses-1,LA11,235,7447,194,100,94,94,0.4,0.6369948361787237,0.6009965548178279,15.000000000000096,0.925531914893617,0.9532697730629783,0.19524640794950987
LA11_ses-2,LA11,132,7448,122,53,69,51,0.38636363636363635,0.6419525443841458,0.7116174474514672,19.0000000000001,1.0,0.9424006444683136,0.21133190118152523
LA11_ses-3,LA11,107,7448,89,41,48,41,0.38317757009345793,0.6190440931472364,0.49840476100089803,17.0000000000001,0.8292682926829268,0.9433404940923737,0.20408163265306123
LA11_ses-4,LA11,73,7448,54,29,25,25,0.3424657534246575,0.6254740017513473,0.6064122487512166,17.0000000000001,0.92,0.7952470461868958,0.20931793770139634
LA12_ses-1,LA12,131,7448,121,50,71,50,0.3816793893129771,0.6748886038331442,0.7377341681034213,15.000000000000096,0.88,0.8951396348012889,0.19857679914070892
LA12_ses-2,LA12,134,7451,115,65,50,64,0.47761194029850745,0.7326925072731235,0.6739486650657067,15.000000000000096,0.90625,0.8853845121460207,0.19889947658032478
LA12_ses-3,LA12,115,7450,99,41,58,41,0.3565217391304348,0.6625016378508901,0.6547134839569883,15.000000000000096,0.8780487804878049,0.889261744966443,0.19959731543624162
LA12_ses-4,LA12,50,6711,42,27,15,24,0.48,0.9028247159178264,0.7146571182790941,17.0000000000001,1.0,0.8950976009536582,0.2039934436000596
LA3_ses-3,LA3,35,5588,29,12,17,8,0.22857142857142856,0.7864595360059377,0.6946365092945792,17.0000000000001,1.0,0.7988546886184682,0.20078740157480315
LA8_ses-1,LA8,192,7449,163,79,84,69,0.359375,0.6497130452360237,0.7982165506600428,15.000000000000096,0.9420289855072463,0.8446771378708552,0.21721036380722245
LA8_ses-2,LA8,159,5589,123,46,77,43,0.27044025157232704,0.6528073469849328,0.8057708342490827,15.000000000000096,0.9069767441860465,0.6893898729647522,0.20093039899803186
LA9_ses-1,LA9,86,7449,75,43,32,37,0.43023255813953487,0.6847975486402477,0.6883222042262577,15.000000000000096,0.972972972972973,0.8967646663981742,0.201100818901866
LA9_ses-3,LA9,30,7449,27,16,11,13,0.43333333333333335,0.6349895993028034,0.5414061438063175,19.0000000000001,0.6923076923076923,0.5955161766680092,0.20002684924150893
LA9_ses-4,LA9,47,7449,40,25,15,22,0.46808510638297873,0.7827721818733605,0.49827595055945106,16.000000000000096,0.9545454545454546,0.7803732044569741,0.20056383407168749
LA9_ses-5,LA9,38,7448,30,18,12,16,0.42105263157894735,0.7105735968713132,0.7104017514813611,19.0000000000001,0.9375,0.6707841031149302,0.19790547798066596
