session,subject,unit,mean_rate_hz,baseline_hz,evoked_hz,driven_hz,p_responsive,p_frequency,bf_hz,bf_idx,best_hz,selectivity_index,sparseness,bf_split_a,bf_split_b,bf_split_match,split_half_r,q_responsive,q_frequency,responsive,enhanced,suppressed,freq_tuned,latency_s,tune_2000,tune_4000,tune_8000,tune_16000,tune_32000
LA11_ses-1,LA11,0,6.029460347795963,6.389149993285887,7.208271787296898,0.8191217940110112,0.8418491952831744,1.8968325461599992e-17,8000.0,2,3.161814488828707,0.22133070609746927,0.7825419738806628,8000.0,8000.0,True,0.9860764747993164,0.8490753686332445,4.015816651780179e-17,False,False,False,False,0.021000000000000102,1.2166558230318802,-0.13013698630136986,3.161814488828707,0.2686366689053056,-0.4380053908355795
LA11_ses-1,LA11,1,14.008495785143342,14.364173492681617,14.985900362562106,0.6217268698804888,0.5323291289020248,0.001146082446828721,8000.0,2,2.3967501692620177,0.09457877787913664,0.7178590444402102,8000.0,8000.0,True,0.9697075771336395,0.5510896268368979,0.0017046162974984143,False,False,False,False,0.047000000000000125,1.1906310995445673,-0.7945205479452054,2.3967501692620177,-0.0671591672263264,0.3504043126684636
LA11_ses-1,LA11,2,4.502441482953531,4.753592050490131,4.836847052504364,0.08325500201423391,4.31041395963915e-14,0.1871718933950373,8000.0,2,0.6364251861882194,0.11924994961086588,0.7599819594335095,8000.0,8000.0,True,0.9192019167961941,7.393775770183943e-14,0.21352133469822215,True,True,False,False,0.0170000000000001,-0.026024723487312947,0.2945205479452055,0.6364251861882194,0.053727333781061114,-0.532345013477089
LA11_ses-1,LA11,3,1.5890345018440335,1.5590170538471868,2.7044447428494696,1.1454276890022828,0.0570795025447808,1.429780104999974e-22,8000.0,2,3.1008801624915368,0.5418506845994119,0.5808942626552418,8000.0,8000.0,True,0.9625158551628108,0.06382035862439378,3.2941012223038613e-22,False,False,False,False,0.0190000000000001,1.7957059206245933,0.5,3.1008801624915368,0.6044325050369376,-0.29649595687331537
LA11_ses-1,LA11,4,9.59091081620271,9.769034510541157,15.152410366590573,5.383375856049416,9.632055694060255e-63,5.799972008787008e-114,8000.0,2,15.159106296547055,0.4524149020660953,0.6385388899317235,8000.0,8000.0,True,0.9902914864986616,3.2804827363828406e-62,2.271655703441578e-113,True,True,False,True,0.0170000000000001,8.08067664281067,-0.726027397260274,15.159106296547055,3.7139019476158497,0.545822102425876
LA11_ses-1,LA11,5,0.46000463934378505,0.45387404323888814,0.6150127568148248,0.16113871357593662,0.19242450471172123,0.0008898593253908456,8000.0,2,0.5416384563303994,0.5168860904407557,0.6439070392949018,8000.0,8000.0,True,0.8412284383588606,0.20935073429284487,0.0013404932145310814,False,False,False,False,0.021000000000000102,0.32530904359141183,-0.0547945205479452,0.5416384563303994,0.14103425117528542,-0.15498652291105122
LA11_ses-1,LA11,6,0.44725624287236376,0.4243319457499664,0.3867329125822479,-0.037599033167718544,0.004227728162424912,0.5087853934511731,4000.0,1,0.07534246575342465,0.3069511355815554,0.7916756504613073,32000.0,4000.0,False,-0.5907677551725371,0.005201655068952117,0.5478684513091564,True,False,True,False,,-0.10409889394925179,0.07534246575342465,-0.14218009478672985,-0.053727333781061114,0.04043126684636118
LA11_ses-1,LA11,7,5.141322060286946,5.20343762588962,5.032899154021754,-0.17053847186786625,2.769128957482291e-19,0.04879724722474329,4000.0,1,0.4657534246575342,0.12533333333333338,0.778105221301017,32000.0,4000.0,False,0.7370864128395924,5.378060371969739e-19,0.0619322424816964,True,False,True,False,,-0.631099544567339,0.4657534246575342,-0.7244414353419093,-0.2216252518468771,0.2830188679245283
LA11_ses-1,LA11,8,1.2599665179254713,1.4153350342419766,1.1038001879951658,-0.31153484624681077,2.626573619002599e-14,0.025387608136517456,4000.0,1,0.0821917808219178,0.3767722657560143,1.0,4000.0,4000.0,True,0.8104090266977345,4.5385647093059615e-14,0.033517347820683156,True,False,True,False,,-0.21470396877033182,0.0821917808219178,-0.7176709546377793,-0.34922766957689727,-0.35714285714285715
LA11_ses-1,LA11,9,2.527635192052426,2.486907479521955,2.089431986034645,-0.3974754934873103,1.9003448517795207e-15,0.06587800577018038,4000.0,1,0.0,0.31943353007072517,,4000.0,32000.0,False,0.8451819662223614,3.357752181715694e-15,0.07980067709274428,True,False,True,False,,-0.605074821080026,0.0,-1.042654028436019,-0.16789791806581597,-0.16172506738544473
LA11_ses-1,LA11,10,2.6301535470101056,2.756814824761649,2.3203974754934875,-0.43641734926816167,1.964786146357121e-31,0.13040875015805747,4000.0,1,0.08904109589041095,0.256153920215668,1.0,32000.0,4000.0,False,-0.10729475757949428,4.911965365892803e-31,0.1509657945179483,True,False,True,False,,-0.4359141184124919,0.08904109589041095,-0.8937034529451591,-0.7521826729348556,-0.18194070080862534
