unit_id,location,blank_rate,pref_rate,pref_dir,OSI,DSI,gOSI
950911808,VISam,6.361357053979044,3.6636145762207026,180.0,0.09616651932522899,0.13331098137039119,0.05590344901026325
950911817,VISam,9.025799799101156,9.791764227742172,225.0,0.12331994113608033,0.15514458633784045,0.05624391548134779
950911840,VISam,14.920879372683832,18.700644353911795,0.0,0.037691801950814535,0.012521102410216015,0.023814233585884408
950911873,VISam,1.631971181387294,1.4987495767319547,180.0,0.61290560673793,0.06987761954893046,0.46134568669344717
950911880,VISam,5.395496558872278,12.381569957754834,0.0,0.3636043184002286,0.08232923819810807,0.19708386416978083
950911912,VISam,2.2314707990397693,4.143212080809667,180.0,0.6041278738392979,0.13260559828575394,0.34010836778983633
950911922,VISam,2.9974980882623767,2.41132457365518,180.0,0.4365104897159397,0.09031754903050607,0.23799400651457284
950911932,VISam,4.3130666936664195,3.776857980911644,180.0,0.4980210524353089,0.09218840515496807,0.2647019742483788
950911941,VISam,2.764359348064192,1.4192038931033804,45.0,0.2521243667760561,0.046820998499056195,0.1560576374825994
950911952,VISam,2.531220607866007,4.323057347205604,180.0,0.601481714918739,0.22513635193939704,0.34846856896015754
950911965,VISam,2.18151249756873,2.140108209865926,0.0,0.07852696504117862,0.05290023209804132,0.03442251195337699
950911976,VISam,2.2647763333537956,0.9125730334968072,180.0,0.4810840554641465,0.2741786947098504,0.2273566758667842
950911986,VISam,2.3813457034528884,0.49958491158751817,180.0,0.6304364695051299,0.006802732937157472,0.3598050330498852
950911996,VISam,0.9991660294207922,9.032434570880364,90.0,0.09152986971089551,0.026495778603971343,0.059379569307729835
950912007,VISam,0.5828468504954621,5.697960703913391,0.0,0.37979456372432646,0.25942619528905014,0.19321179763489163
950912018,VISam,14.004977179048105,13.881683279078095,270.0,0.14115844909955091,0.04017917008107662,0.07614401411600631
950912065,VISam,2.864275951006271,11.557026109544568,180.0,0.055997213243235595,0.031285444138503385,0.05192138959775318
950912076,VISam,1.9317209902135317,5.608630976494806,225.0,0.4692676895392351,0.16213310509960355,0.24062053892829532
950912109,VISam,2.697748279436139,6.427933503499518,270.0,0.41415457393409627,0.006780170324998294,0.24403951115500733
950912118,VISam,0.6494579191235149,4.016928996055809,0.0,0.1680750176467905,0.07778189818348483,0.19817794334074823
950912128,VISam,17.4021416790788,9.139049216688466,180.0,0.050940995634409965,0.07109435738424692,0.016312155383796628
950912139,VISam,3.330553431402641,5.6819054236005835,90.0,0.32815515775557547,0.2479885969672095,0.130483332948535
950912152,VISam,5.945037875053714,11.989932221692264,225.0,0.1547504368769952,0.12597194396711553,0.12786558433431686
950912164,VISam,1.2989158382470298,5.455413656377863,225.0,0.7221026406947465,0.1851804997414182,0.562021349288711
950912190,VISam,3.680261541699918,8.459566194253657,270.0,0.55463911496115,0.039279005257991564,0.2957580435114637
950912203,VISam,3.330553431402641,2.0582695218012024,225.0,0.23819009053972306,0.0563627384042337,0.11592256729352378
950912214,VISam,0.8326383578506602,6.52786504824099,315.0,0.4280337817669695,0.11982706372304938,0.315271690214115
950912226,VISam,3.497081102972773,22.028976253020556,0.0,0.7578812464951319,0.035070410064615774,0.4179018663545016
950912238,VISam,22.131527551670548,13.39541252329827,225.0,0.32152438797997596,0.07536706731791502,0.17064792035821566
950912249,VISam,14.104893781990183,12.178025586247399,45.0,0.3789846548325226,0.035465713900055755,0.2551216565779547
950912260,VISam,8.10989760546543,11.190631610578995,90.0,0.2503062630057738,0.014799621647583269,0.14273077793068664
950912272,VISam,4.379677762294473,8.985791697163277,225.0,0.15032349475117912,0.10519259363881367,0.07426289791000376
950912283,VISam,8.392994647134655,9.919575488880355,45.0,0.15195231867449138,0.03950396523925108,0.07564882266350711
950912293,VISam,6.91089837016048,5.208993216657138,180.0,0.47547415806836246,0.008873487329026259,0.3027513102258249
950912303,VISam,11.90672851726444,7.000785275069197,225.0,0.14840728065974446,0.014399903132982974,0.07186513018882457
950912314,VISam,3.7801781446419973,7.034683762111553,0.0,0.12614032838231518,0.04197268227927404,0.05257077108093773
950912326,VISam,7.377175850556849,12.833921445136488,0.0,0.04550055592467002,0.047772612995978625,0.04096969075785976
950912338,VISam,1.4487907426601487,1.9783388283468935,270.0,0.10621174864845705,0.02946192639422829,0.11346677791940177
