session,maze,track_len,unit,direction,peak_rate,spatial_info,field_lo,field_hi,field_peak,field_width,n_field_spikes,is_place_cell,slope_cycles,slope_deg,phi0,rho,pval
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,93,right,3.55023448619669,1.1005861384912357,0.02,0.14,0.06,0.12000000000000001,54,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,95,right,10.886353418086179,2.2959134200142506,0.02,0.1,0.02,0.08,87,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,96,right,3.3598902760101548,1.1822025662670004,0.02,0.1,0.02,0.08,30,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,98,right,1.0998316124832515,0.9730872298443193,1.1,1.58,1.3,0.48,15,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,101,right,1.3481496312627848,1.547618549748954,0.02,0.22,0.02,0.2,19,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,103,right,3.2558527803533965,0.6589527112786475,0.98,1.58,1.3800000000000001,0.6000000000000001,49,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,109,right,5.164904303696664,1.658219661214468,1.1,1.58,1.42,0.48,78,True,-0.95,-342.0,0.12297452418783049,0.38329434410168073,0.005988023952095809
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,110,right,1.124330429933499,1.3511577655859104,1.46,1.58,1.58,0.1200000000000001,3,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,111,right,1.3194249790861303,1.5894730599433482,0.02,0.14,0.02,0.12000000000000001,14,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,112,right,6.665902070116666,2.35294354498564,0.02,0.1,0.02,0.08,48,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,113,right,15.43738650662707,0.7467307241280514,0.06,0.5800000000000001,0.26,0.52,418,True,-1.5,-540.0,-0.7125823435830274,-0.4019977053681811,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,114,right,1.865260452556706,1.354971118751518,1.1400000000000001,1.46,1.26,0.31999999999999984,18,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,116,right,2.1460660102011335,0.3278265713038721,0.78,1.58,1.1,0.8,62,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,117,right,1.2258952392134963,0.7204608593580026,1.1,1.34,1.18,0.24,7,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,118,right,6.518350938148645,0.40971301206518984,0.02,0.54,0.42000000000000004,0.52,152,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,125,right,6.440678405877004,0.2812573830065851,0.02,0.62,0.02,0.6,188,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,129,right,8.39869984703233,0.22836771427658525,1.1,1.58,1.58,0.48,112,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,137,right,3.0433918892327037,0.7751593141298867,0.02,0.18,0.02,0.16,46,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,143,right,2.496156531707994,1.387133433063813,0.33999999999999997,0.62,0.5,0.28,37,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,146,right,23.06548531771752,0.27364699933017833,0.22,1.58,1.3800000000000001,1.36,1064,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,148,right,7.8648285422323365,0.6765102522114814,0.66,1.58,1.54,0.92,189,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,151,right,8.107243492182977,0.7092600707446516,1.3800000000000001,1.58,1.54,0.19999999999999996,49,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,161,right,4.314533255125796,0.38852366808143984,0.74,1.58,1.1400000000000001,0.8400000000000001,137,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,163,right,4.71314512330625,0.5940191168573492,0.02,0.18,0.02,0.16,79,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,175,right,20.906794127710544,1.16149317426317,0.02,0.42000000000000004,0.26,0.4,575,True,-0.66,-237.60000000000002,-0.8071100515176088,-0.479233187406001,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,176,right,25.753155573228348,0.5136378564969786,0.02,0.7,0.18,0.6799999999999999,1167,True,-1.5,-540.0,-1.4590732170920544,0.07808730724361508,0.00998003992015968
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,177,right,11.785336852549976,1.045480948016934,0.5800000000000001,1.22,0.8200000000000001,0.6399999999999999,281,True,-0.65,-234.0,-1.0062526801617562,-0.27414270323615053,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,179,right,11.990276907118561,0.6846967289646521,0.14,0.42000000000000004,0.30000000000000004,0.28,208,True,-0.6625,-238.5,-1.2164744494170445,-0.22735578114610971,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,183,right,7.906337773530348,2.120708989126639,0.02,0.14,0.02,0.12000000000000001,84,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,186,right,2.7798253256244507,1.074323227027145,0.9,1.42,1.18,0.5199999999999999,49,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,201,right,4.142338940855074,0.4413061287409489,0.02,0.22,0.02,0.2,78,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,202,right,3.8562511300249636,0.426259242291963,0.9,1.46,1.34,0.5599999999999999,66,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,203,right,2.3592904575550118,0.18466494582072082,0.5800000000000001,1.5,1.22,0.9199999999999999,49,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,204,right,3.5343303051619337,0.48570021508916617,0.02,0.22,0.1,0.2,67,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,215,right,3.174920912405054,0.6865318507315149,1.1400000000000001,1.58,1.34,0.43999999999999995,53,True,0.0475000000000001,17.100000000000037,-1.6012646204588217,0.024789482624631265,0.8862275449101796
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,216,right,6.385917364335542,1.5321581207803687,0.33999999999999997,0.78,0.62,0.44000000000000006,136,True,0.45999999999999996,165.6,-0.9809985278361985,0.11031042590946201,0.17764471057884232
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,219,right,7.144551521297869,0.6014718766288565,0.02,0.30000000000000004,0.1,0.28,151,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,220,right,7.5141451115599835,1.2750669987602583,0.8200000000000001,1.58,1.22,0.76,180,True,0.6225,224.10000000000002,-2.2038919665814265,0.18423921488273443,0.033932135728542916
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,221,right,1.2460886281454582,2.0593185230601048,0.02,0.18,0.06,0.16,25,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,222,right,1.8813569806031047,0.6426836132664764,0.02,0.42000000000000004,0.22,0.4,44,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,225,right,2.6677464189064843,1.3865709984175167,0.30000000000000004,0.66,0.45999999999999996,0.36,36,False,,,,,
