session,maze,track_len,unit,direction,peak_rate,spatial_info,field_lo,field_hi,field_peak,field_width,n_field_spikes,is_place_cell,slope_cycles,slope_deg,phi0,rho,pval
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,33,right,13.345741178688321,0.7404094815151947,0.62,1.3800000000000001,0.9,0.7600000000000001,349,True,-0.7975,-287.1,-0.38718668955070834,-0.38142998682956475,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,39,right,23.80256220759089,0.9536036684120661,0.1,0.42000000000000004,0.26,0.32000000000000006,463,True,-0.69,-248.39999999999998,-1.1973347435929567,-0.5506630522061539,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,41,right,1.4434396757156336,0.15251964284812597,0.02,1.42,1.1400000000000001,1.4,81,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,50,right,5.339982476106491,0.9195397381659685,0.26,0.66,0.38,0.4,98,True,-1.5,-540.0,-1.1057018392631173,-0.4302519468595019,0.003992015968063872
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,51,right,15.804966182406122,0.967027458507086,0.02,0.45999999999999996,0.22,0.43999999999999995,530,True,-0.7625,-274.5,-1.7299594819507478,-0.3702250633806656,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,52,right,12.469885785414169,0.7937425595170078,0.62,1.22,0.86,0.6,273,True,-1.0675,-384.29999999999995,-0.14553314635967202,-0.06790529250548712,0.36926147704590817
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,53,right,1.380531714552672,0.8788874293553982,0.1,0.45999999999999996,0.30000000000000004,0.36,34,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,54,right,8.912387549900656,0.5053881049999767,0.02,0.26,0.02,0.24000000000000002,209,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,55,right,25.228039385393814,0.27260969779975663,0.02,1.22,0.18,1.2,1207,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,56,right,20.15552632783626,1.4056417591250836,0.02,0.38,0.1,0.36,550,False,,,,,
