unit,pr2_full,pr2_reduced,dll_per_bin,bf
53,0.27631813287734985,0.2664536237716675,0.00149565190076828,2000.0
21,0.002910315990447998,0.0005179047584533691,0.0005476176738739014,4000.0
48,0.062477052211761475,0.06375992298126221,-2.658925950527191e-05,8000.0
83,0.06010258197784424,0.05316740274429321,0.0016809701919555664,16000.0
57,0.11559492349624634,0.11345267295837402,0.0009312033653259277,32000.0
