unit,direction,n,slope,phi0,rho,p,peak_rate,sig
11,rightward,165,-0.3599999999999999,-1.51853974401371,0.2723017137636757,0.001996007984031936,8.190770649178994,True
12,rightward,849,0.3599999999999999,-1.0231252959228467,0.22125877471816488,0.001996007984031936,16.308734448143067,True
23,rightward,562,-0.7199999999999998,-0.678981993307645,0.09130224836528686,0.043912175648702596,25.071391162719934,False
29,rightward,500,0.08000000000000007,0.40010473491047477,0.06783962027322021,0.13972055888223553,20.581936503065165,False
33,rightward,341,-0.6999999999999997,-0.78632377102374,0.34125012299411595,0.001996007984031936,11.582907988737972,True
39,rightward,492,-0.5800000000000001,-1.6154176444337252,0.5131621160876697,0.001996007984031936,21.235331312686284,True
50,rightward,155,-0.8300000000000001,-1.868717277685192,0.5125209144232382,0.001996007984031936,8.094408641541595,True
57,rightward,202,-0.71,-2.078396835969344,0.3625092064870087,0.001996007984031936,14.186077000639909,True
82,rightward,268,-0.6400000000000001,-0.708995025994122,0.17603890230703634,0.007984031936127744,7.908330281965926,True
118,rightward,121,0.9900000000000002,-1.487231746625547,0.2160719893646408,0.07984031936127745,6.694528176541777,False
146,rightward,556,-0.81,-1.4290743352598598,0.3732590994570207,0.001996007984031936,23.838371925209117,True
175,rightward,623,-0.52,-1.4278081338327537,0.34833168807003984,0.001996007984031936,18.929781055880344,True
177,rightward,252,-0.3900000000000001,-1.7781062910292784,0.22941476083497248,0.001996007984031936,11.293335289019524,True
179,rightward,169,-0.6400000000000001,-1.063100421947095,0.028516877410356287,0.688622754491018,13.067896192422328,False
186,rightward,70,-0.6099999999999999,-1.5538126093863587,0.2623650366156095,0.08982035928143713,3.4401236726551776,False
215,rightward,87,-0.20999999999999996,-1.222379556555229,0.20115470752054931,0.11377245508982035,5.343083362546871,False
216,rightward,133,0.3999999999999999,-0.4620472858676031,0.035507547306672924,0.6926147704590818,5.897354867408876,False
219,rightward,236,-0.6000000000000001,3.119057334440729,0.271756029562037,0.001996007984031936,4.345419375985488,True
220,rightward,157,0.5,-2.2372670041049867,0.1389581943520665,0.1996007984031936,8.275211583706614,False
240,rightward,255,-0.6999999999999997,-0.6244724386037223,-0.021398065101570083,0.7125748502994012,8.347681964297367,False
258,rightward,188,0.7400000000000002,-2.3998985135564177,0.05158810760677286,0.5508982035928144,5.516807722471075,False
259,rightward,967,-0.48999999999999977,-1.477686705663507,0.16779170373194566,0.001996007984031936,19.55625860424132,True
268,rightward,716,-0.25,2.844523665173076,0.15502809030599835,0.001996007984031936,13.899489586485567,True
270,rightward,136,-0.27,-0.9103106852284704,0.06629213218764489,0.4810379241516966,6.046670611069993,False
