session,unit,cell_type,channel,theta_delta,n_spikes,rate,mrl,ppc,pref,p_rayleigh,mrl_null_mean,p_shuffle,sig
Achilles-10252013,1,excitatory,105,4.206864355941898,612,0.9754723045366819,0.03757855357161731,-0.00022220231524817304,2.0549942501362386,0.4215430115561142,0.03667841625093959,0.4527363184079602,False
Achilles-10252013,2,inhibitory,105,4.206864355941898,24990,8.464573002173212,0.11032156851693828,0.012131317920530526,2.948927619671286,3.2198700161502555e-133,0.005716575107423352,0.004975124378109453,True
Achilles-10252013,6,excitatory,105,4.206864355941898,146,0.18602416911487332,0.5340946421358663,0.2803278252876063,0.16126124505845124,2.9974006949750346e-20,0.07516193465530766,0.004975124378109453,True
Achilles-10252013,7,excitatory,105,4.206864355941898,2878,1.4602538709270225,0.09202470838114092,0.008123906197316904,4.292548250903013,2.4803482816835076e-11,0.016983395797985003,0.004975124378109453,True
Achilles-10252013,9,excitatory,105,4.206864355941898,1102,0.2603764661612498,0.11067113817696546,0.01135096013585309,3.862290862938743,1.3267031730774697e-06,0.027822403149693423,0.004975124378109453,True
Achilles-10252013,11,excitatory,105,4.206864355941898,884,0.43266037667843243,0.16121574856106594,0.02488744908759759,3.8667387275095892,9.159630636700361e-11,0.030666586020856673,0.004975124378109453,True
Achilles-10252013,12,excitatory,105,4.206864355941898,2065,1.3001612128190645,0.05996372917509583,0.0031128947704682428,0.09341687087703929,0.000593247415308681,0.020331329123824605,0.004975124378109453,True
Achilles-10252013,13,excitatory,105,4.206864355941898,822,0.8106465719639661,0.2286383092397314,0.05112112258653655,4.228003272862851,1.2574878725776333e-19,0.03221932311647407,0.004975124378109453,True
Achilles-10252013,16,excitatory,105,4.206864355941898,2088,1.055532976240554,0.12911300637062015,0.016198999352446987,3.912594049362165,6.660574742540478e-16,0.018794543925937556,0.004975124378109453,True
Achilles-10252013,18,inhibitory,105,4.206864355941898,30143,6.550460318025599,0.3171502653165046,0.10055445150596823,1.7509180927033985,0.0,0.005395201409677721,0.004975124378109453,True
Achilles-10252013,20,inhibitory,105,4.206864355941898,10973,9.877725610850948,0.04278098011920377,0.0017392379810916765,0.4878440311971929,1.8814930007977884e-09,0.008798756778885766,0.004975124378109453,True
Achilles-10252013,21,excitatory,105,4.206864355941898,1195,1.0058500370104908,0.1937088694976741,0.036717031587830816,3.7493032786848204,2.2303244895960426e-20,0.02606659271737027,0.004975124378109453,True
Achilles-10252013,22,excitatory,105,4.206864355941898,145,0.4162236999008191,0.09552546811844428,0.0022440394693815815,4.980892543189675,0.2667093306806279,0.07482324862280304,0.29850746268656714,False
Achilles-10252013,23,excitatory,105,4.206864355941898,1343,0.24537405437295703,0.0617603589620382,0.003072027737882197,3.6848514583671688,0.005942392031521876,0.025084503645241406,0.009950248756218905,True
Achilles-10252013,27,excitatory,105,4.206864355941898,2281,0.8879821401881293,0.16653903838991557,0.02730881940051665,3.734023825247095,2.1762036362314876e-28,0.01838843917160751,0.004975124378109453,True
Achilles-10252013,28,excitatory,105,4.206864355941898,289,1.9237222595760601,0.06413968587145004,0.0006559614540483164,0.6827497609676975,0.30480518380494526,0.0530151620561827,0.31840796019900497,False
Achilles-10252013,29,excitatory,105,4.206864355941898,1933,0.5749394636190295,0.10388759915699812,0.010280621164018471,6.076934115355364,8.269173673786283e-10,0.020281867262792755,0.004975124378109453,True
Achilles-10252013,33,excitatory,105,4.206864355941898,2638,1.0640811955769045,0.15421864504840035,0.023413190780329596,3.816999427857025,3.92103294832422e-28,0.017532870526267903,0.004975124378109453,True
Achilles-10252013,39,excitatory,105,4.206864355941898,2860,0.7361221631188711,0.13169879467514053,0.017000866528160408,2.688633181812004,2.3237855124761277e-22,0.018227844585072896,0.004975124378109453,True
Achilles-10252013,41,excitatory,105,4.206864355941898,631,0.6960774846170418,0.07466364651302745,0.003996207190162987,3.5793925872178014,0.02960743401249587,0.03447507235917071,0.024875621890547265,True
Achilles-10252013,43,excitatory,105,4.206864355941898,340,0.33748255198712174,0.24932432412469044,0.05939613664920194,4.225709647132788,4.874610947178022e-10,0.04740390380959864,0.004975124378109453,True
Achilles-10252013,48,inhibitory,105,4.206864355941898,17571,9.475242169547819,0.283507610281605,0.08032422453921348,1.6306020594531305,0.0,0.0067658080749795945,0.004975124378109453,True
Achilles-10252013,49,inhibitory,105,4.206864355941898,11121,8.302128149482767,0.1590499036552422,0.025209218693735772,1.5904866492862322,1.1077284071716942e-123,0.008504248812206718,0.004975124378109453,True
Achilles-10252013,50,excitatory,105,4.206864355941898,2031,0.6435833860079102,0.10999651667995364,0.011612583057921212,3.348846658409286,1.9861788388378166e-11,0.02079369103996653,0.004975124378109453,True
Achilles-10252013,51,excitatory,105,4.206864355941898,1657,0.3668562989684063,0.07230119343691048,0.004626754518399374,3.826787043933901,0.000171550669737937,0.022133495733522447,0.004975124378109453,True
Achilles-10252013,52,excitatory,105,4.206864355941898,2457,0.8692219541278167,0.02864121292754508,0.0004134869603217087,2.45109774720565,0.13325014085534195,0.018929063881684662,0.19402985074626866,False
Achilles-10252013,53,excitatory,105,4.206864355941898,437,0.7474241712347169,0.15812665359480527,0.022767809307772943,3.4703566888491912,1.6984505697747544e-05,0.04425167239198128,0.004975124378109453,True
Achilles-10252013,54,excitatory,105,4.206864355941898,2073,1.264706182283061,0.10022746085615242,0.009567766662523722,3.2823189598388485,8.618711790905995e-10,0.019759515159921814,0.004975124378109453,True
Achilles-10252013,55,excitatory,105,4.206864355941898,3546,1.0166070244303949,0.028370437708779207,0.0005230213357131904,0.19122263552071833,0.057597129674544806,0.014995245741692649,0.07462686567164178,False
Achilles-10252013,56,excitatory,105,4.206864355941898,1016,0.2592290541697934,0.08664521489259525,0.006529568035472466,1.044447104051438,0.00048173897767244794,0.027909137277136925,0.004975124378109453,True
Achilles-10252013,57,excitatory,105,4.206864355941898,2192,0.5731322897324855,0.1005985604060854,0.009668276686381915,2.777749920017426,2.2063611872401449e-10,0.018854536739978854,0.004975124378109453,True
Achilles-10252013,58,excitatory,105,4.206864355941898,698,0.3704132761419212,0.2203839594761472,0.047204052420200995,3.433664022201698,1.2722553322622079e-15,0.033949511355087954,0.004975124378109453,True
Achilles-10252013,59,excitatory,105,4.206864355941898,290,0.3826045285511458,0.20809738851812817,0.039994158136120374,2.4876182670495735,3.1285104963639812e-06,0.051280428389442106,0.004975124378109453,True
Achilles-10252013,70,excitatory,105,4.206864355941898,1096,0.25375016191058897,0.12667170240503067,0.015147131806800697,3.2220015046338646,2.1631623936094147e-08,0.028216553624851124,0.004975124378109453,True
Achilles-10252013,74,excitatory,105,4.206864355941898,381,0.759443311845223,0.17296934233261013,0.027365547053783506,3.7101806406850537,1.0436680721748168e-05,0.04483730818905078,0.004975124378109453,True
Achilles-10252013,76,excitatory,105,4.206864355941898,1342,0.5913474550968564,0.08596625943566981,0.00664999656655206,3.0542957677647453,4.8578843440837526e-05,0.025151215808989782,0.004975124378109453,True
Achilles-10252013,78,excitatory,105,4.206864355941898,187,0.2930490226179716,0.09505429168018988,0.003707551261267897,5.612159316250997,0.1847222174508959,0.06475433301330848,0.21393034825870647,False
Achilles-10252013,79,excitatory,105,4.206864355941898,646,0.8525557949519121,0.1809182234452141,0.03123176233980431,3.6641480899403507,5.596920606547164e-10,0.03516521946857773,0.004975124378109453,True
Achilles-10252013,82,excitatory,105,4.206864355941898,1668,0.8561701427249998,0.13685284796087485,0.018140056945209287,4.00124234760546,2.3597526405641822e-14,0.02026760042232013,0.004975124378109453,True
Achilles-10252013,83,inhibitory,105,4.206864355941898,3281,2.49450235472606,0.5304193609493544,0.28112559624384525,3.900375618366117,0.0,0.015455884132540693,0.004975124378109453,True
Achilles-10252013,84,excitatory,105,4.206864355941898,270,0.39488183685972955,0.04550845775717326,-0.001638753433428126,1.2405713432357064,0.5721065999993249,0.05307223211758256,0.5472636815920398,False
Achilles-10252013,86,excitatory,105,4.206864355941898,432,0.5456804578368906,0.032972337235042594,-0.001230488144259224,2.3920921043251813,0.6254749936099459,0.03880108707703238,0.5522388059701493,False
Achilles-10252013,87,excitatory,105,4.206864355941898,143,0.25400832960866665,0.1686048296721476,0.02158552935348358,2.851712064124098,0.016907781304873366,0.07678509021173116,0.04975124378109453,True
