session,unit,cell_type,n_RUN,mrl_RUN,p_RUN,ppc_RUN,pref_RUN,n_REM,mrl_REM,p_REM,ppc_REM,pref_REM,n_nonREM,mrl_nonREM,p_nonREM,ppc_nonREM,pref_nonREM,mrl_null_mean,mrl_null_p95,p_shuffle,sig_RUN,sig_REM,sig_nonREM
Achilles-10252013,1,excitatory,612,0.036496179662080304,0.4427403270057544,-0.00030251009571975686,2.2239726447259285,334,0.21918578557400614,9.042205392686144e-08,0.045183677091981574,1.5207215264074574,1991,0.13620194714859093,7.732762886877694e-17,0.01805777993993543,2.293167122020598,0.03762026466634619,0.07401248287242064,0.4975124378109453,False,True,True
Achilles-10252013,2,inhibitory,24990,0.11232041271168323,4.444714754189719e-138,0.012576362361117057,3.1146527075539283,7910,0.19031850620522103,2.6984307943738777e-126,0.0360992753054896,3.304663390961672,12701,0.08825469671940556,9.003057173974372e-44,0.007710764634096697,2.1997152897464285,0.005856181340419955,0.011747888756947288,0.004975124378109453,True,True,True
Achilles-10252013,6,excitatory,146,0.5282854979710622,8.638201147672583e-20,0.27411374369319885,0.3091739696725605,433,0.36089618842565785,4.836422722419547e-26,0.1282327395118813,0.13946411020883648,321,0.24000823268748747,7.302475918105103e-09,0.054658964107014166,0.8391411089616198,0.07691930143701615,0.14672435715870227,0.004975124378109453,True,True,True
Achilles-10252013,7,excitatory,2878,0.09054187249999802,5.4230050720112635e-11,0.00785309582376412,4.462461686753833,867,0.15205978842875978,1.7697768456298637e-09,0.02199414482196108,0.46019452145979794,1155,0.10765806495415256,1.4852595151445762e-06,0.010733751375105524,2.075951346210269,0.018123461884179997,0.03371015920311512,0.004975124378109453,True,True,True
Achilles-10252013,9,excitatory,1102,0.10986687497233891,1.6148926368215408e-06,0.011173428427101433,3.9864639875383894,82,,,,,271,0.20109460828617806,1.5867195192826152e-05,0.03688511200577796,2.089631861162362,0.02985505067289179,0.0587639774098034,0.004975124378109453,True,False,True
Achilles-10252013,11,excitatory,884,0.1594543567897131,1.5185831241968917e-10,0.024321983736026582,4.0062033505792805,264,0.23335693652606568,4.801639085263256e-07,0.050860233436331496,1.0271145090522749,429,0.13610436788515043,0.00034404661016879714,0.016231231665260797,1.7929197757054762,0.029558538402199856,0.05799430711265848,0.004975124378109453,True,True,True
Achilles-10252013,12,excitatory,2065,0.060720729743382496,0.0004911051934228673,0.003204297237148629,0.24852173878769376,1106,0.034968491447169854,0.2586670133149541,0.0003189246206917784,1.048745002586616,1634,0.14345321831807298,2.1140902691031097e-15,0.019979057827347196,1.3850967668078522,0.018406128571077738,0.034343276219351244,0.004975124378109453,True,False,True
Achilles-10252013,13,excitatory,822,0.2248880607060237,5.27870598471876e-19,0.04941821431808955,4.379153705236604,482,0.10561659185922427,0.004579780653691517,0.009099053383392383,4.46691421761109,1292,0.10087187559209694,1.8978999583355889e-06,0.009408423538980625,1.2138951603359056,0.030466104811889768,0.05960469293447562,0.004975124378109453,True,True,True
Achilles-10252013,16,excitatory,2088,0.13278792144583915,8.777587467678665e-17,0.017161924191193317,4.027856998602382,881,0.07619352668216686,0.005981191099467818,0.00467568697816183,3.9504329181526723,1441,0.16458760271094994,8.645073863007548e-18,0.026413446382086203,2.0155235404305105,0.019719518110229692,0.0384113786519157,0.004975124378109453,True,True,True
Achilles-10252013,18,inhibitory,30143,0.3185163205861524,0.0,0.10142283600420748,1.912335854060034,3519,0.4936819407477103,0.0,0.2435068847314606,1.4591552215587293,6972,0.1164804391729317,6.040113545693305e-42,0.013426187573311658,1.6374943505023496,0.005680919217118414,0.010725402379833498,0.004975124378109453,True,True,True
Achilles-10252013,20,inhibitory,10973,0.04514488303744615,1.9190451789258474e-10,0.0019471051291078266,0.5871321431054223,10103,0.23968798648564896,1.6263726672352526e-256,0.057357027592021124,2.9236307401339565,9023,0.07782734322065754,1.6970672382248325e-24,0.005946926553778358,0.02872737017829375,0.008181415587116124,0.015050547891378295,0.004975124378109453,True,True,True
Achilles-10252013,21,excitatory,1195,0.194381415901104,1.6230976228552542e-20,0.03697825891375458,3.8352100636219992,836,0.13940468526573854,8.201209534200981e-08,0.018259335335445655,0.869206067345875,1233,0.1493054789536826,1.0012488071236276e-12,0.02149853199205413,1.6662163733802695,0.024893174909562624,0.04607111972518421,0.004975124378109453,True,True,True
Achilles-10252013,22,excitatory,145,0.07763253142036394,0.4180344362677073,-0.0008757816629416652,5.172209659305284,331,0.15046689872590435,0.0005392452500412552,0.019678591514046682,4.825823162630682,737,0.1654302298587159,1.5337445767257692e-09,0.026045648941530275,2.0470823478741185,0.07674909287179506,0.14070615381078083,0.43283582089552236,False,True,True
Achilles-10252013,23,excitatory,1343,0.061555225835256334,0.006148059322864637,0.0030467127768303254,3.883238751035265,304,0.07951125371982953,0.14634676464758578,0.0030425742518222056,3.069918486198993,360,0.15371963236874914,0.00019440925501179587,0.020910031017298103,2.1416397271248218,0.02303566089949294,0.04918312527117437,0.009950248756218905,True,False,True
Achilles-10252013,27,excitatory,2281,0.1597695103542684,3.5907118543769675e-26,0.02509889569166673,3.868527917749809,525,0.04991116441051705,0.2705200437863594,0.000587481440319034,1.4172197146668408,1034,0.1704262919050561,7.36747047569693e-14,0.02810518401313905,1.8372070009635544,0.017551139639893035,0.03652017688134177,0.004975124378109453,True,False,True
Achilles-10252013,28,excitatory,289,0.05806435090682979,0.3777623243826834,-8.904688694134139e-05,0.9580799080781595,2965,0.22337053021220946,8.730541161095359e-66,0.04957384531713759,4.927040134551185,1194,0.0715068029536462,0.0022195583613818562,0.004279285922187755,1.838849834473795,0.05065624342063804,0.10051779343020086,0.32338308457711445,False,True,True
Achilles-10252013,29,excitatory,1933,0.10475273444274494,5.82291795501414e-10,0.010461216706241162,6.265777464514373,193,0.2610022872797124,1.6029688969461256e-06,0.06326866372547717,2.089241652674635,571,0.16719228415492346,1.059628847592955e-07,0.026247914722837055,1.4540309979462094,0.019623302366634246,0.038108052146109093,0.004975124378109453,True,True,True
Achilles-10252013,33,excitatory,2638,0.15739650625497587,2.7865970101737177e-29,0.024403836009934496,3.9664576635254853,545,0.023126727291967672,0.7473194755955073,-0.0013024066069775954,4.645842847727444,1952,0.1409383586271681,1.2041269609249522e-17,0.01936124452090186,1.7982098946255203,0.017247511902022096,0.03488543808438032,0.004975124378109453,True,False,True
Achilles-10252013,39,excitatory,2860,0.13639094639386032,6.1631952038874106e-24,0.018259224252706832,2.8488900042023464,574,0.10188394252972038,0.002557741516627606,0.008653252819998666,4.1562955573746105,1890,0.10788675061033853,2.63420112219168e-10,0.011116332085344866,1.7358025605199958,0.01630730078747972,0.0315883794299664,0.004975124378109453,True,True,True
Achilles-10252013,41,excitatory,631,0.07614429505555408,0.025708905440614056,0.004219855183268399,3.7069629995761297,251,0.08424187711768831,0.16848956000835402,0.0031250806357529443,6.06772302629963,581,0.12042856790357248,0.00021396108071178083,0.012803907277593824,2.8962297424558834,0.03326795623488289,0.06311791421564664,0.03482587064676617,True,False,True
Achilles-10252013,43,excitatory,340,0.24189979429490735,1.7483411013701872e-09,0.05573827009785336,4.37867934590145,218,0.18824820531144532,0.00041932220744613424,0.03099239780207214,3.9864465593577068,290,0.12560090291715736,0.010202337001133233,0.012369966006731847,2.2179144157696498,0.04954748728354723,0.08807356250085056,0.004975124378109453,True,True,True
Achilles-10252013,48,inhibitory,17571,0.28451463244105063,0.0,0.08089626808081078,1.8005025051325168,11598,0.5692602398689747,0.0,0.3239989346924659,1.2947472037267163,5963,0.1369986065769099,1.4752053278567758e-49,0.018604037294622792,1.6400856888434405,0.00668095884924589,0.01392745795656665,0.004975124378109453,True,True,True
