session,unit_id,unit_name,layer,hemisphere,n_spikes,grid_score,grid_spacing,grid_orientation,shuffle_p,shuffle_z,arena_cm,duration_s,coverage
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,2,t1c3,MEC LVI,,2870,0.1779207593406953,31.730674684008832,18.35253847276768,,,100.0,599.98,0.95
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,3,t2c1,MEC LVI,,1258,1.4170453986144125,44.952517056966364,-8.352461168367592,0.009900990099009901,5.52617482979768,100.0,599.98,0.95
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,4,t4c1,MEC LVI,,1105,-0.3590094007515862,,,,,100.0,599.98,0.95
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,5,t4c2,MEC LVI,,578,0.16151229219630345,52.11700912100648,10.625421538903728,,,100.0,599.98,0.95
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,6,t4c5,MEC LVI,,1476,0.3741382221892741,49.61750006185702,-7.168336425842938,0.1188118811881188,1.3559330000283956,100.0,599.98,0.95
sub-10704/sub-10704_ses-23060402_behavior+ecephys.nwb,0,t1c1,MEC LVI,,2609,1.291128350531863,39.734885173687445,25.442897622601393,0.009900990099009901,5.352508061346011,98.11396230654526,599.98,0.82875
sub-10704/sub-10704_ses-23060402_behavior+ecephys.nwb,1,t1c2,MEC LVI,,807,-0.38726313179678146,74.50344786642859,0.4256943050849789,,,98.11396230654526,599.98,0.82875
sub-10704/sub-10704_ses-23060402_behavior+ecephys.nwb,2,t1c3,MEC LVI,,420,-0.5110539693696654,81.88447217460201,9.959634017188444,,,98.11396230654526,599.98,0.82875
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,0,t1c1,MEC LII,,525,0.6730174194078105,42.79796645890485,29.14341349288141,0.019801980198019802,2.527095443871555,100.0,600.04,0.8974358974358975
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,1,t1c2,MEC LII,,1253,-0.7506433130834408,121.98872898755852,-15.830315486258002,,,100.0,600.04,0.8974358974358975
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,2,t1c3,MEC LII,,1098,1.122905566591356,40.087593491035044,-26.776961186362456,0.009900990099009901,4.486547444916397,100.0,600.04,0.8974358974358975
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,3,t2c1,MEC LII,,840,0.7267066399110309,41.21225439827928,-25.23324085027147,0.0297029702970297,2.640787838294262,100.0,600.04,0.8974358974358975
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,4,t2c2,MEC LII,,1253,0.7639159922352832,46.527280038072,-21.718260405104587,0.009900990099009901,2.86965464178328,100.0,600.04,0.8974358974358975
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,0,t1c1,MEC LII,,329,0.9675870494932073,65.24830549242495,-23.071712995343834,0.009900990099009901,3.8929780476066527,100.0,599.98,0.890625
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,1,t1c2,MEC LII,,3329,-0.020135662903288786,123.74368670764582,-15.0,,,100.0,599.98,0.890625
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,2,t1c3,MEC LII,,1495,1.0608615793843594,40.87807942446272,-26.33215304941683,0.009900990099009901,4.631138773526347,100.0,599.98,0.890625
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,3,t2c1,MEC LII,,2422,0.9748162454222764,46.44620457171561,-23.55659426816557,0.009900990099009901,4.0245481740007545,100.0,599.98,0.890625
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,4,t2c3,MEC LII,,522,1.1370094341229322,38.88356371928345,26.62777340515378,0.009900990099009901,4.0101729996880335,100.0,599.98,0.890625
sub-10884/sub-10884_ses-01080402_behavior+ecephys.nwb,0,t3c1,MEC LIII,,818,0.6948164202616424,123.74368670764582,-15.0,0.039603960396039604,2.493108403723435,98.56037342293314,599.98,0.955
