epoch,minutes,n_events,n_sig,frac_sig,median_abs_wcorr,events_per_min,sig_per_min
PRE_wake,101.59166666666667,697,38,0.054519368723098996,0.3018163825131779,6.860798950045115,0.3740464276925601
PRE_NREM,176.15,1493,93,0.0622906898861353,0.28278049528944493,8.475730911155265,0.5279591257451036
MAZE,34.458333333333336,203,42,0.20689655172413793,0.40977206615254075,5.89117291414752,1.2188633615477629
POST_wake,143.06666666666666,1398,138,0.09871244635193133,0.3283176758762523,9.771668219944083,0.9645852749301025
POST_NREM,88.68333333333334,1398,117,0.08369098712446352,0.307709872407883,15.763954143957902,1.319300883292614
