uid,n_spikes,R,pref_phase,p_rayleigh,cell_type,location,significant,R_null_mean,p_shuffle
1,677,0.023315195698695175,0.8964854593486711,0.6921060502727179,excitatory,lCA1,False,0.04251595686389144,0.801980198019802
2,25621,0.12335251317668339,3.1094688665392436,4.925200266480894e-170,inhibitory,lCA1,True,0.0069382123527898494,0.009900990099009901
6,145,0.5612363383738836,0.3741833772068491,1.4603832054082554e-20,excitatory,lCA1,True,0.07145489142066469,0.009900990099009901
7,2924,0.07730865134765873,-1.843397596759495,2.572869260530778e-08,excitatory,lCA1,True,0.01901448053766631,0.009900990099009901
9,1053,0.15427241435867362,-2.511453451223596,1.3061179827436914e-11,excitatory,lCA1,True,0.03471876843108527,0.009900990099009901
11,871,0.15703314441628266,-2.3510722218630047,4.699735234830991e-10,excitatory,lCA1,True,0.032728056752897354,0.009900990099009901
12,2092,0.06645282353634523,0.3547786472085449,9.725001069874535e-05,excitatory,lCA1,True,0.02269058735700436,0.009900990099009901
13,860,0.24419754225359352,-1.9548227834264518,5.341780616348587e-23,excitatory,lCA1,True,0.03395630230384103,0.009900990099009901
16,2252,0.11478928153398525,-2.316651989482613,1.2968651790962992e-13,excitatory,lCA1,True,0.020408478020584046,0.009900990099009901
18,30099,0.33066778308379774,1.925666864916159,0.0,inhibitory,lCA1,True,0.008315433978121454,0.009900990099009901
20,11847,0.05404258893138171,0.6291719371911255,9.402696257449405e-16,inhibitory,lCA1,True,0.01012522127928574,0.009900990099009901
21,660,0.048468046572014124,-1.6788927796308126,0.21215460199057729,excitatory,lCA1,False,0.04577640850374499,0.48514851485148514
22,196,0.23007659181654805,0.08590258308039048,3.1193317525126714e-05,excitatory,lCA1,True,0.08523651794100998,0.019801980198019802
23,1232,0.0810070784664035,-2.4790088109012745,0.0003082606673460305,excitatory,lCA1,True,0.02982027903063985,0.019801980198019802
27,2367,0.16408978372936528,-2.544828029125051,2.095569995299188e-28,excitatory,lCA1,True,0.022904251894564714,0.009900990099009901
28,122,0.035905722511158936,-1.424051512352254,0.8544605448199741,excitatory,lCA1,False,0.08468383507992891,0.8712871287128713
29,1931,0.10687145188964758,0.22896938937882122,2.6403737279039564e-10,excitatory,lCA1,True,0.026448370333776134,0.009900990099009901
33,2711,0.1594218680441175,-2.244214980662452,1.1931390710604713e-30,excitatory,lCA1,True,0.021040311169537237,0.009900990099009901
39,3100,0.12951760009053712,2.8681295076554414,2.605305820722347e-23,excitatory,lCA1,True,0.020114631125159654,0.009900990099009901
41,654,0.06213992110350353,-2.662751190901931,0.08003143005579501,excitatory,lCA1,False,0.035398610326553254,0.07920792079207921
43,386,0.25695736180652773,-1.9332758242234327,8.538334815495623e-12,excitatory,lCA1,True,0.049518528621043244,0.009900990099009901
48,17900,0.29088435531969425,1.7932848132985257,0.0,inhibitory,lCA1,True,0.00940945958454088,0.009900990099009901
49,11342,0.16156013367819022,1.7931636665098292,2.686552565100522e-129,inhibitory,lCA1,True,0.009966284009113334,0.009900990099009901
50,1985,0.09578706750603055,-2.6572979355745345,1.2311929478558117e-08,excitatory,lCA1,True,0.025249936509807492,0.009900990099009901
51,1693,0.05416001522643118,-2.2946633055014725,0.006970354650280067,excitatory,lCA1,True,0.024848391995285612,0.039603960396039604
52,2127,0.03520901406161194,1.5886613191960928,0.07159084862939896,excitatory,lCA1,False,0.022131417136160368,0.15841584158415842
53,403,0.18328292248441838,-2.7261998684841764,1.320064764182429e-06,excitatory,lCA1,True,0.04540116056825761,0.009900990099009901
54,2061,0.10793146987416513,-2.9815887805041714,3.7412893986117215e-11,excitatory,lCA1,True,0.022179893766751637,0.009900990099009901
55,3651,0.031764008634883587,0.9445965606914634,0.02513020814132283,excitatory,lCA1,True,0.018132086540851723,0.0891089108910891
56,1028,0.10117082307246357,1.2597003101333943,2.6933749391721974e-05,excitatory,lCA1,True,0.04122091415719496,0.009900990099009901
57,2317,0.10636392001933122,2.8212563729994242,4.12944612750142e-12,excitatory,lCA1,True,0.022032867141330494,0.009900990099009901
58,705,0.22163180072998062,-2.7902543932207973,9.127571299866316e-16,excitatory,lCA1,True,0.0416264971587737,0.009900990099009901
59,138,0.22298101227704537,2.3214264892866323,0.001047411503382593,excitatory,lCA1,True,0.09256606243551518,0.019801980198019802
70,1216,0.13943115774883894,-2.8927152631367172,5.409312241418627e-11,excitatory,lCA1,True,0.028794061180106426,0.009900990099009901
74,395,0.18804217233265139,-2.4847196804292855,8.593030894228884e-07,excitatory,lCA1,True,0.047952310907216154,0.009900990099009901
76,1387,0.09434374301040671,3.1295499918214413,4.350025115025132e-06,excitatory,lCA1,True,0.027594424162381018,0.009900990099009901
78,196,0.057638467686348775,0.0025290890256855023,0.5214458632481123,excitatory,lCA1,False,0.09723389773282044,0.8118811881188119
79,614,0.2120384380216673,-2.4493519375591495,1.025722669876918e-12,excitatory,lCA1,True,0.0393012870982322,0.009900990099009901
82,1575,0.13420893513258697,-2.2242883680561163,4.780981855840636e-13,excitatory,lCA1,True,0.026734384870460134,0.009900990099009901
83,3615,0.5318498624477951,-2.236050264050455,0.0,inhibitory,lCA1,True,0.017895731630037416,0.009900990099009901
84,267,0.05104762428429536,1.2934102209174585,0.49869299884782675,excitatory,lCA1,False,0.0660286943764411,0.6336633663366337
86,434,0.06119345585985432,2.09715184365587,0.19687754482486639,excitatory,lCA1,False,0.0467751624623572,0.3069306930693069
87,153,0.12891363627736208,2.8854561901483895,0.07865649910898498,excitatory,lCA1,False,0.08505137400780527,0.16831683168316833
90,112,0.10686813377497385,-2.0010230563255393,0.27827947128897734,excitatory,lCA1,False,0.12065374085422871,0.5445544554455446
92,2284,0.15725599912354746,-1.96664198962933,2.952242981693934e-25,excitatory,lCA1,True,0.024786423482298668,0.009900990099009901
93,799,0.15820785980166827,-0.9789304704354971,2.0637279699532206e-09,excitatory,lCA1,True,0.038365024180188695,0.009900990099009901
94,664,0.20159506114435352,-2.143765712282763,1.9072902431784073e-12,excitatory,lCA1,True,0.037226566630298386,0.009900990099009901
95,2291,0.024741874382151613,-1.8858109636516747,0.24599123909091533,excitatory,lCA1,False,0.023271732258432504,0.43564356435643564
