sid,subject,n_units,n_hd,cos_r2_wake,null_cos_r2_wake,hollowness_wake,null_hollowness_wake,ev1d_wake,null_ev1d_wake,split_coh_wake,null_split_coh_wake,map_conc_wake,null_map_conc_wake,drift_median_wake,pr_wake,pc2_pc1_wake,dur_wake,cos_r2_REM,null_cos_r2_REM,hollowness_REM,null_hollowness_REM,ev1d_REM,null_ev1d_REM,split_coh_REM,null_split_coh_REM,map_conc_REM,null_map_conc_REM,drift_median_REM,pr_REM,pc2_pc1_REM,dur_REM,cos_r2_nREM,null_cos_r2_nREM,hollowness_nREM,null_hollowness_nREM,ev1d_nREM,null_ev1d_nREM,split_coh_nREM,null_split_coh_nREM,map_conc_nREM,null_map_conc_nREM,drift_median_nREM,pr_nREM,pc2_pc1_nREM,dur_nREM,decode_err_median_deg,decode_circ_corr,ctrl_hollowness_nREM,ctrl_cos_r2_nREM,ctrl_pc2_pc1_nREM,ctrl_n,R_head_wake,R_decoded_wake,n_episodes_wake,R_head_REM,R_decoded_REM,n_episodes_REM,R_head_nREM,R_decoded_nREM,n_episodes_nREM,head_speed_wake,internal_speed_wake,head_speed_REM,internal_speed_REM,head_speed_nREM,internal_speed_nREM
Mouse12-120807,Mouse12,77,16,0.5552791017777814,0.010170852154602608,4.1387304228617845,2.2659329247888755,0.2448591922163897,0.0014573361175601138,0.5667901818150181,0.13807004934565778,0.8633724042442256,0.29777424451988704,96.17753765512091,7.65329051745214,0.405228724753399,7947.486439258,0.39254696260652844,0.009989686497034448,3.1537165888924887,2.3264102103094113,0.19417788940692132,0.0040442564689308165,0.2560867480644395,0.0901643820967589,0.8090841151432285,0.12216108819140137,123.86260827247413,8.361582378436674,0.4273937979569827,1291.998291016,0.44433241104490095,0.004246875666896789,3.091988941709968,2.2558904336968686,0.14254006342349967,0.0002927453005526521,0.31922545024187304,0.041140431651562545,0.5635630636584762,0.09992784853461441,373.027911938263,8.847679167059063,0.598124827059792,10756.002929688,20.461230230400936,0.6866868418188035,3.9261838247962704,,0.5622029564537229,45,,,,,,,,,,,,,,,
Mouse25-140130,Mouse25,33,14,0.4344798207543855,0.012974725114109048,4.734440968470989,2.342018560001191,0.21685801943746325,0.0015120648449068583,0.5630485600327786,0.19599918281734086,0.8776197076234775,0.5034185290502757,97.64763382853425,8.114078522809294,0.7640771593256206,10192.266332422,0.42265841209597954,0.01034663516211017,3.864997077277393,2.4074951402010676,0.23742797274763403,0.004062724204439952,0.45999436000131605,0.044717194046996,0.8373427364669954,0.10567255561397401,114.04995884211029,7.776422662733963,0.6446058335741198,1191.999511719,0.48574427606243964,0.011845771485063994,3.119497409706146,2.2461797444085962,0.12671758941390296,0.0003284057020974144,0.3373493106463766,0.18449445478901502,0.6269491071522019,0.29236872732927655,289.21462538538606,8.77648426398161,0.6083383058061739,11914.999267578,16.361156535094068,0.6548061410818311,2.677124965217065,0.4000750661409822,0.43348298179583156,11,,,,,,,,,,,,,,,
Mouse28-140312,Mouse28,72,25,0.5056998518095805,0.003434299388112716,4.46316015529034,2.2829270260870826,0.19419237137874043,0.002795700201998379,0.7117218911571578,0.0989912083459014,0.9066992153382566,0.24998067993640083,86.18446022782274,13.136498159390255,0.9284666817027866,16079.323695959,0.47513483229661757,0.003508346374146326,5.939203743395315,2.2115943309655535,0.2331667390719461,0.0043772809963262315,0.6651443753780247,0.028715703958278514,0.9352885726877336,0.19187953006170932,82.78744296818157,11.805316319620655,0.8288363073906605,1227.000030518,0.4114009278262357,0.003967468897598053,3.4512482886515325,2.151033156106232,0.129573843294991,0.000763688767845939,0.6178757551360731,0.09808448112852189,0.7133364832627122,0.1971219175069253,191.85433741557122,14.091656022907118,0.8177259052782387,12968.996765137,12.097429534376593,0.8382407615809289,2.6468281652349077,0.005449796802953211,0.5020806062411325,30,0.8821567036202896,0.6878715251651687,101.0,0.9975467417437909,0.34580098454262426,18.0,0.995956328823377,0.369223471154019,82.0,6.173486367735545,18.394531391056226,2.3804531242342106,22.820415161975948,2.5612883781631526,67.93643290231898
Mouse28-140313,Mouse28,73,21,0.5745989721445399,0.0038903341714119242,3.961821516820083,2.266560262701865,0.2896707743909418,0.0034523927443983887,0.7149316842622645,0.02899417876293455,0.8856388638181344,0.16225405844007929,89.76503598050857,9.434635569835729,0.9202710568487276,16622.362853394,0.5145395406622987,0.002109172883676158,6.651642746912812,2.4168936964241112,0.32163181056423723,0.007928634511848309,0.6843044228577503,0.07737689512439824,0.9687626130100713,0.31951126672271807,60.637977776821636,9.266688806223376,0.8599614235734366,802.999969482,0.5413264931045099,0.0025009784622512187,3.431955391153806,2.2396630142590994,0.18548632832109718,0.001510722304459805,0.5483508959015813,0.02896075856887771,0.717573316933384,0.10184508247782678,198.56579556150604,10.375537147165486,0.8660153046477043,10283.004669189,17.310781223687126,0.6202371298216794,3.462999400311058,0.0320034239597502,0.35983111297866366,39,,,,,,,,,,,,,,,
