session,acc,r,p,null95,n
sub-92130c1b,0.5458944281524927,0.23569037874316476,0.15841584158415842,0.5662243401759531,117
sub-70bf8cbd,0.6896551724137931,0.5183987873187622,0.009900990099009901,0.6206896551724138,58
sub-9bebfe0b,0.5747863247863247,0.2253178448327962,0.26732673267326734,0.641559829059829,96
sub-c6e8125f,0.6453252032520325,0.2821911002910191,0.009900990099009901,0.5900237127371273,77
