session,unit,direction,n_spikes,peak_rate,spatial_info,field_start,field_end,field_width,slope_deg,phase_offset_deg,rho,p_asym,p_shuf,significant,precessing
Achilles-10252013,11,R,157,8.229644931666998,0.7897978414121167,0.09984964768494944,0.4193685202767876,0.3195188725918382,-182.70000000000002,288.6505797186278,-0.33121259666495967,2.943374092234663e-05,0.001996007984031936,True,True
Achilles-10252013,16,R,107,8.28250347045884,1.0399470857940751,0.09984964768494944,0.29954894305484836,0.19969929536989892,-294.29999999999995,253.18690203563656,-0.46767640060505977,1.9811095877120266e-06,0.001996007984031936,True,True
Achilles-10252013,23,R,392,24.916276330471963,1.5881244755793014,1.058406265460464,1.4977447152742416,0.43933844981377757,-142.20000000000002,304.0291420270703,-0.24565121821860972,8.715214461219034e-07,0.001996007984031936,True,True
Achilles-10252013,27,R,409,14.712953625530629,0.8595762917019206,0.09984964768494944,0.539188097498727,0.43933844981377757,-287.09999999999997,331.7418752255379,-0.23395320543045692,5.455965159884002e-06,0.001996007984031936,True,True
Achilles-10252013,39,R,449,23.940873445218703,1.0426126023322473,0.09984964768494944,0.4193685202767876,0.3195188725918382,-249.29999999999995,291.3481413661015,-0.5461440449195369,0.0,0.001996007984031936,True,True
Achilles-10252013,50,R,92,5.260318087980921,0.8336936754619304,0.25960908398086857,0.6590076747206662,0.39939859073979767,-581.4,309.56840312040515,-0.4849612951220249,4.895354719813838e-06,0.001996007984031936,True,True
Achilles-10252013,51,R,360,16.816632523357868,1.1364821341957667,0.09984964768494944,0.4193685202767876,0.3195188725918382,-221.4,219.08216058849192,-0.3324933407075342,3.987137286998177e-10,0.001996007984031936,True,True
Achilles-10252013,52,R,271,12.655373094666398,0.7987042459830386,0.6190678156466864,1.2181657017563832,0.5990978861096967,-372.6,349.39193738858216,-0.07316538831849768,0.20849125606145646,0.37325349301397204,False,False
Achilles-10252013,54,R,96,7.444797885276398,0.41194314569701707,0.09984964768494944,0.29954894305484836,0.19969929536989892,-198.9,201.1191987368453,-0.21245303653024278,0.042852004501634955,0.059880239520958084,False,False
Achilles-10252013,56,R,303,20.324486052960687,1.7805751203162243,0.09984964768494944,0.3394888021288281,0.23963915444387865,-19.799999999999976,59.1337149935077,-0.05461955815039622,0.32445574632365615,0.3393213572854291,False,False
Achilles-10252013,57,R,219,11.523486920150287,0.6622749044511,0.8587069700905652,1.4977447152742416,0.6390377451836764,-355.5,328.7057216426075,-0.4045859388455299,1.5679348930319748e-09,0.001996007984031936,True,True
Achilles-10252013,82,R,235,7.8694050534440505,0.6892920190601947,0.29954894305484836,0.9385866882385246,0.6390377451836763,-256.5,328.46701574956217,-0.2731535120447753,3.8122311741606296e-05,0.001996007984031936,True,True
Achilles-10252013,92,R,286,22.44265612360051,2.038914960594395,0.09984964768494944,0.29954894305484836,0.19969929536989892,-6.299999999999946,75.36502155638898,-0.012460133942622995,0.8320959280403923,0.8502994011976048,False,False
Achilles-10252013,109,R,71,5.75193972872447,1.6751424846574705,1.098346124534444,1.4977447152742416,0.39939859073979767,-323.99999999999994,21.464129897175408,0.35674033401589156,0.0042658713643561885,0.005988023952095809,True,True
Achilles-10252013,113,R,361,16.888734876903797,0.8025990003645856,0.09984964768494944,0.4992482384247472,0.3993985907397978,-414.8999999999999,281.08435321338794,-0.49922188400271494,0.0,0.001996007984031936,True,True
