session,unit,cell_type,mrl,pref_phase,rayleigh_p,entrained
Achilles-10252013,2,inhibitory,0.0698383123797268,133.80658654642093,1.7004056683540125e-12,True
Achilles-10252013,7,excitatory,0.10836411030225138,275.7279322931967,0.00021637066031580195,True
Achilles-10252013,9,excitatory,0.3281187636681649,280.50533221842556,2.0543502238956532e-05,True
Achilles-10252013,11,excitatory,0.32399640954518616,215.71010908133968,6.711224283517152e-12,True
Achilles-10252013,12,excitatory,0.15013493364814243,9.362083313872075,3.2688013289105634e-10,True
Achilles-10252013,13,excitatory,0.2795835227796227,230.7142727119027,0.008034455146997523,True
Achilles-10252013,16,excitatory,0.10816678611087265,210.14514339486462,0.0002366210297648908,True
Achilles-10252013,18,inhibitory,0.3550196135891948,89.52662556906989,0.0,True
Achilles-10252013,20,inhibitory,0.04675201719955732,204.2285231707852,0.1647811415034165,False
Achilles-10252013,21,excitatory,0.059123618920727275,230.12286301297166,0.6841282796181126,False
Achilles-10252013,23,excitatory,0.23170411046169903,239.047174667283,2.6337208601660355e-14,True
Achilles-10252013,27,excitatory,0.17399709006226327,209.76793136030287,4.5604816387920175e-11,True
Achilles-10252013,29,excitatory,0.11237826188125306,35.84839960667072,1.2883777012907912e-06,True
Achilles-10252013,33,excitatory,0.336505157000356,240.19340019858754,6.2717855492482715e-34,True
Achilles-10252013,39,excitatory,0.20257380083491497,177.97122715823878,1.696508700953876e-25,True
Achilles-10252013,41,excitatory,0.05565150099126686,287.2535891441528,0.640965288512138,False
Achilles-10252013,48,inhibitory,0.3178122113760432,99.27369518774843,6.364937921678904e-123,True
Achilles-10252013,49,inhibitory,0.16569400535891035,67.61262764741238,1.832131186829001e-29,True
Achilles-10252013,50,excitatory,0.17057327120476456,188.59837190943077,3.058485719358176e-19,True
Achilles-10252013,51,excitatory,0.22859351676171955,104.49391110630665,3.800023272423479e-16,True
Achilles-10252013,52,excitatory,0.04699400349170291,46.21245260612455,0.1642453289597522,False
Achilles-10252013,53,excitatory,0.28457344325857387,207.72142050632698,0.0005631018441548374,True
Achilles-10252013,54,excitatory,0.112654773433641,148.40761417395603,0.015263259128908226,False
Achilles-10252013,55,excitatory,0.0814278497992449,108.53219116604335,0.00022677470310915034,True
Achilles-10252013,56,excitatory,0.3876850580101341,49.29592937074897,1.0192464138679118e-23,True
Achilles-10252013,57,excitatory,0.1730628956135386,103.56725622621177,2.106866588962325e-14,True
Achilles-10252013,58,excitatory,0.30687884690350703,181.67797935708347,1.6401225679477004e-10,True
Achilles-10252013,74,excitatory,0.1257596964870689,200.86197845378507,0.31127982714738284,False
Achilles-10252013,76,excitatory,0.07385343709978166,6.490432472840136,0.5321441694634345,False
