session,unit,direction,n_spikes,peak_rate,spatial_info,field_start,field_end,field_width,slope_deg,phase_offset_deg,rho,p_asym,p_shuf,significant,precessing
Achilles-10252013,11,R,157,8.229644931666998,0.7897978414121167,0.09984964768494944,0.4193685202767876,0.3195188725918382,-183.6,286.3259167082296,-0.3314888297373002,2.9315703127696935e-05,0.004975124378109453,True,True
Achilles-10252013,16,R,107,8.28250347045884,1.0399470857940751,0.09984964768494944,0.29954894305484836,0.19969929536989892,-296.1,250.62176942729604,-0.427406512219463,1.613565329150468e-05,0.004975124378109453,True,True
Achilles-10252013,23,R,392,24.916276330471963,1.5881244755793014,1.058406265460464,1.4977447152742416,0.43933844981377757,-143.09999999999997,300.70826524866555,-0.2517874357674641,4.946470859579222e-07,0.004975124378109453,True,True
Achilles-10252013,27,R,409,14.712953625530629,0.8595762917019206,0.09984964768494944,0.539188097498727,0.43933844981377757,-281.7,327.1660597450243,-0.23083573793907247,7.398877115205593e-06,0.004975124378109453,True,True
Achilles-10252013,39,R,449,23.940873445218703,1.0426126023322473,0.09984964768494944,0.4193685202767876,0.3195188725918382,-247.49999999999997,288.07117942618623,-0.5463819335775852,0.0,0.004975124378109453,True,True
Achilles-10252013,50,R,92,5.260318087980921,0.8336936754619304,0.25960908398086857,0.6590076747206662,0.39939859073979767,-581.4,309.19705858406115,-0.490929915289694,4.024446389250258e-06,0.004975124378109453,True,True
Achilles-10252013,51,R,360,16.816632523357868,1.1364821341957667,0.09984964768494944,0.4193685202767876,0.3195188725918382,-222.29999999999998,217.38693998864298,-0.32108241228066503,1.5438295086767084e-09,0.004975124378109453,True,True
Achilles-10252013,52,R,271,12.655373094666398,0.7987042459830386,0.6190678156466864,1.2181657017563832,0.5990978861096967,-370.8,347.2564767299757,-0.08271146012104079,0.15460985466350818,0.3482587064676617,False,False
Achilles-10252013,54,R,96,7.444797885276398,0.41194314569701707,0.09984964768494944,0.29954894305484836,0.19969929536989892,-199.79999999999998,200.00678576426208,-0.21717412720410728,0.039129777211290406,0.06965174129353234,False,False
Achilles-10252013,56,R,303,20.324486052960687,1.7805751203162243,0.09984964768494944,0.3394888021288281,0.23963915444387865,-18.000000000000014,56.054436010205336,-0.05018217207968773,0.3655977535220625,0.39303482587064675,False,False
Achilles-10252013,57,R,219,11.523486920150287,0.6622749044511,0.8587069700905652,1.4977447152742416,0.6390377451836764,-359.1,327.8414861427528,-0.4044417870611237,1.6471295438691413e-09,0.004975124378109453,True,True
