session,track,channel,n_units,n_pyr,n_place,n_laps,n_ripples,ripple_rate,ripple_dur_ms,ripple_freq,rate_nrem,rate_rem,rate_awake,rate_run,n_events,ev,rev,frac_sig_PRE,n_PRE,frac_sig_Maze,n_Maze,frac_sig_POST,n_POST,frac_forward
Achilles_10252013,1.6,2,137,120,83,84,10109,17.39876131972235,51.199999998061685,163.81048387096774,24.44178916527311,0.0289715113471752,13.150718921083454,0.1917498291827806,5461,0.0596188226664873,0.0075137878220557,0.070873786407767,3090,0.4056603773584906,106,0.1368653421633554,2265,0.5891608391608392
Buddy_06272013,1.6,14,68,48,19,58,4338,12.3620858948201,56.80000000029395,161.29032258064515,18.39548375006684,0.8168316831683168,9.28273128990363,7.317230770497325,868,0.0995719561851721,0.001360598197056,0.0518962075848303,501,0.1276595744680851,47,0.090625,320,0.4098360655737705
Cicero_09012014,1.6,78,73,55,19,90,8722,15.056622360093504,51.19999999999436,156.25,27.091589745622223,0.2186156477228953,8.099578408724238,0.9863604165917372,2137,0.0243330181000553,0.0053528627056714,0.0604192355117139,811,0.2130681818181818,352,0.1047227926078028,974,0.4380530973451327
Cicero_09172014,1.9999974822636075,8,72,59,22,51,8803,15.738285605885196,51.199999998061685,161.29032258064515,29.48590631130582,0.6834363235448369,9.65817453548506,0.4646995258886484,2897,0.0041909626068985,0.0096780601912658,0.0477346278317152,1236,0.0765027322404371,183,0.0757780784844384,1478,0.5027027027027027
Gatsby_08022013,1.6,36,80,66,33,84,8467,15.874434814249804,53.60000000018772,161.29032258064515,23.743801699879775,0.1581027667984189,11.93491691204366,1.6941315653552405,3820,0.0247598049466464,6.45850329086394e-05,0.0576077396657871,2274,0.3292682926829268,164,0.0674342105263157,1216,0.5071942446043165
