start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
3466.0424,3466.1424,22,5,0.14951345397746518,0.732,0.752,-0.13715487593763853,0.702,0.786,rightward,0.14951345397746518,0.732,0.752,False,True,PRE
3469.8624,3469.9656,18,5,0.5732779784429877,0.148,0.264,-0.19801264411627406,0.578,0.736,rightward,0.5732779784429877,0.148,0.264,False,True,PRE
3485.4368,3485.6332,25,9,-0.1776831640591291,0.462,0.546,-0.08365499237961775,0.748,0.804,rightward,-0.1776831640591291,0.462,0.546,False,False,PRE
3487.5856,3487.7272,25,7,-0.5191868384464254,0.082,0.178,-0.5077741157359259,0.084,0.154,rightward,-0.5191868384464254,0.082,0.178,False,False,PRE
3506.6184,3506.7184,7,5,-0.07014726275833477,0.742,0.876,-0.5440200894546947,0.086,0.124,leftward,-0.5440200894546947,0.086,0.124,False,True,PRE
3513.536,3513.6536,29,5,-0.05844331807262688,0.89,0.866,-0.23623106475614014,0.634,0.666,leftward,-0.23623106475614014,0.634,0.666,False,True,PRE
3519.296,3519.396,10,5,0.01874397921553879,0.88,0.924,-0.18964282839070024,0.332,0.314,leftward,-0.18964282839070024,0.332,0.314,False,True,PRE
3542.8596,3542.9596,21,5,0.33752891128374013,0.418,0.434,0.6651596984242831,0.05,0.128,leftward,0.6651596984242831,0.05,0.128,False,False,PRE
3547.3956,3547.4956,24,5,0.35367208842405423,0.472,0.416,-0.24198571954918952,0.464,0.646,rightward,0.35367208842405423,0.472,0.416,False,True,PRE
3548.1304,3548.3112,36,9,-0.267303385428473,0.416,0.476,0.06198391926234788,0.844,0.858,rightward,-0.267303385428473,0.416,0.476,False,False,PRE
3550.8648,3550.9648,12,5,0.6737064060926883,0.0,0.038,0.1472602952381412,0.64,0.694,rightward,0.6737064060926883,0.0,0.038,True,True,PRE
3560.6152,3560.7976,30,9,0.08201150038372318,0.772,0.814,0.05146898835652011,0.846,0.88,rightward,0.08201150038372318,0.772,0.814,False,True,PRE
3561.8356,3562.0328,20,9,0.13232640159037878,0.548,0.548,0.3664795547851338,0.068,0.052,leftward,0.3664795547851338,0.068,0.052,False,False,PRE
3563.3052,3563.4052,16,5,0.013254519588308051,0.964,0.98,0.43486930518206346,0.196,0.19,leftward,0.43486930518206346,0.196,0.19,False,False,PRE
3563.814,3563.914,17,5,0.7815845849093329,0.008,0.018,0.2823352166072524,0.434,0.47,rightward,0.7815845849093329,0.008,0.018,True,True,PRE
3571.8828,3571.9828,22,5,0.1031719493271313,0.788,0.896,0.1544803788594148,0.79,0.782,leftward,0.1544803788594148,0.79,0.782,False,False,PRE
3585.3384,3585.5144,23,8,-0.15423431270471355,0.52,0.708,0.14991106950504712,0.632,0.654,rightward,-0.15423431270471355,0.52,0.708,False,False,PRE
3587.6836,3587.7836,16,5,0.550621267580611,0.092,0.28,0.06328870045199868,0.756,0.882,rightward,0.550621267580611,0.092,0.28,False,True,PRE
3588.3088,3588.4088,17,5,0.5381256666896718,0.28,0.282,0.5272402366255959,0.28,0.244,rightward,0.5381256666896718,0.28,0.282,False,True,PRE
3588.6256,3588.7416,23,5,-0.1106708188763668,0.82,0.806,0.3374963986805101,0.512,0.532,leftward,0.3374963986805101,0.512,0.532,False,False,PRE
3594.5788,3594.6788,17,5,0.19953451318019472,0.626,0.658,0.001172934958779883,1.0,0.998,rightward,0.19953451318019472,0.626,0.658,False,True,PRE
3602.8976,3603.0708,35,8,-0.2555707247365846,0.374,0.336,-0.3217038398181002,0.282,0.254,leftward,-0.3217038398181002,0.282,0.254,False,True,PRE
3604.5696,3604.6696,12,5,0.0018948729688488023,0.996,1.0,0.11131993089678005,0.696,0.744,leftward,0.11131993089678005,0.696,0.744,False,False,PRE
3607.3976,3607.4976,12,5,0.27910159957227654,0.426,0.544,0.0577159198316913,0.892,0.914,rightward,0.27910159957227654,0.426,0.544,False,True,PRE
3614.1548,3614.2548,21,5,-0.14789611220630067,0.538,0.742,-0.45492272663042915,0.172,0.292,leftward,-0.45492272663042915,0.172,0.292,False,True,PRE
3624.744,3624.8664,27,6,0.06980799633421235,0.842,0.9,0.5900518244248936,0.15,0.194,leftward,0.5900518244248936,0.15,0.194,False,False,PRE
3625.602,3625.702,13,5,-0.2745606196874974,0.216,0.534,0.15248532837920706,0.638,0.728,rightward,-0.2745606196874974,0.216,0.534,False,False,PRE
3626.1624,3626.3408,25,8,-0.5756995717297096,0.004,0.13,-0.4668230759387592,0.056,0.19,rightward,-0.5756995717297096,0.004,0.13,False,False,PRE
3637.0532,3637.1532,15,5,-0.24869551537946916,0.526,0.608,-0.3462330531232579,0.368,0.33,leftward,-0.3462330531232579,0.368,0.33,False,True,PRE
3652.2552,3652.356,27,5,-0.4848216628636447,0.316,0.336,0.4282647785748992,0.34,0.448,rightward,-0.4848216628636447,0.316,0.336,False,False,PRE
3652.9608,3653.1372,20,8,-0.2698610989851004,0.234,0.366,-0.05555900760197275,0.822,0.828,rightward,-0.2698610989851004,0.234,0.366,False,False,PRE
3657.9156,3658.0156,23,5,0.5715847485604862,0.086,0.218,0.40958477305865865,0.294,0.394,rightward,0.5715847485604862,0.086,0.218,False,True,PRE
3684.1112,3684.2112,21,5,-0.3020829216517385,0.412,0.542,0.09460602386709538,0.846,0.848,rightward,-0.3020829216517385,0.412,0.542,False,False,PRE
3700.8376,3700.9376,12,5,0.024058861134640442,0.946,0.926,0.2019411888253583,0.348,0.456,leftward,0.2019411888253583,0.348,0.456,False,False,PRE
3727.7092,3727.8092,13,5,0.7509831475711897,0.002,0.036,0.5396227220026206,0.006,0.128,rightward,0.7509831475711897,0.002,0.036,True,True,PRE
3733.8976,3733.9976,10,5,0.2710507770220248,0.25,0.474,0.20796356946041042,0.496,0.532,rightward,0.2710507770220248,0.25,0.474,False,True,PRE
3735.4084,3735.5084,18,5,0.5305182316533438,0.094,0.128,0.12481944522786995,0.724,0.792,rightward,0.5305182316533438,0.094,0.128,False,True,PRE
3737.2616,3737.3616,10,5,0.4664737639540045,0.054,0.142,0.3931106089166966,0.104,0.168,rightward,0.4664737639540045,0.054,0.142,False,True,PRE
3752.1056,3752.2256,25,6,-0.4691650266318008,0.178,0.3,-0.44595646883988804,0.224,0.36,rightward,-0.4691650266318008,0.178,0.3,False,False,PRE
3757.086,3757.186,14,5,0.07208909257109994,0.756,0.838,0.40823028354093477,0.104,0.156,leftward,0.40823028354093477,0.104,0.156,False,False,PRE
3758.3792,3758.4792,11,5,-0.015358997078496441,0.966,0.988,0.27540273505774315,0.386,0.584,leftward,0.27540273505774315,0.386,0.584,False,False,PRE
3773.0032,3773.1736,29,8,0.5395674930283814,0.038,0.198,-0.7761189776385088,0.0,0.018,leftward,-0.7761189776385088,0.0,0.018,True,True,PRE
3777.3976,3777.4976,8,5,0.06890850717856298,0.756,0.856,-0.061664672518452396,0.794,0.854,rightward,0.06890850717856298,0.756,0.856,False,True,PRE
3778.3016,3778.4016,18,5,0.5692028737787739,0.08,0.254,-0.2549339985147651,0.494,0.638,rightward,0.5692028737787739,0.08,0.254,False,True,PRE
3790.3352,3790.4888,41,7,0.5011815875692482,0.196,0.226,0.39179639666132293,0.344,0.442,rightward,0.5011815875692482,0.196,0.226,False,True,PRE
3831.854,3831.954,26,5,0.18722531752004962,0.518,0.756,-0.14761953665877928,0.724,0.812,rightward,0.18722531752004962,0.518,0.756,False,True,PRE
