start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
15362.6944,15362.7944,8,5,-0.3320172589444694,0.216,0.304,-0.0522128929794893,0.754,0.886,rightward,-0.3320172589444694,0.216,0.304,False,False,POST
15378.63,15378.73,6,5,-0.005532143308849461,0.976,0.974,0.03283621140036041,0.836,0.842,leftward,0.03283621140036041,0.836,0.842,False,False,POST
15380.0152,15380.1192,7,5,-0.11971552292140367,0.7,0.734,-0.21539154985322384,0.432,0.654,leftward,-0.21539154985322384,0.432,0.654,False,True,POST
15380.1528,15380.2584,7,5,0.17437166351386624,0.71,0.616,0.16663210207418885,0.658,0.714,rightward,0.17437166351386624,0.71,0.616,False,True,POST
15381.8232,15381.9304,5,5,0.4049178147373983,0.07,0.15,0.293543039798613,0.204,0.496,rightward,0.4049178147373983,0.07,0.15,False,True,POST
15398.8228,15398.9228,5,5,-0.5608979197969708,0.016,0.1,-0.25682714865565026,0.26,0.56,rightward,-0.5608979197969708,0.016,0.1,False,False,POST
15402.7592,15402.8776,8,5,0.6274538495778516,0.022,0.066,0.7476387219752633,0.024,0.08,leftward,0.7476387219752633,0.024,0.08,False,False,POST
15410.6384,15410.7384,5,5,-0.5858071539921218,0.0,0.014,-0.5993356913005634,0.0,0.008,leftward,-0.5993356913005634,0.0,0.008,True,True,POST
15416.3072,15416.4072,9,5,-0.4165998899074822,0.156,0.274,-0.2964064880920894,0.276,0.392,rightward,-0.4165998899074822,0.156,0.274,False,False,POST
15426.4264,15426.7096,9,14,0.04720595368176259,0.77,0.806,-0.10954839720408621,0.37,0.584,leftward,-0.10954839720408621,0.37,0.584,False,True,POST
15429.1248,15429.2248,8,5,-0.15958695083929098,0.572,0.674,-0.35914661918726964,0.218,0.418,leftward,-0.35914661918726964,0.218,0.418,False,True,POST
15430.9344,15431.0344,5,5,0.14214633582672184,0.614,0.696,-0.2009973698214718,0.438,0.728,leftward,-0.2009973698214718,0.438,0.728,False,True,POST
15433.5528,15433.6896,7,6,0.03906285154289777,0.872,0.9,-0.43104421107918756,0.056,0.25,leftward,-0.43104421107918756,0.056,0.25,False,True,POST
15434.0064,15434.1064,5,5,0.27903650171194605,0.066,0.232,0.5169890512287785,0.002,0.018,leftward,0.5169890512287785,0.002,0.018,True,False,POST
15434.1364,15434.2364,6,5,0.14629511937269718,0.556,0.742,0.18262815855678302,0.376,0.612,leftward,0.18262815855678302,0.376,0.612,False,False,POST
15434.964,15435.064,5,5,0.025688834945675542,0.902,0.906,0.037469699913923536,0.872,0.888,leftward,0.037469699913923536,0.872,0.888,False,False,POST
15435.3652,15435.4652,7,5,-0.056145035450247606,0.898,0.938,-0.7137339821746141,0.0,0.03,leftward,-0.7137339821746141,0.0,0.03,True,True,POST
15442.7748,15442.8748,5,5,0.2177175838253658,0.446,0.642,0.2746104748489756,0.426,0.49,leftward,0.2746104748489756,0.426,0.49,False,False,POST
15464.6328,15464.756,7,6,0.3600862772313369,0.262,0.304,0.7501679543611733,0.0,0.034,leftward,0.7501679543611733,0.0,0.034,True,False,POST
15469.0208,15469.1208,7,5,0.18123990863141595,0.262,0.46,-0.015418678946267802,0.944,0.968,rightward,0.18123990863141595,0.262,0.46,False,True,POST
15470.4216,15470.5216,7,5,0.5595747267395536,0.018,0.118,0.21959702751016455,0.25,0.618,rightward,0.5595747267395536,0.018,0.118,False,True,POST
15479.6696,15479.838,6,8,0.036411623334991226,0.812,0.92,-0.152587286383638,0.53,0.622,leftward,-0.152587286383638,0.53,0.622,False,True,POST
15481.0648,15481.1648,6,5,-0.4076044776069467,0.032,0.234,0.44868139932811324,0.028,0.258,leftward,0.44868139932811324,0.028,0.258,False,False,POST
15482.5756,15482.6756,6,5,0.46669483506796017,0.058,0.04,0.18101585053527633,0.276,0.558,rightward,0.46669483506796017,0.058,0.04,False,True,POST
15489.9304,15490.0304,5,5,0.17016554557118577,0.45,0.684,-0.49683109390869024,0.048,0.218,leftward,-0.49683109390869024,0.048,0.218,False,True,POST
15492.0784,15492.1784,5,5,-0.027209076940485393,0.912,0.94,0.106120312267073,0.698,0.766,leftward,0.106120312267073,0.698,0.766,False,False,POST
15493.594,15493.694,5,5,-0.0919796950312859,0.562,0.526,-0.018844623049069982,0.906,0.894,rightward,-0.0919796950312859,0.562,0.526,False,False,POST
