start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
4.5676,4.6676,6,5,-0.10387327892618543,0.74,0.764,0.055962222303710424,0.84,0.892,rightward,-0.10387327892618543,0.74,0.764,False,False,PRE
133.2768,133.3888,7,5,0.275528027629799,0.262,0.396,0.23877925983904566,0.45,0.472,rightward,0.275528027629799,0.262,0.396,False,True,PRE
136.3808,136.5676,10,9,-0.0033917388812904283,0.964,0.986,-0.11707772599990705,0.42,0.46,leftward,-0.11707772599990705,0.42,0.46,False,True,PRE
145.3472,145.4888,7,7,-0.07500981851089498,0.666,0.706,0.12890708594984754,0.398,0.504,leftward,0.12890708594984754,0.398,0.504,False,False,PRE
161.4012,161.5012,9,5,0.05971665465348182,0.804,0.844,0.08602100611721934,0.76,0.728,leftward,0.08602100611721934,0.76,0.728,False,False,PRE
179.7376,179.8376,5,5,0.25641023849948463,0.018,0.394,0.1949099785793186,0.464,0.312,rightward,0.25641023849948463,0.018,0.394,False,True,PRE
183.3524,183.4524,5,5,-0.07310623726810955,0.336,0.806,-0.15789979462083129,0.246,0.244,leftward,-0.15789979462083129,0.246,0.244,False,True,PRE
337.078,337.2504,9,8,0.23855881658526928,0.042,0.286,-0.06832804305957017,0.68,0.766,rightward,0.23855881658526928,0.042,0.286,False,True,PRE
352.7424,352.8424,7,5,0.000309986301759031,0.996,0.998,-0.30718182191734533,0.174,0.262,leftward,-0.30718182191734533,0.174,0.262,False,True,PRE
359.3264,359.4264,5,5,0.03853694237320858,0.826,0.878,-0.30513166408468617,0.076,0.108,leftward,-0.30513166408468617,0.076,0.108,False,True,PRE
366.4548,366.5548,5,5,-0.0918513508394166,0.664,0.626,-0.08393773933676504,0.51,0.622,rightward,-0.0918513508394166,0.664,0.626,False,False,PRE
366.6468,366.7468,6,5,0.15044217115143874,0.418,0.552,0.23814471146160884,0.08,0.358,leftward,0.23814471146160884,0.08,0.358,False,False,PRE
385.784,385.8904,6,5,0.061224665353039845,0.776,0.762,-0.023577781501327666,0.876,0.916,rightward,0.061224665353039845,0.776,0.762,False,True,PRE
389.1144,389.2144,8,5,-0.23412791856660975,0.136,0.246,-0.12145420337304522,0.334,0.56,rightward,-0.23412791856660975,0.136,0.246,False,False,PRE
389.3612,389.4612,6,5,0.13100335575825572,0.25,0.514,0.14404271330575957,0.476,0.472,leftward,0.14404271330575957,0.476,0.472,False,False,PRE
401.512,401.612,5,5,-0.09503921511324885,0.522,0.656,-0.052527042580205456,0.74,0.72,rightward,-0.09503921511324885,0.522,0.656,False,False,PRE
402.1528,402.3064,5,7,-0.0673232816929192,0.552,0.616,0.005983252499949945,0.934,0.968,rightward,-0.0673232816929192,0.552,0.616,False,False,PRE
