start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
31067.3324,31067.5276,9,9,0.19942633319454148,0.306,0.288,0.010120001994325504,0.95,0.964,rightward,0.19942633319454148,0.306,0.288,False,True,POST
31072.4096,31072.5096,7,5,-0.18318843840863686,0.126,0.202,-0.0258006928808708,0.888,0.86,rightward,-0.18318843840863686,0.126,0.202,False,False,POST
31072.9364,31073.0364,5,5,-0.3516047930898737,0.088,0.286,0.010194213279193315,0.958,0.978,rightward,-0.3516047930898737,0.088,0.286,False,False,POST
31073.1728,31073.2784,6,5,0.006419101322958069,0.968,0.984,-0.0896287238565169,0.766,0.776,leftward,-0.0896287238565169,0.766,0.776,False,True,POST
31078.4896,31078.6168,5,6,-0.0543949259184615,0.8,0.792,-0.10320337817405814,0.694,0.696,leftward,-0.10320337817405814,0.694,0.696,False,True,POST
31115.6868,31115.8804,11,9,0.33005634076309803,0.086,0.17,0.15774548683554476,0.448,0.566,rightward,0.33005634076309803,0.086,0.17,False,True,POST
31119.7408,31119.8432,11,5,0.34088324149445604,0.32,0.364,0.23311784831215718,0.342,0.572,rightward,0.34088324149445604,0.32,0.364,False,True,POST
31132.978,31133.078,6,5,-0.030195604311754547,0.784,0.858,0.10399116502592323,0.31,0.516,leftward,0.10399116502592323,0.31,0.516,False,False,POST
31148.012,31148.112,9,5,-0.23704387550228787,0.3,0.266,0.037890306341292306,0.842,0.902,rightward,-0.23704387550228787,0.3,0.266,False,False,POST
31151.8932,31151.9932,6,5,-0.02434528108224225,0.962,0.954,0.44660142399112807,0.052,0.25,leftward,0.44660142399112807,0.052,0.25,False,False,POST
31152.082,31152.182,7,5,-0.03649055250864469,0.92,0.922,-0.11724458846431095,0.682,0.72,leftward,-0.11724458846431095,0.682,0.72,False,True,POST
31163.5472,31163.7268,6,8,0.0016893227354274484,0.986,0.986,-0.11774615958979891,0.312,0.47,leftward,-0.11774615958979891,0.312,0.47,False,True,POST
31166.3712,31166.5604,5,9,0.04265804087114832,0.72,0.712,0.05609022433108672,0.632,0.722,leftward,0.05609022433108672,0.632,0.722,False,False,POST
31194.9472,31195.0472,5,5,-0.05325453457160388,0.682,0.814,0.04609269624032166,0.746,0.866,rightward,-0.05325453457160388,0.682,0.814,False,False,POST
31195.5568,31195.6568,6,5,0.04655517049891484,0.782,0.784,0.025847602341857498,0.878,0.914,rightward,0.04655517049891484,0.782,0.784,False,True,POST
31201.2624,31201.3624,9,5,0.0007918759217316388,0.998,0.992,0.04260988228198033,0.608,0.736,leftward,0.04260988228198033,0.608,0.736,False,False,POST
31201.8788,31202.072,11,9,0.43889862337822927,0.008,0.042,0.18094534900247558,0.344,0.524,rightward,0.43889862337822927,0.008,0.042,True,True,POST
31204.424,31204.524,6,5,0.012801076451830455,0.952,0.972,-0.2251797862641448,0.064,0.544,leftward,-0.2251797862641448,0.064,0.544,False,True,POST
31220.9884,31221.0884,9,5,0.10085064460471813,0.492,0.68,-0.24963980889255408,0.18,0.338,leftward,-0.24963980889255408,0.18,0.338,False,True,POST
31224.0624,31224.1624,6,5,0.3515932631713892,0.136,0.186,0.1388252669795901,0.576,0.644,rightward,0.3515932631713892,0.136,0.186,False,True,POST
31224.2676,31224.3676,9,5,0.2005709264505142,0.168,0.542,0.04136726593407267,0.832,0.906,rightward,0.2005709264505142,0.168,0.542,False,True,POST
31226.1288,31226.2288,9,5,0.6432489472709879,0.024,0.106,0.3509560045502743,0.422,0.51,rightward,0.6432489472709879,0.024,0.106,False,True,POST
31228.8628,31228.9628,5,5,0.11092163692654541,0.28,0.246,0.1324196468952052,0.278,0.286,leftward,0.1324196468952052,0.278,0.286,False,False,POST
31235.0728,31235.2564,10,9,0.18669713961332282,0.204,0.288,-0.07115428605322008,0.618,0.706,rightward,0.18669713961332282,0.204,0.288,False,True,POST
31242.9876,31243.1872,9,9,0.20716497429678477,0.272,0.374,0.25685244300593085,0.22,0.298,leftward,0.25685244300593085,0.22,0.298,False,False,POST
31244.9752,31245.0968,8,6,-0.044672436053687606,0.748,0.824,0.213137876034629,0.442,0.346,leftward,0.213137876034629,0.442,0.346,False,False,POST
31248.4596,31248.5596,8,5,0.04931211738254306,0.79,0.86,-0.051308756119016405,0.74,0.876,leftward,-0.051308756119016405,0.74,0.876,False,True,POST
31249.974,31250.074,5,5,0.09940118985542686,0.63,0.476,-0.026896792980040985,0.896,0.856,rightward,0.09940118985542686,0.63,0.476,False,True,POST
31263.28,31263.38,11,5,0.023870582094012917,0.934,0.934,0.40486093280785906,0.008,0.172,leftward,0.40486093280785906,0.008,0.172,False,False,POST
31268.6404,31268.8348,6,9,-0.24435991851885616,0.124,0.158,-0.062014221224179135,0.744,0.758,rightward,-0.24435991851885616,0.124,0.158,False,False,POST
31277.1988,31277.3792,12,9,-0.16385826202119208,0.326,0.5,0.3776450901903814,0.052,0.108,leftward,0.3776450901903814,0.052,0.108,False,False,POST
31293.9436,31294.0436,7,5,0.1623691080555066,0.346,0.344,0.1605230973625943,0.33,0.304,rightward,0.1623691080555066,0.346,0.344,False,True,POST
31299.7732,31299.8732,6,5,-0.2993497175113001,0.124,0.2,0.3573087569614834,0.102,0.244,leftward,0.3573087569614834,0.102,0.244,False,False,POST
31319.476,31319.576,6,5,0.2476956122201954,0.068,0.444,-0.09813445114227344,0.552,0.774,rightward,0.2476956122201954,0.068,0.444,False,True,POST
31327.6376,31327.7376,5,5,-0.26762976985781073,0.324,0.338,-0.23588735909787545,0.4,0.512,rightward,-0.26762976985781073,0.324,0.338,False,False,POST
31330.9328,31331.0328,5,5,0.14395991714873616,0.412,0.446,0.058375576842032297,0.632,0.812,rightward,0.14395991714873616,0.412,0.446,False,True,POST
31351.728,31351.9112,9,9,0.15593503458062866,0.382,0.466,-0.2604936003382275,0.224,0.27,leftward,-0.2604936003382275,0.224,0.27,False,True,POST
31352.7228,31352.8228,7,5,0.04286984059087901,0.892,0.844,-0.4334049402143163,0.15,0.096,leftward,-0.4334049402143163,0.15,0.096,False,True,POST
31360.2552,31360.3552,5,5,-0.04292879597414377,0.76,0.752,-0.10318216405829324,0.464,0.518,leftward,-0.10318216405829324,0.464,0.518,False,True,POST
31361.194,31361.294,5,5,0.22567364868719159,0.434,0.392,0.14196121087906438,0.588,0.632,rightward,0.22567364868719159,0.434,0.392,False,True,POST
31389.5568,31389.6568,5,5,0.06798802133767975,0.33,0.592,0.06356866142261351,0.494,0.644,rightward,0.06798802133767975,0.33,0.592,False,True,POST
31409.9096,31410.0864,13,8,-0.06544108881355815,0.754,0.806,0.47373076298487315,0.062,0.116,leftward,0.47373076298487315,0.062,0.116,False,False,POST
31414.0444,31414.1444,5,5,0.040260848158009066,0.772,0.732,-0.09945139627473065,0.104,0.48,leftward,-0.09945139627473065,0.104,0.48,False,True,POST
31439.442,31439.542,8,5,0.1359726024469662,0.474,0.578,-0.30344830127098443,0.232,0.24,leftward,-0.30344830127098443,0.232,0.24,False,True,POST
31448.5288,31448.644,6,5,0.20591370761795444,0.354,0.53,-0.017440095546922964,0.946,0.952,rightward,0.20591370761795444,0.354,0.53,False,True,POST
31468.8032,31468.9032,6,5,-0.1561646061526776,0.266,0.616,0.19163560689120362,0.514,0.61,leftward,0.19163560689120362,0.514,0.61,False,False,POST
31470.6484,31470.7484,7,5,-0.25801852833664124,0.116,0.102,0.006340811496669788,0.966,0.978,rightward,-0.25801852833664124,0.116,0.102,False,False,POST
31473.1576,31473.2664,7,5,0.11580712645175496,0.754,0.674,0.14726627871961961,0.71,0.696,leftward,0.14726627871961961,0.71,0.696,False,False,POST
31473.3376,31473.4744,5,6,-0.3235799092918064,0.026,0.13,-0.08429138555474983,0.686,0.764,rightward,-0.3235799092918064,0.026,0.13,False,False,POST
31478.1488,31478.2488,5,5,0.16680069586775245,0.092,0.342,-0.01437912803587966,0.822,0.942,rightward,0.16680069586775245,0.092,0.342,False,True,POST
31483.0788,31483.1788,5,5,0.3858800418325682,0.066,0.128,0.4661297242054,0.01,0.134,leftward,0.4661297242054,0.01,0.134,False,False,POST
31513.9404,31514.0404,6,5,-0.3634606188995675,0.13,0.18,0.6514652757175001,0.012,0.008,leftward,0.6514652757175001,0.012,0.008,True,False,POST
31514.062,31514.252,5,9,-0.05044932010129595,0.658,0.73,0.1059288081982769,0.604,0.666,leftward,0.1059288081982769,0.604,0.666,False,False,POST
31518.4256,31518.6124,6,9,-0.21847184102178643,0.142,0.318,-0.03861680632379917,0.844,0.86,rightward,-0.21847184102178643,0.142,0.318,False,False,POST
31532.2008,31532.3008,5,5,-0.0032417141784271204,0.984,0.962,0.07932272376417027,0.56,0.586,leftward,0.07932272376417027,0.56,0.586,False,False,POST
31577.9332,31578.0332,9,5,0.5543616119546899,0.02,0.034,-0.4387241356816661,0.074,0.174,rightward,0.5543616119546899,0.02,0.034,True,True,POST
31581.8,31581.9,6,5,0.025896098486439142,0.888,0.902,-0.048534864904980206,0.782,0.818,leftward,-0.048534864904980206,0.782,0.818,False,True,POST
31597.8356,31597.9356,6,5,-0.15745245909771374,0.554,0.652,-0.45974782070072717,0.046,0.262,leftward,-0.45974782070072717,0.046,0.262,False,True,POST
31604.7588,31604.8588,7,5,-0.03314348889125018,0.91,0.872,0.055638546852569595,0.886,0.84,leftward,0.055638546852569595,0.886,0.84,False,False,POST
31605.7368,31605.8672,6,6,0.16225162140965382,0.562,0.414,-0.14990959850415717,0.606,0.64,rightward,0.16225162140965382,0.562,0.414,False,True,POST
31606.7192,31606.8192,6,5,0.18705654371308136,0.568,0.472,-0.0361556695160048,0.892,0.932,rightward,0.18705654371308136,0.568,0.472,False,True,POST
31608.3712,31608.5536,6,9,-0.0377161431686973,0.758,0.872,-0.006604033954842764,0.98,0.982,rightward,-0.0377161431686973,0.758,0.872,False,False,POST
31609.2532,31609.3532,7,5,0.01760263378189722,0.948,0.942,0.21573795560173492,0.22,0.48,leftward,0.21573795560173492,0.22,0.48,False,False,POST
