unit,direction,peak,si,com,stability,place_cell
1,rightward,0.742900999267927,1.704249790545696,0.30400000000000005,-0.11649698276138315,False
6,rightward,1.2581387890827793,1.090339832961271,1.424,0.05072478897205739,False
7,rightward,10.991557966441372,0.17805986447244546,0.368,0.4604181395681972,False
9,rightward,14.410777196277204,1.5356520002019958,1.584,0.5107381744493472,True
11,rightward,9.263046834621962,0.7275925617734234,0.176,0.7169047805097098,True
12,rightward,18.589882481681066,0.448999286818341,0.56,0.6839059936453463,True
13,rightward,2.1568093527133363,0.8702275958663918,0.048,0.5381008975738144,True
16,rightward,10.238104396161118,0.9570626293494392,0.112,0.7674974781245699,True
21,rightward,3.645074996408052,0.5427376727114436,0.56,0.4566070732267697,True
22,rightward,0.1772831930071189,4.73532523578495,0.14400000000000002,,False
23,rightward,28.243046610099633,1.5395449855717418,1.392,0.8260254143308099,True
27,rightward,17.106273009458842,0.7597355030456607,0.33599999999999997,0.7852040178828166,True
28,rightward,0.6610559739248502,2.291070556536842,1.328,-0.061951154997978104,False
29,rightward,22.92240583267485,0.1401808685671463,0.33599999999999997,0.03793834780053637,False
33,rightward,12.727067119037379,0.71361378143537,0.912,0.610202448119893,True
39,rightward,26.103903222308062,1.2346424836379377,0.24,0.6859617204314715,True
41,rightward,3.000177112428166,0.35513733893923227,1.264,0.18216331826953275,False
43,rightward,1.1143514989018903,2.522711090434766,0.30400000000000005,0.016272512120501965,False
50,rightward,6.815936352506708,1.3119142402620303,0.4,-0.22011262284698754,False
51,rightward,16.276551420968556,1.0825816840995555,0.24,0.6399450262903936,True
52,rightward,13.449069814333159,0.8866013085586542,0.784,0.8050477832236859,True
53,rightward,2.2287029978037807,0.7306288632217459,0.30400000000000005,-0.25323199853519385,False
54,rightward,9.491710776044862,0.43683782894989837,0.08,0.3624054084520992,True
55,rightward,27.5453761134811,0.34182282414058307,0.176,0.7918240809289985,False
56,rightward,20.96373757309181,1.497457980507873,0.112,0.8047472485499803,True
57,rightward,14.400850139655198,0.7973248221757367,1.264,0.4002085828897323,True
58,rightward,3.6564658557718275,1.378321040380272,1.296,0.06665808702516056,False
59,rightward,0.3979826781792465,4.220355653434064,0.944,,False
60,rightward,0.3714504996339635,2.2958500438501392,0.30400000000000005,-0.07739184216743551,False
70,rightward,5.451109202305506,2.2516457906621676,0.016,0.8065707377087139,True
74,rightward,1.2381683321132113,1.3737770297466998,1.36,-0.0634524116450679,False
76,rightward,8.244972027720788,1.2871205659234917,1.584,0.45557953662361095,True
78,rightward,2.4819647020996642,2.294071794280266,0.368,-0.050494676499099916,False
79,rightward,2.3637759067615853,0.8397606311803928,1.1360000000000001,0.13175594625730916,False
82,rightward,8.28798927308281,0.8834577210012253,0.688,0.5344630031625377,True
84,rightward,1.950115123078308,2.2114229364945306,0.176,0.3085850136412945,True
86,rightward,1.6028343477355955,1.1901136307507416,1.552,0.0890609016792934,False
87,rightward,1.4662519722393292,2.1863700361093166,0.496,0.20166440826660126,False
89,rightward,1.6028343477355955,2.6627005811796387,1.552,-0.033756013804728015,False
90,rightward,0.0,0.0,0.016,,False
92,rightward,28.218255697999478,1.6573761582844735,0.048,0.8750397422887984,True
93,rightward,6.557909263449178,1.62055700200738,0.08,0.5761217206264828,True
94,rightward,1.857252498169817,1.0133415547061404,0.30400000000000005,0.19684617567310886,False
95,rightward,12.668070681414205,2.367852217894374,0.016,0.8401545291612362,True
96,rightward,3.9923616692941737,1.798890417689128,0.016,0.38975329018226523,True
98,rightward,1.8001062674568997,1.590695275345374,1.264,0.11361306274490597,False
101,rightward,3.762033111450279,2.1133887705922256,0.016,0.8064787640068319,True
103,rightward,4.707174435016606,0.901508523512667,1.392,0.5714852824298198,True
109,rightward,6.686108993411342,1.7263561407512573,1.1680000000000001,0.7343928393058318,True
110,rightward,3.7998566736452326,2.61640084665623,1.584,0.7574887357123724,True
111,rightward,1.0354593573867121,1.261159492876361,0.08,-0.12061228728333295,False
112,rightward,10.211232731079328,2.634805012180497,0.016,0.8395511346930637,True
113,rightward,22.418646296805743,0.7408606652027153,0.24,0.7354864518448454,True
114,rightward,3.6564658557718275,1.647734436977893,1.296,0.12240500951438223,False
116,rightward,3.120184196925293,0.4728746365294576,1.104,0.3292838422128024,True
117,rightward,3.343054496705671,1.6588179509416023,1.1680000000000001,0.028707637915847628,False
118,rightward,7.7359938766742795,0.6454418855350056,0.46399999999999997,0.5566570269734986,True
120,rightward,0.5065234085917684,2.9494649245279434,1.008,-0.05996547674829461,False
121,rightward,1.14712654298724,1.2530060312335085,1.52,0.0029300590278598386,False
123,rightward,1.3449069814333159,1.2890679707958435,0.784,0.025835778291328004,False
125,rightward,6.1420948758371905,0.35395879640183736,0.016,0.2293746769932279,False
126,rightward,0.6724534907166579,2.204279331953114,1.392,0.3237680336662207,False
129,rightward,8.895261964918598,0.3390917167880376,0.5920000000000001,0.05375128575755176,False
137,rightward,6.7563043634209095,1.3681063837172682,0.016,0.3920127312123557,True
143,rightward,2.2225576770377775,1.5398831954984906,1.584,0.06321927382947394,False
144,rightward,0.5374333016357542,3.0954778792042066,0.016,-0.02916018161581348,False
145,rightward,1.0400613989750978,1.446265155228755,1.04,-0.07213307012948023,False
146,rightward,25.61345236281957,0.3761477900035202,1.232,0.4750940197167069,False
147,rightward,0.9286262490849085,3.310180041063909,0.72,-0.04198732802958235,False
148,rightward,11.143514989018902,0.7898425990075462,1.36,0.6607589067884841,True
151,rightward,16.13146701075806,1.3082630368625816,1.584,0.7320537270959439,True
161,rightward,5.754438068099925,0.44047201393186436,1.2,0.32407173409884843,True
163,rightward,5.931225719961675,0.659520661632808,0.048,0.7433462965164811,True
169,rightward,2.8145991467109597,2.7996933260790047,0.752,0.050444032251446363,False
171,rightward,1.1642478346736167,1.201429845438101,1.232,-0.16458984189847814,False
172,rightward,0.6000354224856332,2.4600059558924214,1.264,-0.08254861765142557,False
173,rightward,0.57356327149362,3.449960404888394,1.072,-0.03200856160580828,False
175,rightward,23.88513096483509,1.342611227364964,0.20800000000000002,0.9448415230172819,True
176,rightward,27.51325212405055,0.4606099575360962,0.20800000000000002,0.8401445701051352,True
177,rightward,16.587186104344227,1.2353083350542682,0.784,0.7465467910289731,True
179,rightward,14.406255864182095,0.9482895655871355,0.272,0.4973039259670565,True
180,rightward,0.5342781159118651,3.834018326157775,1.552,-0.02896889800665523,False
181,rightward,0.975057561539154,2.1296116706655184,0.112,0.5571242765309677,False
182,rightward,0.7573262613896341,1.8456632375611643,0.4,-0.0308144714339449,False
183,rightward,13.742937284685713,2.331184339663122,0.016,0.9474893583919866,True
186,rightward,4.656991338694467,1.4166222227768794,1.232,0.12822770947358345,False
201,rightward,4.852821043605006,0.47680219575743316,0.048,0.1562468660447722,False
202,rightward,6.393820075666583,0.7197735598684383,1.2,0.32129635279039503,True
203,rightward,2.7858787472547255,0.4209273182238415,1.1680000000000001,-0.23627290082984145,False
204,rightward,4.133884592700561,0.5430426404820826,0.048,0.28584198612633355,False
210,rightward,1.0748666032715084,2.222696102435852,0.016,0.1845096000197314,False
211,rightward,0.6094109759619712,1.418637854571531,1.296,-0.01223846358394283,False
