unit_id,maze_rate_hz,SI_right_bits,SI_left_bits,peak_rate_R,peak_rate_L,is_place_cell,peak_R,centre_R,width_R,peak_L,centre_L,width_L
2,2.0505992010652463,0.15697880467036962,0.2569928089635659,17.93152320157852,18.388514489158688,False,17.93152320157852,0.5625,0.4250000000000001,18.388514489158688,0.7375,0.675
3,0.8616468364760964,0.0,0.0,0.0,0.0,False,,,,,,
5,0.1769683432842232,1.8019353842372572,1.9588493230885353,0.43495150806919425,2.2132641418074868,True,0.43495150806919425,1.3375000000000001,0.10000000000000009,2.2132641418074868,0.36250000000000004,0.2
7,0.9441175207250548,1.2079140248001357,0.7046418252227176,3.3831025858156023,0.7741809875745432,True,3.3831025858156023,1.0625,0.44999999999999996,0.7741809875745432,0.0125,0.05
8,0.3870108672307891,0.6681960851134714,0.8224740118999746,11.837642915710191,4.394930808733689,True,11.837642915710191,0.6375,0.5750000000000002,4.394930808733689,0.6125,0.32499999999999996
10,0.3431983162235299,0.5809404904764528,0.9298611080258863,1.456855270309473,0.2658084011287242,True,1.456855270309473,0.21250000000000002,0.2,0.2658084011287242,1.4375,0.125
11,0.8728147416348095,1.6031656198400943,1.7428447576270325,0.48744028595456446,1.879218055951948,True,0.48744028595456446,0.6375,0.09999999999999987,1.879218055951948,0.1875,0.22500000000000003
12,0.9582921695803446,0.9356627785647786,0.8326971525576399,15.330835632174272,33.80518408447583,True,15.330835632174272,0.5875000000000001,0.425,33.80518408447583,0.4375,0.55
13,0.2736136763884713,1.2327367528548412,0.3033150220340807,0.5091956744343036,1.462018584853819,False,0.5091956744343036,0.3875,0.15000000000000002,1.462018584853819,1.1375000000000002,0.2250000000000001
14,1.627507409475538,1.9912843033724106,1.5547688179725334,0.4680965725158778,0.269826660506853,False,0.4680965725158778,1.4375,0.2250000000000001,0.269826660506853,1.5875000000000001,0.050000000000000044
15,1.0815686611399855,0.6869992769724248,0.7314050252964582,2.1241997322766872,1.9030485685061949,True,2.1241997322766872,1.5875000000000001,0.2250000000000001,1.9030485685061949,1.5875000000000001,0.15000000000000013
17,1.6983806537519868,0.024449961889061296,0.021523097235724604,2.6383820959033204,3.237700566970135,False,2.6383820959033204,1.2875,1.5750000000000002,3.237700566970135,0.6375,0.8
18,0.8500493965035867,0.7417490687676516,0.582511411037567,7.648305622953692,2.839761921619691,True,7.648305622953692,0.8875,0.42500000000000004,2.839761921619691,1.0875,0.375
19,0.441132253769168,0.2917404157386367,0.9237016410382337,1.0336201566721344,6.015504969871039,True,1.0336201566721344,0.6375,0.125,6.015504969871039,0.1375,0.22499999999999998
23,0.615952922984408,3.2932609686488137,1.0525327484937945,0.1904652268336904,0.3127806607578437,False,0.1904652268336904,1.5125000000000002,0.09999999999999987,0.3127806607578437,0.7875000000000001,0.19999999999999996
24,0.289076929685151,0.8713968177292417,1.033173332392016,0.39606245442243243,0.2168510916919493,False,0.39606245442243243,0.28750000000000003,0.125,0.2168510916919493,0.5375000000000001,0.10000000000000009
25,1.1146428418023282,2.716696799862661,1.7617409697733497,0.5273884728088492,3.2247108227575154,True,0.5273884728088492,1.5875000000000001,0.050000000000000044,3.2247108227575154,1.5875000000000001,0.050000000000000044
26,0.3466345947339032,1.577893155080436,2.0414579845411964,1.229617825261958,3.575816318814859,True,1.229617825261958,1.5875000000000001,0.07499999999999996,3.575816318814859,1.5875000000000001,0.07499999999999996
27,1.6902194922898501,1.125985323286854,0.8793893368023946,0.39393086769474434,2.176265845436679,True,0.39393086769474434,0.1375,0.09999999999999999,2.176265845436679,0.6375,0.15000000000000013
28,1.8482883037670204,0.3746862395408763,0.5873041912450958,2.4515438058011236,9.629814399447572,True,2.4515438058011236,0.6625000000000001,0.30000000000000004,9.629814399447572,0.1125,0.47500000000000003
30,1.3955586100253425,0.45754765007774734,0.0970154585412489,3.182634200981283,1.3345250809394513,False,3.182634200981283,0.0125,0.1,1.3345250809394513,1.5875000000000001,0.07499999999999996
35,1.5102444053090505,0.0,3.184616183964534,0.0,0.38601239558011463,False,,,,0.38601239558011463,1.5875000000000001,0.025000000000000133
36,0.3702590094927194,0.8693127651098363,0.10067379419655459,6.3780122056920305,2.33706231054916,True,6.3780122056920305,1.5375,0.27500000000000013,2.33706231054916,1.3125,0.375
38,0.4269576049138783,0.5162779602645153,0.4691257695091335,1.4271240707908044,1.4310811273434925,True,1.4271240707908044,1.2625000000000002,0.19999999999999996,1.4310811273434925,0.8375000000000001,0.25
39,0.8384519565310768,0.19753053730908945,0.1413055548346871,2.4387962052924053,12.260028515546033,False,2.4387962052924053,1.0125000000000002,0.2749999999999999,12.260028515546033,0.0125,0.175
40,0.17739787809801985,1.0127285912041089,0.7173555060757437,0.2387389920599476,0.37068366257851787,False,0.2387389920599476,0.5875000000000001,0.125,0.37068366257851787,1.4375,0.17500000000000004
42,1.53215068081268,0.05909967194446322,0.7274790343991585,4.535012319974945,10.516991783422572,True,4.535012319974945,0.7875000000000001,0.875,10.516991783422572,0.21250000000000002,0.6500000000000001
44,0.286499720802371,0.5943568551511045,1.4592582446169133,1.0449668851903402,12.054235032112251,True,1.0449668851903402,0.08750000000000001,0.175,12.054235032112251,0.41250000000000003,0.6
45,0.7864782440616812,2.573589915619935,3.6219709828652764,0.18076415954802796,0.8990803044557745,False,0.18076415954802796,0.0625,0.1,0.8990803044557745,0.1125,0.10000000000000003
48,1.8959666680984495,0.4288458394421734,0.5793292444584316,3.7495048946178016,4.3763936773251855,True,3.7495048946178016,1.5875000000000001,0.07499999999999996,4.3763936773251855,1.5875000000000001,0.07499999999999996
49,0.31613762295434045,0.5810303354258616,0.40542743286649363,1.4213334294739401,2.017870233515436,True,1.4213334294739401,0.0125,0.25,2.017870233515436,0.3125,0.2
52,0.3809973798376359,0.7798899719826509,0.5695332585164951,0.5182234567371746,0.8440433731697498,False,0.5182234567371746,1.2625000000000002,0.09999999999999987,0.8440433731697498,0.9375,0.3750000000000002
53,1.593574159185602,1.977537281348238,2.576990789105588,0.17056361665167857,0.897771250102671,False,0.17056361665167857,0.0125,0.025000000000000005,0.897771250102671,0.08750000000000001,0.15000000000000002
54,0.3526480821270564,1.8201517801322122,1.7974058576079885,0.26051380952653586,0.5150083636523203,False,0.26051380952653586,0.41250000000000003,0.15000000000000002,0.5150083636523203,0.1125,0.125
55,0.33160087625102014,1.1795734486294025,2.818080677190713,3.8164638358086553,0.9317962092525769,True,3.8164638358086553,0.0125,0.05,0.9317962092525769,0.1125,0.10000000000000003
56,1.8581676044843436,1.0875993830394557,1.0530640040168633,23.004581342047143,4.03476584894987,True,23.004581342047143,0.1875,0.375,4.03476584894987,0.2375,0.2
62,0.2980971607748808,0.883466838022135,1.48803613187546,3.5994545369186044,0.3555442950529293,True,3.5994545369186044,0.16250000000000003,0.47500000000000003,0.3555442950529293,1.1375000000000002,0.10000000000000009
67,0.2736136763884713,1.0691487784747395,1.13694395046111,0.8918127249938311,2.594087454319896,True,0.8918127249938311,0.16250000000000003,0.45000000000000007,2.594087454319896,0.4625,0.27500000000000013
