session,subject,maze_type,track_cm,n_units,n_excitatory,n_laps,run_time_s,n_place_cells,place_cell_fraction,n_fields,median_si,median_width_cm,median_peak_rate,median_participation,decode_error_cm,chance_error_cm
Achilles_10252013,Achilles,linear,160.0,137,120,80,202.80249373797778,82,0.6833333333333333,121,0.677431882338924,32.0,7.300595382840569,0.8717948717948718,5.196999420528698,46.51604621959232
Achilles_11012013,Achilles,circular,290.0,104,92,37,154.47044621300665,68,0.7391304347826086,68,1.036990992628465,28.194444444444436,10.173379014141815,0.7837837837837838,4.170323196859622,82.68366264655222
Buddy_06272013,Buddy,linear,160.0,68,48,47,118.60402564300784,16,0.3333333333333333,22,0.6859876716926646,46.0,6.8048106613406265,0.8318181818181818,10.28156825522954,47.467232981685996
Cicero_09012014,Cicero,linear,160.0,73,55,60,289.9191658719956,27,0.4909090909090909,45,0.34222244985404093,32.0,4.646806638151015,0.8518518518518519,8.461497018031302,47.60015441009057
Cicero_09102014,Cicero,circular,285.0,105,81,13,88.67793173799146,36,0.4444444444444444,36,1.177003745705386,28.098591549295776,8.805370909033108,1.0,3.8937171768174323,73.15470594681031
Cicero_09172014,Cicero,linear,200.0,72,59,15,102.27162783700624,22,0.3728813559322034,30,0.46687928213928886,42.0,10.290055970235526,1.0,12.55672961737789,54.515740702671174
Gatsby_08022013,Gatsby,linear,160.0,80,66,70,256.63956039201366,34,0.5151515151515151,53,0.4889315464395992,40.0,7.8620769420742915,0.7714285714285715,6.124505088811233,47.78838433895797
Gatsby_08282013,Gatsby,circular,285.0,51,41,52,309.57988022399877,37,0.9024390243902439,37,0.9065279486592038,24.084507042253524,6.834025317748576,0.8461538461538461,4.277391358919857,84.05397126897097
