unit,cell_type,location,si_rightward,si_z_rightward,p_rightward,peak_rate_rightward,peak_pos_rightward,mean_rate_rightward,sparsity_rightward,width_rightward,contrast_rightward,participation_rightward,stability_rightward,n_spikes_rightward,si_leftward,si_z_leftward,p_leftward,peak_rate_leftward,peak_pos_leftward,mean_rate_leftward,sparsity_leftward,width_leftward,contrast_leftward,participation_leftward,stability_leftward,n_spikes_leftward,is_place_cell
1,excitatory,lCA1,0.7277275538386696,1.9818075244053743,0.03696303696303696,0.40168499312075234,62.0,0.13122100783412363,0.54445499769913,44.0,3.1461735334586476,0.20512820512820512,-0.10113038637421946,13.0,0.41525908837268655,-0.447813944816966,0.6513486513486514,0.3820164875146136,110.0,0.1329712291227543,0.6657195106672875,32.0,2.486612886138916,0.0975609756097561,-0.23076693901875855,12.0,False
2,inhibitory,lCA1,0.007064236812961557,7.949430564284506,0.0,38.09062213186744,86.0,32.52840694032717,0.9903050827783653,160.0,,1.0,0.8413001759555696,3271.0,0.010794833647656132,12.498876216870709,0.0,40.88406643206805,106.0,33.30130477530615,0.9851691779713674,160.0,,1.0,0.7404123117654081,3103.0,False
6,excitatory,lCA1,0.3648189459725107,1.0715454749015343,0.14585414585414586,0.42673168904100506,146.0,0.21578367195566212,0.7212986702273382,48.0,1.8118471245685224,0.20512820512820512,-0.06432733219587948,22.0,0.2744575526797275,-0.33834130719143085,0.5594405594405595,0.5465268275519624,2.0,0.21769185049566792,0.7143805923972395,20.0,2.5495881779033533,0.14634146341463414,-0.35222561088194404,20.0,False
7,excitatory,lCA1,0.17865495937813342,19.00425326033812,0.0,11.600717801111331,38.0,6.415244381103867,0.8194048322027928,60.0,2.4620114307477032,1.0,0.8906600477571793,646.0,0.5222598535003982,9.03680122191302,0.0,5.767980159890476,26.0,2.2794444180296014,0.5962490888041213,56.0,4.961001316292641,0.8780487804878049,0.9190047292115852,212.0,True
9,excitatory,lCA1,0.9700982016209895,18.888692762967136,0.0,9.41359672467783,158.0,1.4552577301231548,0.30010126014222016,20.0,9.82935051000331,0.5405405405405406,0.9826230878214872,145.0,1.7917712925563307,12.704907706699206,0.0,9.297741678273997,158.0,0.9731009324552509,0.17378861001884435,8.0,18.811237810342213,0.75,0.9927392671358393,89.0,True
11,excitatory,lCA1,0.6551771742516947,28.04870744122429,0.0,7.530047263190637,22.0,2.282549685689716,0.49864042279989806,28.0,5.7564996307448295,0.9722222222222222,0.9533949993021003,228.0,0.6191271526916466,4.908071434754513,0.0,1.7764885709582374,18.0,0.6109833027679507,0.5350201363915577,28.0,3.7675886570996395,0.3902439024390244,0.6684800969625422,57.0,True
12,excitatory,lCA1,0.36775365670972093,29.602572533145903,0.0,18.03316243835981,58.0,8.88215317306921,0.6806940845226993,80.0,3.89858313354406,1.0,0.9734406968446707,888.0,0.37658637323942074,10.80082017137619,0.0,3.223323302909206,74.0,1.2816046244090764,0.659942128344794,40.0,3.3681840938047944,0.7804878048780488,0.6651934206769288,119.0,True
13,excitatory,lCA1,0.5815249356073292,11.974966064277648,0.0,2.073312975916972,6.0,0.6833222232949341,0.5570563744338506,16.0,4.776101767031787,0.5833333333333334,0.9112945864582788,70.0,0.10726631625959912,-1.6875365659271355,0.99000999000999,0.35989680312232053,74.0,0.21130259270668225,0.8830453307798171,52.0,1.6966219336098487,0.17073170731707318,-0.5425455107149163,20.0,True
16,excitatory,lCA1,0.9152808443799066,27.1232400082043,0.0,6.324168470125955,10.0,1.8959692556636687,0.42217904931480565,28.0,9.516495319659509,0.9722222222222222,0.9689798877552713,194.0,0.48866733496818643,24.266171595253788,0.0,12.65250029624385,114.0,5.937770935523997,0.6382214282989406,88.0,5.974590034042896,1.0,0.9330836843705201,553.0,True
18,inhibitory,lCA1,0.004602103774645036,12.955517707749078,0.0,58.38388309554923,150.0,47.294340980490354,0.9934442934620198,160.0,,1.0,0.8526075957629451,4751.0,0.005289738515981197,10.347693449101333,0.0,55.969253128636836,66.0,50.273551862342224,0.992922379839114,160.0,,1.0,0.9050376512839822,4690.0,False
