session,unit,n,mrl,pref,p,cell_type,significant
Buddy,1,2530,0.20224334839636382,-1.312343357334293,5.4528614440736145e-46,inhibitory,True
Buddy,2,1612,0.047518967895323894,1.065059014207725,0.02622854101448728,excitatory,True
Buddy,3,1335,0.18053017421902323,-0.5545307954332218,9.062414762825919e-20,excitatory,True
Buddy,4,36,0.29906972459633674,-0.453225858046191,0.038837770748737635,excitatory,True
Buddy,5,377,0.25470323778157133,-1.458268199209969,1.6467601440086605e-11,excitatory,True
Buddy,6,78676,0.3614627713958735,0.40327415315423915,0.0,inhibitory,True
Buddy,7,1587,0.051742024521016505,0.022277895775828456,0.014260206404370932,excitatory,True
Buddy,8,824,0.11200075662529825,-0.22980487549204373,3.158856813957726e-05,excitatory,True
Buddy,9,187,0.3442433630667859,-0.2224702602286659,1.2893527882422217e-10,excitatory,True
Buddy,10,589,0.1969464288039788,0.11899574503228197,9.7433208127122e-11,excitatory,True
Buddy,11,1761,0.13768358759576355,-0.3687793108435737,2.734617616544494e-15,excitatory,True
Buddy,12,1968,0.045154212883667326,0.5128814804326839,0.018068451717054464,excitatory,True
Buddy,13,547,0.267459841102928,0.23601082211126156,5.380358995172614e-18,excitatory,True
Buddy,14,3212,0.12774387958285252,-1.047296273190125,1.402400027246023e-23,excitatory,True
Buddy,15,2108,0.17493918311683163,0.3336930947339383,6.032367102789513e-29,excitatory,True
Buddy,16,26772,0.2666221436975721,-1.7689379661881033,0.0,inhibitory,True
Buddy,17,3325,0.12815929679821755,-1.5180145899095665,1.5419935188691472e-24,excitatory,True
Buddy,18,1734,0.102195533842561,-0.03959234037107066,1.3081485341229262e-08,excitatory,True
Buddy,19,733,0.1809436634068173,-1.5253780836065596,3.1479812961500216e-11,excitatory,True
Buddy,20,38232,0.2881166989372896,-1.9132662976043533,0.0,inhibitory,True
Buddy,21,43525,0.2335218665077579,-1.69814380952473,0.0,inhibitory,True
Buddy,22,120,0.11256603309559289,-0.4336524957030404,0.21892988114756345,excitatory,False
Buddy,23,1195,0.26269450616083195,0.31774289286988644,8.01453336738623e-37,excitatory,True
Buddy,24,549,0.191831806464773,-0.17754035652440264,1.4188204491910244e-09,excitatory,True
Buddy,25,2369,0.05851335949453726,-1.6304936905150178,0.00029864536747766575,excitatory,True
Buddy,26,750,0.2003098509660353,-1.029616426669919,6.40934169824469e-14,excitatory,True
Buddy,27,3026,0.2968718696782234,-0.45725546410783674,1.7908911015148968e-115,excitatory,True
Buddy,28,2938,0.12602223554433983,-1.3353882231599563,4.554091078177846e-21,excitatory,True
Buddy,29,5388,0.27040695491445776,-2.065611645589277,1.529552425167215e-170,inhibitory,True
Buddy,30,2836,0.1512678098482225,-0.6187935504224611,4.598117214690913e-29,excitatory,True
Buddy,31,19981,0.2068817302291539,-1.5070891155295885,0.0,inhibitory,True
Buddy,32,81101,0.1964160090654939,-1.6960826682435532,0.0,inhibitory,True
Buddy,33,45851,0.2099325500467821,-2.1453777664004576,0.0,inhibitory,True
Buddy,35,3188,0.22046701135439828,-2.1784285547410063,4.139569941699428e-68,excitatory,True
Buddy,36,796,0.18646891256876133,0.19571566763067744,7.61284494964559e-13,excitatory,True
Buddy,38,896,0.13891521497796103,-0.3843423606108871,2.8738417807658518e-08,excitatory,True
Buddy,39,1651,0.13889871362662956,-2.309753701841999,1.269344758530466e-14,excitatory,True
Buddy,40,360,0.2785754203646002,0.4849583044258803,4.430904468259509e-13,excitatory,True
Buddy,41,74,0.29603012458118,0.10626026647924125,0.0013769037712246344,excitatory,True
Buddy,42,2710,0.09372897749274095,-2.0462144052099243,4.360730895351609e-11,excitatory,True
Buddy,43,73,0.08156201840692122,0.1542003698569994,0.616868268372049,excitatory,False
Buddy,44,583,0.2622673168132954,-2.721440191186559,2.0529071583608736e-18,excitatory,True
Buddy,45,1661,0.17329186045903636,-0.4590529454710146,1.520601221191284e-22,excitatory,True
Buddy,46,75,0.2412346504517105,-2.085798154666783,0.012277591303713566,excitatory,True
Buddy,48,3981,0.13460130013154034,-1.2166398422505003,3.461523038269301e-32,excitatory,True
Buddy,49,625,0.18689140994337217,0.40930342446061435,2.7718169784438314e-10,excitatory,True
Buddy,50,57986,0.2833745001674627,-1.5559328621965085,0.0,inhibitory,True
Buddy,52,762,0.1903895052308188,-0.03138256877280185,7.980453902294152e-13,excitatory,True
Buddy,53,3264,0.191850495388681,-1.6252928630465775,3.2208920719420777e-53,excitatory,True
Buddy,54,611,0.1855400208702919,-0.3359740254814555,6.205972230620818e-10,excitatory,True
Buddy,55,637,0.053983973682132654,-1.320022653513256,0.1562520723749758,excitatory,False
Buddy,56,3729,0.10807391338764659,-0.6254670275055613,1.075313285928576e-19,excitatory,True
Buddy,57,32249,0.20928627586756943,0.1937356153529818,0.0,inhibitory,True
Buddy,58,91308,0.05239875453168326,-1.8952120824350616,1.1204888913063023e-109,inhibitory,True
Buddy,59,5950,0.3331098603196356,-0.5399423855004094,2.748793522777004e-285,inhibitory,True
Buddy,60,26756,0.23822904308979617,-0.9432118487768375,0.0,inhibitory,True
Buddy,61,96178,0.33356247879117,-2.6027819891151402,0.0,inhibitory,True
Buddy,62,664,0.12732093643877201,-1.7836768129240619,2.04060342114226e-05,excitatory,True
Buddy,63,22599,0.23337211953427384,-0.07711189747537926,0.0,inhibitory,True
Buddy,64,2348,0.08276464613638708,-0.7759578420223169,1.0101707376883489e-07,inhibitory,True
Buddy,65,8513,0.14751858150969732,-0.8152975213957001,1.7062226453609637e-81,inhibitory,True
Buddy,66,5889,0.45026912584103534,-0.27531954358571364,0.0,inhibitory,True
Buddy,67,519,0.15744162982982107,-0.6115668023662444,2.4166247295450544e-06,excitatory,True
Buddy,68,31010,0.12736781755287696,-0.8402455277206973,3.382990715598487e-219,inhibitory,True
Achilles,1,1151,0.058307174653331954,1.8844479374528795,0.019946252346554054,excitatory,True
Achilles,2,31501,0.12204032297542533,2.8276061427967214,1.3241823546050385e-204,inhibitory,True
Achilles,6,184,0.5121921952578321,0.1516356912148751,2.3171429224190736e-21,excitatory,True
Achilles,7,3451,0.08148950128901357,-2.2306187991216637,1.0773498134605169e-10,excitatory,True
Achilles,9,1344,0.10265127583792918,-2.4320851287163108,6.846681626739894e-07,excitatory,True
Achilles,11,1058,0.13052855023113677,-2.6591607544581137,1.3852909229590844e-08,excitatory,True
Achilles,12,2418,0.04025350225386836,0.4244956784326906,0.019865505824779226,excitatory,True
Achilles,13,1164,0.1628822536511909,-2.3393845374771742,3.19297949217902e-14,excitatory,True
Achilles,16,2511,0.10822213263977354,-2.5137245403013173,1.5588974700635035e-13,excitatory,True
Achilles,18,36371,0.32077161490164163,1.7198659906258271,0.0,inhibitory,True
Achilles,20,18187,0.045890352815105666,0.41708108005555905,2.2804326080269433e-17,inhibitory,True
Achilles,21,1884,0.09084064916711539,-2.330561087225166,1.7215268740923867e-07,excitatory,True
Achilles,22,293,0.21618961679312118,-0.5240583343615401,9.813479278372981e-07,excitatory,True
Achilles,23,1532,0.07232628823536116,-2.7522261873841845,0.00032818942588840066,excitatory,True
Achilles,27,2637,0.1586587581328735,-2.7057520379221,9.962693758123361e-30,excitatory,True
