placefields	Demonstrate hippocampal place cells using data from the DANDI Archive
orientation	Demonstrate orientation selectivity in the visual system using data from the DANDI Archive
auditory	Demonstrate auditory frequency tuning using data from the DANDI Archive
reach	Demonstrate reach direction and velocity tuning with data on the DANDI Archive
theta	Demonstrate theta phase entrainment and precession for hippocampal place cells using data from the DANDI Archive
