unit_id,structure,firing_rate,snr,blank_rate,p_value,gosi,osi,gdsi,dsi,pref_dir,pref_ori,peak_response,selective,dir_0,dir_45,dir_90,dir_135,dir_180,dir_225,dir_270,dir_315
950911195,CA1,8.20178122250774,2.0472056732891,9.644107399981792,1.0,,,,,,,0.0,False,8.14501134935692,8.840539017883945,7.9748013833256985,8.573448179837191,7.843470103860432,8.549274212069424,7.993291158139858,9.529056823101245
950911217,CA1,4.62057394714168,1.33675505573008,6.559736753367022,1.0,,,,,,,0.0,False,4.442734411424437,3.6328230402555004,3.6543469613723376,3.3600799130982906,4.313072994697906,4.641269795961504,2.909837096241513,3.6913553170789024
950911223,CA1,15.0879645410553,2.47266582032478,16.203838619214434,0.6993006993006993,0.47317290582439203,0.5354746809629971,0.7855431681304113,1.0,45.0,45.0,0.7498246606241814,False,16.414921530768535,16.953663279838615,15.061449148629817,15.333908216751128,16.228151257869147,16.1477368213265,15.110129016532973,16.430682177116548
950911238,CA1,7.26320162193461,1.04692942858766,5.929818504029559,0.35064935064935066,0.3502956695008211,0.5125383358029991,0.44222004816533406,1.0,45.0,90.0,0.5481513730839032,False,6.039620828185123,6.477969877113462,6.429801314209259,6.140015080135671,6.069939219968222,5.696826240234701,6.205318581854318,5.8562041584941955
950911249,CA1,3.93267885584417,1.34996574204735,4.452812112582627,1.0,,,,,,,0.0,False,3.2026888749924773,3.5735554061179013,3.4415644935944947,4.230341292143793,3.472107742979738,3.33590747517978,4.022934115083168,3.0252509070339166
950911258,CA1,11.1381378849024,1.92719712782763,9.448618242363215,0.7342657342657343,0.0900970998674499,0.10737496572096775,0.1883549354291022,0.7554534928006006,0.0,45.0,1.328133810039322,False,10.776752052402538,10.69627896037734,10.370930307342075,10.322006263531742,9.633636236670991,10.313916714432445,10.56131432201044,10.27842952392626
950911266,CA1,23.8648386582716,3.88312919358066,24.848772726394895,1.0,,,,,,,0.0,False,22.980884028172742,23.22137374534047,23.535824275123588,23.996020684138927,24.263114309899322,23.246604747094967,24.128876727992978,23.304561894671163
950911286,CA1,2.39660923362852,2.51647924862798,4.105258204685737,0.3866133866133866,0.8736722059454636,0.8736722059454636,0.9389630246824453,1.0,270.0,90.0,0.24197664566630817,False,4.0680494145131245,3.5573266226745446,3.8208715733580756,3.1103019742495226,4.121572891834718,3.8918901290284125,4.347234850352045,2.7014478561551503
950911294,CA1,0.653832794085563,1.07407529718435,0.5864683412001382,0.5134865134865135,1.0,1.0,1.0000000000000002,1.0,225.0,45.0,0.025921081885753816,False,0.5263479979786484,0.5673205267262207,0.35155964106675275,0.3384259636908493,0.5079111426621626,0.6123894230858921,0.5083441320170374,0.48107853200037953
950911313,CA1,0.27483141175122,1.0863574235358,0.04344198681058107,0.2787212787212787,0.23938162518869427,0.47504762525120736,0.04278054675723296,0.10894509808833704,90.0,90.0,0.0768276808523298,False,0.04460574516403376,0.11007732294406189,0.12026966766291086,0.07252017140047841,0.09159010568000799,0.080577435956389,0.10517424185547422,0.1017667840838218
950911363,CA1,0.855990195004435,0.846522473957857,0.45614314037499265,0.31368631368631367,0.3008311966238196,0.39541766058991157,0.20306477777928375,0.698024084705069,0.0,0.0,0.5251853034492173,False,0.9813284438242099,0.5673223033491771,0.6105983935664135,0.5398692919292741,0.549541881969444,0.7654844943617609,0.5696972435479988,0.5273368039621424
950911383,CA1,2.65382623825987,1.0974434294753,2.7585620391581758,1.0,,,,,,,0.0,False,2.5960540299535615,2.439129469862369,2.3221286671131702,2.0789018250945315,2.4396314897213123,2.1514182125442134,2.2524957093125604,2.451650700888689
950911391,CA1,1.00658754329426,1.81069694538435,0.5430235330770118,0.2867132867132867,0.3201078911416123,0.38851785890889007,0.3905897586306885,0.1531892544203338,315.0,135.0,0.33587027746152087,False,0.6334014654815006,0.6012630175242645,0.5365881071685599,0.7896600318000307,0.47460374757194834,0.7413111709969872,0.8676924102269343,0.8788938105385327
950911402,CA1,1.03551716558386,2.0395970516078,0.1737688153745847,0.36563436563436563,0.36443019554616773,0.5422446973163975,0.12848671579674992,0.0812752141957228,0.0,0.0,0.1384721138911926,False,0.3122409292657773,0.1693495258581955,0.24979026874224827,0.1450397792352109,0.2914241185798643,0.2417318248245581,0.1577616911645444,0.2775453335677058
950911413,CA1,2.23539658038566,0.961091012960289,1.2598220666850606,0.31868131868131866,1.0,1.0,1.0,1.0,0.0,0.0,0.10511419000162259,False,1.3649362566866832,1.2449331129361723,0.9714099848789173,0.8138342810718002,1.0990857606255309,1.192544433973368,1.1393909404637346,1.1286866212462638
