session,subject,state,cond,n_cells,dur,n_bins,ring_score,hole,ang_unif,h1_top,h1_ratio,cc_iso_decoded,cc_internal_pref,split_cc,split_err_deg,med_speed,corr_near,corr_far,decode_err_deg
201015b,A3716,wake,real,77,3627.618,18138,0.8830174836472383,0.0,0.981901417527983,4.995880164163786,3.5725260980220086,0.9108161651646234,0.9504068576384666,0.9647144054986507,6.000000000000009,45.0,0.4382863076200081,-0.12477359078361279,11.532812797786871
201015b,A3716,wake,shuffle0,77,3627.618,18138,0.18106961230912944,0.15633333333333332,0.8815775010346241,0.37001225033743046,1.1910060268723417,0.08753906297235234,0.019516090305655542,0.013172705211963892,87.0,150.00000000000009,0.002776984982714696,0.0024658867754724367,
201015b,A3716,rem,real,77,259.0,1295,0.6845728444969319,0.018532818532818532,0.9920690362959782,1.5919152114403672,5.65380807307885,0.8174069755101924,0.8778808201843319,0.8795842571964508,9.0,30.000000000000043,0.37613023029841974,-0.04537194839409892,
201015b,A3716,rem,shuffle0,77,259.0,1295,0.44163188963882916,0.11969111969111969,0.8989502502174797,0.4206296779720131,1.5446144312842245,0.15275830373059346,0.08158691075379623,-0.023070464659709702,72.0,90.0,0.005367341654313992,0.004172006803695894,
201015b,A3716,nrem,real,77,6364.748,25471,0.6774109370755115,0.057666666666666665,0.9502020169863047,1.468008315311971,3.9272088028526175,0.7517910960657712,0.8706755185024971,0.7432405390356108,12.000000000000018,105.00000000000009,0.2752441967242561,-0.05851915853898692,
201015b,A3716,nrem,shuffle0,77,6364.748,26423,0.1959437542325111,0.154,0.9385744835673221,0.2831944829796563,1.0652731481334163,0.007982814217799108,0.032811592717820484,-0.011135932478157884,84.00000000000001,210.00000000000017,-0.005361528837246663,-0.004233705144610202,
200810b,A3711,wake,real,65,4864.054,24321,0.561756873971057,0.009666666666666667,0.8509958503203374,6.021795193930928,8.088265321894502,0.9614436645073693,0.8095839498232731,0.955199480435931,5.999999999999983,30.000000000000167,0.44293619124210176,-0.11600409864506717,13.477170327129903
200810b,A3711,wake,shuffle0,65,4864.054,24321,0.25031751329886964,0.16633333333333333,0.9238072667231583,0.33856954714243304,1.1814220629870418,0.017148518850410428,0.08710506744972185,0.0005909221618694999,83.99999999999997,119.9999999999999,0.004483475859110994,0.0026006821260491594,
200810b,A3711,rem,real,65,293.0,1465,0.6211753496054253,0.07372013651877134,0.9356027245746957,0.5890584414110898,3.145680902097371,0.7883799348998558,0.6233779738979901,0.8196922379963695,9.0,29.999999999999915,0.35436409293107335,-0.08841796150525992,
200810b,A3711,rem,shuffle0,65,293.0,1465,0.45537009018842356,0.11126279863481228,0.966008939230751,0.6088149830793338,1.1093420432754248,0.0003448846780907038,0.06081168247532383,0.005994323906237878,90.0,149.9999999999998,-0.0016911005192193716,0.006129831700114146,
