session,n_trials,n_units,prestim_bacc,prestim_auc,p_global,p_within_block,frac_units_p05,zero_contrast_bacc,zero_contrast_p,unbiased_bacc,unbiased_p
s1,1201,334,0.518,0.529,0.11940298507462686,0.6616915422885572,0.084,0.537,0.24378109452736318,0.474,0.6467661691542289
s2,434,500,0.589,0.625,0.009950248756218905,0.09950248756218906,0.094,0.551,0.32338308457711445,0.58,0.08955223880597014
s3,741,156,0.544,0.573,0.009950248756218905,0.14427860696517414,0.071,0.595,0.05472636815920398,0.528,0.2835820895522388
s4,631,201,0.588,0.623,0.004975124378109453,0.18407960199004975,0.159,0.661,0.009950248756218905,0.498,0.5621890547263682
