,bits_per_spike,shuf_mean,shuf_99,peak_rate,n_spikes,is_place_cell
34,5.3081745235875015,0.0,0.0,0.2353178014171714,1,False
22,5.113358346603479,0.0,0.0,0.20559344755394973,1,False
9,4.715985667513661,0.0,0.0,0.6300444360524267,3,False
35,4.666405667247871,0.0,0.0,0.45246434403765,3,False
47,4.648908776544788,0.0,0.0,0.3228326862417393,2,False
45,4.530887612578596,4.511069809589466,5.323112744490213,0.8252694725757137,5,False
41,4.171596676511433,0.0,0.0,0.2604183669016697,2,False
4,3.8770190959552235,0.0,0.0,0.3228326862417393,3,False
14,2.701556836792925,2.7167809923563304,3.3828032315124483,0.517387483910602,9,False
53,2.5698363282844916,2.892309487441928,3.54695463136762,0.6300444360524267,11,False
54,2.4750092401976977,2.578660083403957,3.1895563412611354,0.38296818662010246,9,False
46,2.3531721468197944,2.6310689761948836,3.2107355069184638,0.3650724769649575,9,False
23,2.3451562304356752,2.157546105968984,2.686992146415413,0.6456653724834786,13,False
26,2.3354815791884,0.8332826785320818,1.1282577451008482,3.77053620031375,67,True
43,2.3028682661562123,2.405364366161486,3.4780894602454255,0.9412712056686856,15,False
5,2.274804793247022,1.6966420726672966,2.129052839922966,1.5318727464804098,26,False
24,2.240966596419299,2.047993035749876,2.5442320338320337,0.730144953929915,14,False
25,2.1508569110016795,1.233107209379847,1.7045849807582991,2.7147860642259,51,True
55,2.0831802007311433,0.8716098906392983,1.156042199936831,5.27875068043925,74,True
11,2.01084761010681,1.8197373533583265,2.2326806884705026,1.8750122416920216,27,False
40,1.934339782014917,1.8956708314430988,2.333012242377219,0.7416978804161478,16,False
56,1.4214597176372894,0.1662706079642611,0.28247347256753336,18.44630098886827,627,True
27,1.3875690572958213,0.9936053286202863,1.3238305462941662,1.6108352591855857,40,False
62,1.3843434447516907,0.8000413140786136,1.7435316502740574,3.5761677144947597,117,False
67,1.296847385963355,0.6683204187426182,1.0011491294471497,2.765504781256669,83,True
7,1.2232416219331834,0.8887297646995699,1.330117135819375,3.150222180262133,85,False
10,1.215450166769467,1.0199511468898625,1.41013046563809,1.808460881261595,45,False
15,1.0446302625523898,0.7218872377347502,1.0129108661693627,2.26232172018825,88,True
44,1.0315590525969158,0.30321664399160686,0.5236894813211688,6.0923562899014465,257,True
52,0.9789657565305991,0.9660035643405745,1.2801171547576409,0.8430810439262687,43,False
13,0.8676066053461274,1.0520644474589946,1.625499158909392,1.6389967147657531,57,False
38,0.8647538262674751,0.582702872863009,0.826202652060465,1.335478804623947,74,True
8,0.854539307837313,0.1331060491669673,0.2085661298036607,10.751216982179024,427,True
12,0.8402590007461124,0.07695706679321125,0.13417988646481108,23.744027570446352,1125,True
18,0.7744941344825246,0.255530518483611,0.3919032960693891,5.296644750542434,229,True
48,0.7608473841126581,0.29217360924855407,0.4261880377557914,5.4295721284518,201,True
19,0.7190953086630715,0.3797122797229714,0.5447414362949481,2.810270146420896,121,True
49,0.6008906200525331,0.39087919834088625,0.5829631080818036,2.582661489933914,113,True
30,0.44465726863453675,0.3654271256626348,0.538339594016214,2.639375340219625,150,False
28,0.4124357876670929,0.15091538074964672,0.233294734433479,5.637923407149549,315,True
36,0.3420769386606899,0.21460292069035486,0.34644731513490556,4.394559941465675,275,False
42,0.32933378623810095,0.10581397966987441,0.16850093636161892,6.562542845922076,484,True
39,0.2623038075597679,0.10286189028396456,0.16384037620453148,8.34674252889967,618,True
2,0.18140133656907806,0.04375536438347287,0.07200318147717015,18.40456727622377,1493,True
17,0.09224256455489863,0.1087997508522749,0.1661258284255009,3.5837389940596744,345,False
51,0.0,0.0,0.0,0.0,0,False
37,0.0,0.0,0.0,0.0,0,False
3,0.0,0.0,0.0,0.0,0,False
