start,end,duration,n_bins,score,pval,significant
14654.4856,14654.5968,0.11119999999937136,6,0.31436075008483105,0.06387225548902195,False
15053.3168,15053.4272,0.11039999999957217,6,-0.1901764710714823,0.19161676646706588,False
15118.328,15118.4968,0.16880000000128348,8,-0.05654201948982063,0.8423153692614771,False
15291.2224,15291.3488,0.12639999999919382,6,0.5139030428706736,0.03792415169660679,True
15402.7632,15402.876,0.11280000000078871,6,0.66142609411867,0.03592814371257485,True
15426.4624,15426.7112,0.24879999999939173,12,-0.09533449546491289,0.5049900199600799,False
15433.5528,15433.692,0.13919999999961874,7,-0.32337493556227287,0.03792415169660679,True
15495.5624,15495.6448,0.08239999999932479,4,0.33844868278797147,0.07385229540918163,False
15502.3976,15502.5216,0.12399999999979627,6,-0.010838188390659385,0.9580838323353293,False
15842.1592,15842.2528,0.09360000000015134,5,0.05964560160299684,0.5868263473053892,False
15860.9144,15861.0088,0.09439999999995052,5,0.46606661970984564,0.015968063872255488,True
15975.1256,15975.2416,0.11599999999998545,6,0.040645442602294295,0.656686626746507,False
15980.3192,15980.4304,0.11119999999937136,6,0.07218056064647103,0.3712574850299401,False
15992.176,15992.2696,0.09360000000015134,5,-0.4264345220724591,0.10778443113772455,False
16081.5696,16081.7144,0.14480000000003201,7,0.03901219441248319,0.7425149700598802,False
16677.3192,16677.4128,0.09359999999651336,5,0.1785118290288837,0.29740518962075846,False
16723.5376,16723.6464,0.1088000000017928,5,0.4735637009781493,0.08383233532934131,False
16724.328,16724.4656,0.13759999999820138,7,-0.3077445736830556,0.13572854291417166,False
16735.0136,16735.16,0.14640000000144937,7,0.12909634447071527,0.4411177644710579,False
16761.2248,16761.3616,0.1368000000002212,7,0.3989420663239806,0.003992015968063872,True
16802.2392,16802.3208,0.0816000000013446,4,-0.36903397887656464,0.3073852295409182,False
16833.2408,16833.3576,0.11679999999978463,6,0.10882104556560475,0.7145708582834331,False
16997.0472,16997.1664,0.11919999999736319,6,-0.13813132123959176,0.47904191616766467,False
17013.8304,17013.9216,0.09120000000257278,5,0.7098320794343747,0.005988023952095809,True
17067.8064,17067.9024,0.0959999999977299,5,-0.08759509999363745,0.624750499001996,False
17078.5232,17078.6224,0.09920000000056461,5,-0.30815240950156886,0.10179640718562874,False
17110.8836,17110.9752,0.09159999999974389,5,0.43067959417890384,0.013972055888223553,True
17146.3304,17146.4624,0.1320000000014261,7,0.4391949673159506,0.013972055888223553,True
17174.9776,17175.0688,0.09120000000257278,5,-0.049888292861547875,0.7924151696606786,False
17197.2336,17197.3352,0.10160000000178115,5,-0.25628238703647754,0.20958083832335328,False
17243.744,17243.8664,0.1224000000001979,6,-0.11019784194123032,0.5568862275449101,False
17979.016,17979.1128,0.09679999999934807,5,0.36693143534225153,0.2714570858283433,False
17979.184,17979.2944,0.11039999999775318,6,0.02785369871243821,0.8223552894211577,False
18013.208,18013.3016,0.09360000000015134,5,-0.23737784512864785,0.2934131736526946,False
18020.0128,18020.1344,0.12159999999857973,6,-0.21047156905338885,0.44510978043912175,False
18062.4304,18062.5352,0.10479999999733991,5,0.45878058639707775,0.1596806387225549,False
18147.4152,18147.6024,0.18720000000030268,9,-0.1254829279695364,0.47704590818363274,False
18315.4408,18315.556,0.11520000000018626,6,0.2517250919644153,0.12974051896207583,False
18339.2912,18339.416,0.12480000000141445,6,0.038795872891526265,0.8303393213572854,False
18428.4232,18428.5352,0.11199999999735155,6,-0.05348480698781039,0.7125748502994012,False
18449.0384,18449.2416,0.20319999999992433,10,0.005810072926484182,0.9700598802395209,False
18457.644,18457.744,0.09999999999854481,5,0.36295287796926456,0.11976047904191617,False
18461.7192,18461.8256,0.10640000000057626,5,-0.2884037399351654,0.2275449101796407,False
18540.236,18540.3224,0.0864000000001397,4,-0.3148798484694442,0.10179640718562874,False
18553.6672,18553.78,0.11279999999896972,6,0.08603315666941888,0.7465069860279441,False
18597.9096,18598.0392,0.12960000000020955,6,-0.16185731576190243,0.6447105788423154,False
18617.2816,18617.3656,0.08400000000256114,4,0.048621906975341224,0.7704590818363274,False
19207.7848,19207.88,0.09519999999974971,5,-0.07065995390682081,0.6866267465069861,False
19213.4288,19213.56,0.13119999999980791,7,-0.14158316184377384,0.5988023952095808,False
19295.12,19295.2008,0.08079999999972642,4,-0.33702483201212685,0.16966067864271456,False
19317.4736,19317.5648,0.0911999999989348,5,0.2725477291157905,0.37524950099800397,False
19663.5048,19663.5944,0.08960000000297441,4,0.3407696861871607,0.3193612774451098,False
