start,end,duration,n_bins,score,pval,significant
844.7624,844.8656,0.10320000000001528,5,0.05537034971562642,0.8542914171656687,False
854.0088,854.0992,0.09040000000004511,5,-0.1160470860839766,0.39520958083832336,False
884.1848,884.3336,0.1488000000000511,7,-0.024651846334581035,0.844311377245509,False
887.396,887.4984,0.10239999999998872,5,0.4927325822674898,0.027944111776447105,True
912.3512,912.4392,0.08800000000007913,4,0.17829147162138498,0.7325349301397206,False
918.2128,918.3264,0.11360000000001946,6,0.046591499040693075,0.7544910179640718,False
978.972,979.0656,0.09360000000003765,5,-0.3315986300970561,0.08982035928143713,False
996.468,996.5568,0.088799999999992,4,0.3246367210171998,0.23552894211576847,False
1001.3376,1001.424,0.08640000000002601,4,-0.468819255073726,0.17365269461077845,False
1047.1224,1047.2312,0.1087999999999738,5,-0.49955141960987554,0.1596806387225549,False
1130.06,1130.1696,0.10960000000000036,5,0.15684069302842474,0.5329341317365269,False
1137.6648,1137.8272,0.16239999999993415,8,0.30022969061527355,0.017964071856287425,True
1158.464,1158.548,0.08400000000006003,4,-0.28158005436878947,0.22355289421157684,False
1210.0596,1210.1584,0.0987999999999829,5,-0.30262883402463625,0.20958083832335328,False
1227.4184,1227.5272,0.1087999999999738,5,-0.07876856245315446,0.720558882235529,False
1230.2208,1230.3208,0.09999999999990905,5,0.04930634919937319,0.8822355289421158,False
1251.5568,1251.7064,0.14959999999996398,7,-0.2026605796409803,0.18363273453093812,False
1392.9936,1393.1008,0.10719999999992069,5,0.19433613949088022,0.2894211576846307,False
1404.6624,1404.7944,0.13200000000006185,7,0.17791201221897368,0.20758483033932135,False
1411.9872,1412.128,0.14079999999989923,7,-0.13390045489248129,0.6826347305389222,False
1416.5032,1416.5984,0.09519999999997708,5,-0.2301101025332215,0.500998003992016,False
1478.0744,1478.1808,0.10640000000012151,5,0.4127531035383182,0.1377245508982036,False
1500.816,1500.912,0.09600000000000364,5,-0.4228936814865393,0.017964071856287425,True
1561.488,1561.6,0.11199999999985266,6,-0.24926341093754537,0.18562874251497005,False
1564.8328,1564.98,0.14720000000011169,7,-0.28578775788953825,0.1536926147704591,False
1568.4192,1568.5616,0.14239999999995234,7,-0.17546253604998485,0.36726546906187624,False
1575.156,1575.252,0.09600000000000364,5,0.0118843843973159,0.9580838323353293,False
1618.0928,1618.1992,0.10640000000012151,5,-0.33548379664772476,0.13572854291417166,False
1649.8896,1649.976,0.0864000000001397,4,0.31355311883907144,0.43912175648702595,False
1722.9376,1723.04,0.10239999999998872,5,-0.20398496522673049,0.37524950099800397,False
1760.6888,1760.8136,0.1248000000000502,6,0.47311651026924656,0.07385229540918163,False
1761.168,1761.2528,0.08480000000008658,4,-0.20992140244000018,0.49700598802395207,False
1823.3656,1823.5912,0.2255999999999858,11,-0.07762779196536476,0.5948103792415169,False
1835.6376,1835.7448,0.10719999999992069,5,-0.18240487037680833,0.6447105788423154,False
1882.1624,1882.2696,0.10720000000014807,5,-0.3072071129089416,0.36127744510978044,False
1920.444,1920.5248,0.0807999999999538,4,0.2710511583526201,0.14171656686626746,False
1960.2464,1960.3568,0.11040000000002692,6,0.24761347626311642,0.059880239520958084,False
