,gOSI,OSI,pref_ori,gDSI,DSI,pref_dir,anova_F,anova_p,gOSI_p,gOSI_null_mean,peak_rate,mean_rate,split_half_r,split_half_pref_diff,pref_tf,baseline_rate,area,session,responsive,ori_selective
sub-699733573_ses-715093703_950911873,0.31215816236779836,0.32500313336145403,2.3441227067606767,0.09126114972928195,0.10416664608005984,55.863887072076665,2.932105198306251,0.007444512289833626,0.03992015968063872,0.15223305835540288,1.765199220148521,0.7226112265718376,0.7573614910750354,13.75009068440778,1.0,1.6319834500403267,VISp,sub-699733573_ses-715093703,True,False
sub-699733573_ses-715093703_950911880,0.24374832010744438,0.3485351266047649,155.80242605395063,0.0687128294281016,0.1468104392862489,4.308588072367213,3.9943097825540375,0.0006224349933873192,0.001996007984031936,0.06666604059175478,13.788464320501443,8.797394110619662,0.8012496941246594,10.795802892005753,1.0,5.395491351212117,VISp,sub-699733573_ses-715093703,True,True
sub-699733573_ses-715093703_950911932,0.2683442450964131,0.6290326294754078,179.2441291935038,0.09544650481034322,0.0074777640779726965,260.25373728706387,4.0435715689843885,0.0005546583925828519,0.001996007984031936,0.07275659199980228,6.727698387612537,4.159313628622867,0.7728281421084561,2.9060487864133506,1.0,4.313056522054945,VISp,sub-699733573_ses-715093703,True,True
sub-699733573_ses-715093703_950911986,0.5155393018072488,0.8536576093356393,153.97714494459984,0.1083573049420849,0.310344560228922,303.2804476898532,1.0340454475664722,0.4115235296493238,0.01996007984031936,0.2620374463132591,1.265607552991521,0.5120724403626545,0.11599813752548066,22.911318424885508,15.0,2.3813427476520044,VISp,sub-699733573_ses-715093703,False,False
sub-699733573_ses-715093703_950912018,0.11823408095565288,0.12906628546675902,66.41073685054032,0.035927417095034324,0.1042852094579253,144.2911480659947,3.3675450311772464,0.0027000073267803215,0.001996007984031936,0.03617287171898197,16.75261695085407,13.10567648194273,0.9124350420864529,2.3234868666355055,4.0,14.004955460946489,VISp,sub-699733573_ses-715093703,True,True
sub-699733573_ses-715093703_950912065,0.0587241838360819,0.10440620452171401,132.64352968338358,0.11093624952812862,0.24934577095508834,98.2625745344958,4.355931024038065,0.0002673104454258867,0.4311377245508982,0.05525120427418377,15.85337414674796,10.101075393670344,0.5910296047677379,55.39310322587349,4.0,2.8642710871772628,VISp,sub-699733573_ses-715093703,True,False
sub-699733573_ses-715093703_950912109,0.20772992601660717,0.6039600068502553,86.83221532361314,0.12839050661833576,0.2722491687711217,253.49479207737016,2.3645607763278855,0.027308478026465136,0.007984031936127744,0.08390058582604215,8.093186403690234,4.436155030210601,0.5234462298701132,14.850802280132129,1.0,2.697740476026479,VISp,sub-699733573_ses-715093703,False,False
sub-699733573_ses-715093703_950912164,0.6933898999073427,0.8098333164584026,46.41550438168841,0.22869680060792394,0.25454320166279987,223.7646582466129,18.44573445900649,4.143953157020403e-16,0.001996007984031936,0.14842379004064846,9.192231399521619,2.3096618752455633,0.9948797195767702,1.818924861785007,1.0,1.2989165705525034,VISp,sub-699733573_ses-715093703,True,True
sub-699733573_ses-715093703_950912190,0.22659080241569424,0.4660422455674262,104.34711235230165,0.05667934226853461,0.13200668757183487,255.9177564252504,6.584488898648985,1.6144002207223886e-06,0.001996007984031936,0.05081444717763865,10.424637588115141,6.807267868914895,0.8943759911566718,5.513658306415152,15.0,3.680260648949877,VISp,sub-699733573_ses-715093703,True,True
sub-699733573_ses-715093703_950912214,0.2694302223144221,0.6741579249321783,160.82667428358403,0.06907007483132802,0.13093126200630606,290.3339183300549,2.9786251563176585,0.006656162307244881,0.001996007984031936,0.08506096288956913,9.925056569657425,6.698712611893405,0.5451991378575978,12.203721782682408,15.0,0.8326399940820416,VISp,sub-699733573_ses-715093703,True,True
