unit,mvl,mvl_tc,pref_dir,peak_rate,mean_rate,hd_info,p_shift,stability,hd_cell,author_hd,is_fs,is_exc,session
0,0.13389884473281227,0.13389884473281247,4.122113813927287,2.2664584100030343,0.22794720392069193,1.1570745255983805,0.822,0.06724038068783472,False,False,False,False,A1808
1,0.1161208956231727,0.11338248353374847,1.9480580756799242,18.08317453768086,8.494321046102323,0.08118205443759324,0.0,0.31134334930855145,False,False,False,False,A1808
2,0.9449826380413155,0.9372028466545408,1.6215235085355877,15.190292673620172,1.3819299237691947,2.4556094312553984,0.0,0.8984505122848288,True,True,False,True,A1808
3,0.13177862882317595,0.13072726210428115,2.9073053800892428,37.29835310502642,17.79303270604016,0.0602528621306392,0.0,0.5384589163741873,True,False,True,False,A1808
4,0.8606252747841561,0.8598886696420338,3.3749028452556433,14.676448205401417,1.5934386274071444,2.1767667945191853,0.0,0.8613290563437163,True,True,False,True,A1808
5,0.7630209931844751,0.7602089632100537,1.7773720884699173,15.342180006174388,1.984674934136409,1.3034022476482137,0.0,0.9323117602691167,True,True,False,True,A1808
6,0.752117598364643,0.7523652388119728,4.290667957085725,16.079045310630264,1.544123126558918,1.8213501756980013,0.0,0.8444601199165312,True,True,False,True,A1808
7,0.698034634579317,0.6982213192371621,3.6805281223857307,24.32873269053158,2.3068695396781562,1.578949681370458,0.0,0.927237807399179,True,True,False,True,A1808
8,0.9522885618397391,0.8908811174081378,0.3972127651712888,46.52702106375922,7.754588533378923,1.995403559789851,0.0,0.9153650566785927,True,True,False,True,A1808
9,0.3868359177806791,0.3862961919265731,1.8788826921569477,0.2951211609889192,0.012054900207344284,3.6324357017647277,0.29,0.1784379400840163,False,False,False,False,A1808
10,0.9504290281854727,0.9504271385495155,4.7063884548514325,27.134800950015318,2.589611744541322,2.567230450498834,0.0,0.9480272530282049,True,True,False,True,A1808
11,0.14226411634801803,0.14443973216348316,4.7765806601361795,9.160999008252105,3.8356500659731814,0.07631579385596671,0.002,0.08415145815903538,False,False,False,False,A1808
12,0.24404060870600885,0.2438005192210355,3.3024564707407,7.227543556607222,2.8460523489521004,0.20327492734737512,0.0,0.25953841319106524,False,False,False,False,A1808
13,0.16798222705808563,0.1633639070916627,2.8855687160930663,1.4583724524780897,0.4076748070120067,0.38962818084582307,0.422,0.09538899748704116,False,False,False,False,A1808
14,0.0404304593626,0.04170327616960302,3.5880523230143067,192.5990981973002,88.41611762075722,0.04018010757005161,0.042,0.32241267691478076,False,False,True,False,A1808
15,0.974968592828778,0.9750033077230912,2.3394164681570326,5.651193253352598,0.4295928073889963,2.8090269500096556,0.0,0.8916794213316833,True,False,False,False,A1808
16,0.955433234580814,0.9554332345808145,3.515355539288218,2.128163810665082,0.12931620222423867,2.9276705187653027,0.0,0.7213802709470841,True,False,False,False,A1808
17,0.1864088599804731,0.18766111968372967,2.944924332788107,0.9628772336843291,0.2005497034494549,0.8371856169681702,0.17,0.06022280467813145,False,False,False,False,A1808
18,0.6711271018063174,0.6708086624148196,4.108635349398645,15.972932972060162,2.5578306439946874,1.038374748089641,0.0,0.9468343928489995,True,True,False,True,A1808
19,0.024354976397223706,0.023741069760646757,3.4678778227537905,3.977582446957852,1.0411050179070063,0.3224391612415783,0.972,0.11073658236100242,False,False,False,False,A1808
20,0.960991795732204,0.9384220751044027,0.12395870100736675,17.545914463666985,1.587959127312897,2.2567351370469986,0.0,0.9022550733158928,True,True,False,True,A1808
21,0.03377433901494806,0.03377433901494813,1.2002660599375112,0.41026083365400057,0.05479500094247402,1.5352581641091416,0.958,-0.034047717047531435,False,False,False,False,A1808
22,0.09122609912385289,0.08963298386420022,0.38228062444522753,47.29606273423458,26.32023075270797,0.04459653892687231,0.0,0.5694852791145742,True,False,True,False,A1808
23,0.7951396815729271,0.7951503260787265,3.1005058938625334,9.409795417569919,1.30740872248743,1.6407257970265188,0.0,0.9005608361428489,True,True,False,True,A1808
24,0.18479341724921416,0.18052979737372826,6.1401789527809365,8.077602535879056,3.609894662090188,0.18315541455788326,0.032,0.12954424297981668,False,False,False,False,A1808
25,0.1074801794660053,0.10679410764256812,2.740422165494968,23.774973616654272,8.492129246064623,0.052266472476640395,0.004,0.31119218447437585,False,False,False,False,A1808
26,0.022273194687323545,0.015557021323073185,0.7154008317131296,25.738044832708294,11.839007903630936,0.038631068515858014,0.344,0.40570934208412013,False,False,True,False,A1808
27,0.8397597588208628,0.8380124036860149,5.707448920621577,12.084497539687396,1.5868632272940475,1.7011881156455606,0.0,0.6983871862174251,True,True,False,True,A1808
28,0.6412241914007841,0.6397278109171695,5.9156876989994895,17.648737295739014,2.372623540809125,1.132120008614129,0.0,0.9233933994669283,True,True,False,True,A1808
29,0.6484640637412342,0.6428447057290585,2.6699063323108208,5.613074343232704,0.8164455140428629,1.435336094132608,0.0,0.6478920785353737,True,True,False,True,A1808
30,0.0566572344153768,0.052308129978862465,1.8462135249323153,6.286130919737616,2.8701621493667893,0.1405049844732158,0.496,0.06871837353031847,False,False,False,False,A1808
31,0.14559373592858832,0.1482493308189514,3.4805911639776377,4.362380480120049,1.446588024881314,0.12801761307898357,0.0,0.09925573866432413,False,False,False,True,A1808
32,0.582442082942842,0.5814221257007887,2.8636717583701015,22.564795698375356,3.435646559093121,1.5211250142817505,0.0,0.8925009275177672,True,True,False,True,A1808
33,0.9544019864629183,0.9521432270812069,5.845494057445423,35.03483061365146,3.0553692525523513,2.571372031373234,0.0,0.9323083326400914,True,True,False,True,A1808
34,0.8835935747021313,0.8837444790511916,4.180026929424536,30.747502763526004,2.258649938848779,2.352271239674332,0.0,0.957528718975039,True,True,False,True,A1808
35,0.2699907398200133,0.27771417293033696,0.1602298259992694,10.484975124813321,1.5956304274448434,1.3796279544521033,0.0,0.8463765216484349,True,True,False,True,A1808
36,0.08821171625075447,0.09585424599123651,5.130917607375812,6.979808768192079,2.153443537039229,0.20816502002611845,0.692,0.03533542821207592,False,False,False,False,A1808
37,0.23402155545678116,0.24137896739436338,3.909328101353014,19.848831184546224,5.3775813924944,0.6023299603691334,0.0,0.8292200611959757,True,True,False,True,A1808
38,0.018924379648128136,0.01925536080662605,3.9399360392010503,12.936498085650967,3.707429763767792,0.5622796833550944,0.928,0.7711053941729894,False,True,False,True,A1808
39,0.1887554218257682,0.156830246581837,1.3527702563912003,19.848831184546224,3.6153741621844357,0.2325801830885958,0.03,0.25477545117330036,False,False,False,False,A1808
40,0.3682442387946441,0.3910517821374191,4.473186323658993,0.43623804801200494,0.018630300320441166,3.1167846842842164,0.202,-0.019361969114874727,False,False,False,False,A1808
41,0.3243519616858362,0.3203516345018507,2.504134663346819,1.7642121500176449,0.2652078045615742,0.8095643458248951,0.0,0.2347775228449001,False,False,False,False,A1808
42,0.972976039725033,0.9729906684324028,3.78833226790538,19.389584800668608,1.1211057192830185,3.0263028902325546,0.0,0.9672304016680524,True,True,False,True,A1808
43,0.06462196447729425,0.06223631034711464,2.33299823349147,10.469713152288119,5.413746093116433,0.049862166281618076,0.006,0.1455115907242761,False,False,False,False,A1808
