unit,r2_hd,r2_hist,r2_both,mvl,pref_dir,hd_cell,mean_rate,is_fs
0,-0.002874016761779785,0.03529077768325806,0.03457099199295044,0.024542275379545217,5.681111259970649,False,41.99774303826878,True
1,0.2722351551055908,0.1733136773109436,0.33345258235931396,0.9539900718338341,0.894637879949506,True,3.118258156593315,False
2,0.15499001741409302,0.07865363359451294,0.20903831720352173,0.7616616305454849,1.6698637861194132,True,0.5166672198435616,False
3,-0.054704904556274414,0.08960956335067749,0.08905613422393799,0.4617759266564522,0.8117471715122633,True,2.7581399980085632,False
4,-0.054724931716918945,-1.5412240028381348,-0.15242958068847656,0.4291496429756719,4.6476360298909505,False,0.3993937181231814,False
5,-0.038343191146850586,0.07452195882797241,0.05801790952682495,0.2443185545421829,5.730407812728634,False,1.879695088895527,False
6,-0.014446258544921875,0.05831235647201538,0.04955333471298218,0.15750432368336595,5.69564572191547,False,4.6046444732096425,False
7,0.18145537376403809,0.10219979286193848,0.20722001791000366,0.753629802541006,4.438403621767155,True,0.9901866418843418,False
8,-0.0038117170333862305,0.02541673183441162,0.030033469200134277,0.4688911534231199,4.482845200719515,False,0.07799794218195094,False
9,0.05407148599624634,0.10584467649459839,0.2492498755455017,0.3731272556879816,6.223091995601424,False,0.2738225629791895,False
10,0.11955887079238892,0.17265570163726807,0.23217839002609253,0.4036038094065097,1.367231245329276,True,4.241760430150354,False
11,0.15781790018081665,-28.04745101928711,0.09261685609817505,0.8899288533700228,1.0387847086562656,True,1.2889021651343666,False
12,-0.004304409027099609,0.08779561519622803,0.08606261014938354,0.06143865651198222,4.506039547526099,False,41.23269939261177,True
13,-0.01786661148071289,0.027302205562591553,0.08864766359329224,0.25757895908053313,3.6169465472683613,False,1.690508590837178,False
14,0.23707717657089233,0.20203125476837158,0.3363621234893799,0.8998194844278778,0.4298378364404899,True,1.9886709371922953,False
15,0.07876086235046387,0.14927071332931519,0.16260647773742676,0.29032918322018325,0.8136931946833853,True,3.127662163806742,False
16,0.06209838390350342,0.11777585744857788,0.12991446256637573,0.5372518867642017,5.1685847539698235,True,1.9156515870645114,False
17,-0.016211271286010742,0.027077853679656982,0.018556058406829834,0.14305739982316773,6.07820101393577,False,1.5721287353269828,False
