unit,area,b0,gain,pd_rad,pd_deg,r2,best_lag
0,PMd,0.8680761350863002,3.474966338246757,-1.7509811705856266,259.67616891856716,0.004744483379719888,0.23999999999999977
1,PMd,0.9479785178660353,6.464932958555654,1.0146891444545558,58.13740549498637,0.016262264761703005,0.11999999999999983
2,PMd,0.6121667867671061,4.702837420683823,0.6954350094618443,39.84549096780415,0.011688975876547048,0.11999999999999983
3,PMd,0.2225356805469198,1.0687517919525487,-0.7450410671800388,317.3122912866609,-0.001368161282685909,0.1799999999999998
4,PMd,1.7620389743221776,4.7985376986356805,-0.44062269486173405,334.75417922674194,0.007487507746660849,0.2599999999999998
5,PMd,0.5631870379263842,0.5467736166577629,0.09078282656319095,5.201472814338982,0.0007934431660370223,0.2999999999999997
6,PMd,1.7486967964190174,1.8662583079406343,0.1554740083213905,8.908004500797515,0.004755102179386683,0.2999999999999997
7,PMd,1.8570834626654313,2.727344824226487,-0.8795458216575979,309.6057365306534,0.00243074275545474,0.23999999999999977
8,PMd,2.245002307727795,5.114523974789202,0.05564319285694127,3.188120109335224,0.005460933581180938,0.13999999999999982
9,PMd,0.16312652729560748,0.14149851642868647,-1.1982161636559296,291.3472708781585,-0.002487176326332774,-0.2
10,PMd,0.2783603381498324,0.16645691962907677,3.0631020052414906,175.5028171183968,-0.002289167604708986,-0.2
11,PMd,2.0121748268417243,1.4629354738227514,2.817518172133375,161.43189996465657,0.0003428229021498197,-0.2
12,PMd,1.2739560084611312,0.3818319199096883,1.9894208285589485,113.98541715184706,0.0029675458318045855,-0.10000000000000006
13,PMd,10.146532469032405,5.720355537258644,0.9976655224654595,57.16202380298505,-0.0016147760619047435,-1.1102230246251565e-16
14,PMd,1.1873880346149857,3.2453922333622436,1.3446234210845862,77.0412470625889,0.002117702822287959,0.1599999999999998
15,PMd,1.5451003354452277,1.039009181202341,-2.139164007773417,237.4349306682928,-0.002702502019098052,-0.18000000000000002
16,PMd,1.2332487902404514,1.4300671109442702,-0.8045394502989833,313.903285046093,0.004832264020039223,-1.1102230246251565e-16
17,PMd,6.964051656412347,2.02099415272726,-0.6728449569097363,321.4488237024104,-0.0014860515531858187,-0.10000000000000006
18,PMd,0.5553426681544377,0.7600679306910103,2.4656230061088285,141.26979212039467,0.00033520326279024015,-0.2
19,PMd,0.7220373664976857,0.7178330066887973,-1.833377587325249,254.9552019923857,0.003920594403684308,-0.14000000000000004
20,PMd,0.22043540569496098,0.24340707977077722,0.02620415284153005,1.5013873635354154,-0.0028168004772777255,0.2999999999999997
21,PMd,0.6702555161767605,1.859032165782021,2.20143231808725,126.13278071010077,-0.0004710002147998438,0.2599999999999998
22,PMd,1.7804307906225438,6.170594185477469,2.6490229938324292,151.7778373797081,0.011796491471926407,0.11999999999999983
23,PMd,3.225255381129033,2.345119536418408,-0.64780932131808,322.8832599592398,0.002648961939548,0.05999999999999986
24,PMd,0.5929110930260182,2.519568697907587,-2.8231744709166042,198.2440179873994,0.004404263747052162,0.09999999999999984
25,PMd,0.4670059808948745,0.6691058979897487,-2.849122822706373,196.7572869445249,-0.0033462261469150434,0.07999999999999985
26,PMd,8.879899585351119,11.907833009102287,-0.13603873592032975,352.2055545814704,0.00546103287799804,0.05999999999999986
27,PMd,3.0813114583549464,2.6887302019925956,0.9352530019169425,53.586049786781494,-0.0014204006307205752,-0.2
