unit,area,"direction only
(cos θ, sin θ)","velocity
(vₓ, v_y)",velocity + speed,"nonlinear velocity
(5×5 B-spline)"
0,PMd,0.003226216626353562,0.02635027691721916,0.03045787662267685,0.04361832924187183
1,PMd,0.06676709055900573,0.0687714695930481,0.07823216319084167,0.09495540410280227
2,PMd,0.0799796849489212,0.07750829309225082,0.09100586473941803,0.09900881797075271
3,PMd,0.014638163521885872,0.024035565182566644,0.02448289282619953,0.025668778643012046
4,PMd,0.009846850205212832,0.014922322332859039,0.01646841671317816,0.017664020881056786
5,PMd,0.0024441657937131823,0.001271409573382698,0.002714409912005067,0.0024580931407399476
6,PMd,0.004074644180946052,0.002286249818280339,0.010904477164149284,0.011203374247998
7,PMd,0.002858887054026127,0.005295073380693793,0.012460449151694775,0.014930140227079391
8,PMd,0.00901219816878438,0.013926836848258971,0.02779700830578804,0.02939751707017422
9,PMd,0.017461814172565936,0.0007436307563693844,0.002216666447930038,0.003710310091264546
10,PMd,0.0007809124886989594,0.0006020659377099947,0.008909531868994236,0.005939577100798487
11,PMd,0.0016367477917810902,0.0016543737496249379,0.004626586567610502,0.004073432274162769
12,PMd,0.0005357046029530466,4.3720080429920924e-05,0.0009903018442855682,-0.001793485990492627
13,PMd,0.007776855304837227,0.0010198841628152877,0.014209443889558315,0.01653122529387474
14,PMd,0.00909742722287774,0.014591916836798191,0.04339134097099304,0.04823220744729042
15,PMd,0.004255572543479502,0.0008447270200122147,0.00412629172205925,0.004956705356016755
16,PMd,0.010015106201171875,0.0024642663775011897,0.009387689456343652,0.010235342010855675
17,PMd,0.002584668528288603,4.736872797366232e-05,0.0016376689833123236,0.002356543065980077
18,PMd,0.010442781075835229,0.003409337159246206,0.021412443369627,0.051687313616275786
19,PMd,0.004119006171822548,0.0013881516177207231,0.0037810329580679537,0.013904193602502345
20,PMd,0.0003089757286943495,0.0014615444000810386,0.001597695704549551,0.004535674746148288
21,PMd,0.013303315825760364,0.013989481143653393,0.03245309256017208,0.0334699708968401
22,PMd,0.031053416430950165,0.031818800047039984,0.059279519319534305,0.06607098579406738
23,PMd,0.00023437398485839366,0.0010260387090966106,0.0034636199241504075,0.0022706868825480343
24,PMd,0.02515098489820957,0.0357162106782198,0.04826163575053215,0.049697859585285185
25,PMd,0.004796754382550716,0.003960799251217395,0.005781974317505956,-0.022721093872678465
26,PMd,0.005586609523743391,0.008297652937471867,0.02031012959778309,0.021955209597945214
27,PMd,0.0011858666664920747,0.0026426376309245823,0.00531842764467001,0.006408669706434012
28,PMd,0.03875553384423256,0.04337866008281708,0.04480530545115471,0.05742625519633293
29,PMd,-0.0005682842369424179,-0.0001266130127987708,-0.0011444805728388018,-0.010903223045170307
30,PMd,0.001576258527347818,0.00636104098521173,0.010249700956046581,0.014963011443614959
31,PMd,0.0005885391554329544,0.006472830567508936,0.007201545499265194,0.009834214206784963
32,PMd,0.0005283155769575387,0.002407673792913556,0.0032729867147281767,0.00450052279047668
33,PMd,0.0001318657479714602,5.234379204921424e-06,0.0024508998380042613,0.0020845688472036273
34,PMd,0.004850866692140699,0.01053438037633896,0.029601619765162467,0.031264448538422585
35,PMd,0.003132162836845964,0.012300821859389544,0.02769622057676315,0.030175049602985383
36,PMd,0.0007270326314028352,0.002743366631329991,0.013172651827335357,0.01361494529992342
37,PMd,0.013833484426140786,0.020214494317770004,0.030318515747785567,0.031024306267499923
38,PMd,0.007386087439954281,0.005749817565083503,0.007089392840862274,0.006664171116426587
39,PMd,0.0006226083467481657,0.00011399529757909477,0.00022061168565414845,-0.00029134131327737125
40,PMd,0.007282422203570604,0.003137743379920721,0.005272848717868328,0.005532881384715438
41,PMd,0.0020045986864715816,0.002604343229904771,0.010418329946696758,0.01019519604742527
42,PMd,0.005835828697308898,0.002155131637118757,0.0033020087983459236,0.010265414044260979
43,PMd,0.008009587647393346,0.008914321940392256,0.017733257636427878,0.017994582280516626
44,PMd,0.016526899486780166,0.013953069970011712,0.018803479522466658,0.021238593757152556
45,PMd,0.0004954000120051205,6.104698313720291e-05,0.012416601926088334,0.012632874865084886
46,PMd,0.0019396215793676674,0.0005448307318147271,0.0036654744762927294,0.004482189938426018
47,PMd,0.004182351846247911,0.00521526699885726,0.019559393264353277,0.021686805225908757
48,PMd,0.00437575438991189,0.00017800602290662937,0.00673453751951456,0.005568061489611864
49,PMd,0.02405586466193199,0.02377508245408535,0.04209451824426651,0.044664126634597776
50,PMd,0.003052618744550273,0.0005228132540651131,0.007397302147001028,0.0036585582478437574
51,PMd,3.710288438014686e-05,2.1397140517365188e-05,6.087878427933902e-05,-0.0017984066100325436
52,PMd,0.0012205035192891956,7.896348433860112e-05,0.0007664165779715404,-0.0008293724968098104
53,PMd,0.00020407384145073592,-0.0001569378320709802,0.014472851529717445,0.02133343480527401
54,PMd,0.007646822836250067,0.014055267348885537,0.02711963877081871,0.029307307302951814
55,PMd,0.002551231218967587,0.0023974264273419975,0.006403789063915611,0.006253954255953431
56,PMd,-0.0007117954985005781,-0.0004827410157304257,0.0011943820471060462,-0.00023680894228164106
57,PMd,0.0020442570094019175,0.005214284081012011,0.006637254543602466,0.008000619616359473
58,PMd,0.024661659821867944,0.03820666372776031,0.04568414837121963,0.05344507843255997
59,PMd,0.003198534180410206,0.013251297734677791,0.026708613708615304,0.030275395140051842
60,PMd,0.002221523836487904,0.0012758523516822606,0.04998496025800705,0.0586812324821949
61,PMd,0.0008615997503511608,0.0003928336140234023,0.001003072946332395,0.0007867903623264283
62,PMd,0.0002302883513038978,0.00092670705053024,0.005932223238050938,0.002569571789354086
63,PMd,0.04103940054774284,0.08538616895675659,0.11935472041368485,0.12670379877090454
64,PMd,-0.0003689471399411559,0.004416311718523502,0.020039546489715575,0.020714823342859744
65,PMd,0.00875326506793499,0.019310422241687775,0.02566557712852955,0.026838765665888786
66,PMd,0.003570709121413529,0.016990989446640015,0.020314312539994717,0.020861445181071758
67,PMd,0.0011407616315409542,0.0019575623096898197,0.00336919235996902,0.003647393826395273
68,PMd,0.025374897569417954,0.004383111698552966,0.011378728039562701,0.0249527458101511
69,PMd,0.009100079629570245,0.0008619441679911688,0.01230981033295393,0.014347919821739196
70,PMd,-9.852572620729915e-05,0.0008129792404361069,0.0009424527381270309,0.0019463802222162486
