unit,cell_type,location,n_spikes,rate,mrl,rayleigh_p,pref_phase,mrl_control
1,excitatory,lCA1,803,0.7061684580010306,0.02992597878847925,0.48717198914785437,1.1349022457429216,0.013232928595099499
2,inhibitory,lCA1,28169,24.772178447610248,0.1269948663417906,5.006703002042143e-198,3.0905473152369125,0.0025339304969617445
6,excitatory,lCA1,156,0.13718839283706197,0.5562985116782391,1.0803376530521367e-21,0.298335768231718,0.036188603722576984
7,excitatory,lCA1,3160,2.7789443677251016,0.08380592621172835,2.297454572355833e-10,-1.7637111668319576,0.029467519561975904
9,excitatory,lCA1,1251,1.1001453810202855,0.12312682514549408,5.799877425906478e-09,-2.5519434127013207,0.01479306806008792
11,excitatory,lCA1,971,0.8539098041332511,0.15044663867163463,2.8520880749279955e-10,-2.360036333169006,0.01884090916953257
12,excitatory,lCA1,2219,1.951416946829747,0.05371408036764321,0.0016577994449855002,0.30274664463397877,0.021227292417899037
13,excitatory,lCA1,978,0.8600656935554271,0.20948484600015388,2.29483714144278e-19,-1.982019587468185,0.02136828099318645
16,excitatory,lCA1,2324,2.043755288162385,0.10824799781840733,1.4907081064153056e-12,-2.3383611173634975,0.0052590076022088865
18,inhibitory,lCA1,33265,29.253665946954275,0.3289987292772737,0.0,1.9403415574466134,0.004538663002981655
20,inhibitory,lCA1,14045,12.351352419208562,0.05528609351511865,2.270141159780718e-19,0.6819442535624268,0.005465311368833488
21,excitatory,lCA1,1403,1.2338161227589612,0.20733396598189774,6.414188956164475e-27,-1.8654795469376124,0.01563526664521785
22,excitatory,lCA1,228,0.20050611260801365,0.19831887477400506,0.00012750872696918036,-0.18256180072116857,0.1005541598272479
23,excitatory,lCA1,1440,1.2663543954190337,0.08291169168340032,5.022176750382364e-05,-2.55906413903859,0.009744137971537286
27,excitatory,lCA1,2501,2.1994113492659744,0.16298724263988817,1.3997584656193324e-29,-2.5006985616962454,0.024250100332704517
28,excitatory,lCA1,263,0.23128555971889295,0.06941005571263512,0.281655725803076,-2.021503719572566,0.06906389143097669
29,excitatory,lCA1,2026,1.7816902813326125,0.10738275379204924,7.145744094134687e-11,0.35267702988152777,0.003835986453554732
33,excitatory,lCA1,2996,2.6347206726912673,0.1550211947481725,5.38779815364058e-32,-2.263229516710268,0.024344940316900897
39,excitatory,lCA1,3358,2.9530680970952186,0.13065555925439915,1.2720484119097507e-25,2.7948360923362574,0.014309257157945735
41,excitatory,lCA1,718,0.6314183721603237,0.0448116855203841,0.2365001160648838,-2.511157305727926,0.047543745465854596
43,excitatory,lCA1,406,0.35704158648619977,0.2551170296490188,3.34221378147126e-12,-1.971474651831253,0.044711678699940846
48,inhibitory,lCA1,20173,17.740393901936226,0.2871656424155345,0.0,1.7874529865773698,0.00949100996380121
49,inhibitory,lCA1,12641,11.116656883675002,0.1633580391434146,3.139903471902527e-147,1.8393599524965132,0.00817411900009865
50,excitatory,lCA1,2153,1.8933757037063745,0.08929288609446587,3.505520968371659e-08,-2.7190315569317685,0.018896184046719992
