unit_id,structure
950919098,VISam
950919109,VISam
950919124,VISam
950919137,VISam
950919151,VISam
950919164,VISam
950919229,VISam
950919242,VISam
950919256,VISam
950919269,VISam
950919295,VISam
950919309,VISam
950919321,VISam
950919334,VISam
950919348,VISam
950919363,VISam
950919377,VISam
950919392,VISam
950919407,VISam
950919419,VISam
950919434,VISam
950919446,VISam
950919459,VISam
950919470,VISam
950919486,VISam
950919498,VISam
950919515,VISam
950919527,VISam
950919540,VISam
950919551,VISam
950919563,VISam
950919575,VISam
950919588,VISam
950919600,VISam
950919618,VISam
950919633,VISam
950919646,VISam
950919662,VISam
950919675,VISam
950919717,VISam
950919733,VISam
950919746,VISam
950919763,VISam
950919775,VISam
950919802,VISam
950919818,VISam
950919830,VISam
950919857,VISam
950919873,VISam
950919887,VISam
950919902,VISam
950919931,VISam
950919946,VISam
950919958,VISam
950919972,VISam
950919987,VISam
950920019,VISam
950920032,VISam
950920068,VISam
950920106,VISam
950920135,VISam
950920150,VISam
950920178,VISam
950920192,VISam
950920207,VISam
950920223,VISam
950920237,VISam
950920252,VISam
950920278,VISam
950920596,VISam
950920608,VISam
950920620,VISam
950920634,VISam
950920647,VISam
950920660,VISam
950920671,VISam
950920681,VISam
950920694,VISam
950920739,VISam
950920753,VISam
950920765,VISam
950920779,VISam
950920877,VISam
950920915,VISam
950920931,VISam
950927328,VISpm
950927352,VISpm
950927365,VISpm
950927469,VISpm
950927482,VISpm
950927541,VISpm
950927555,VISpm
950927569,VISpm
950927607,VISpm
950927637,VISpm
950927650,VISpm
950927665,VISpm
950927681,VISpm
950927726,VISpm
950927764,VISpm
950927780,VISpm
950927794,VISpm
950927830,VISpm
950927845,VISpm
950927860,VISpm
950927874,VISpm
950927918,VISpm
950927933,VISpm
950927948,VISpm
950927961,VISpm
950927974,VISpm
950928047,VISpm
950928063,VISpm
950928079,VISpm
950928109,VISpm
950928123,VISpm
950928141,VISpm
950928165,VISpm
950928180,VISpm
950928223,VISpm
950928239,VISpm
950928270,VISpm
950928344,VISpm
950928360,VISpm
950928430,VISpm
950928459,VISpm
950928475,VISpm
950928491,VISpm
950928508,VISpm
950928555,VISpm
950928582,VISpm
950928599,VISpm
950929627,VISpm
950929657,VISpm
950929694,VISpm
950934506,VISp
950934533,VISp
950934544,VISp
950934555,VISp
950934565,VISp
950934577,VISp
950934589,VISp
950934597,VISp
950934614,VISp
950934626,VISp
950934638,VISp
950934661,VISp
950934670,VISp
950934693,VISp
950934711,VISp
950934722,VISp
950934734,VISp
950934750,VISp
950934762,VISp
950934774,VISp
950934786,VISp
950934798,VISp
950934813,VISp
950934824,VISp
950934835,VISp
950934848,VISp
950934857,VISp
950934870,VISp
950934884,VISp
950934912,VISp
950934933,VISp
950934947,VISp
950934960,VISp
950934974,VISp
950934987,VISp
950935002,VISp
950935013,VISp
950935027,VISp
950935043,VISp
950935055,VISp
950935066,VISp
950935081,VISp
950935094,VISp
950935105,VISp
950935118,VISp
950935130,VISp
950935142,VISp
950935154,VISp
950935168,VISp
950935182,VISp
950935194,VISp
950935206,VISp
950935221,VISp
950935230,VISp
950935244,VISp
950935264,VISp
950935276,VISp
950935287,VISp
950935296,VISp
950935308,VISp
950935320,VISp
950935343,VISp
950935354,VISp
950935366,VISp
950935376,VISp
950935403,VISp
950935416,VISp
950935429,VISp
950935440,VISp
950935465,VISp
950935480,VISp
950935492,VISp
950935507,VISp
950935519,VISp
950935529,VISp
950935541,VISp
950935552,VISp
950935587,VISp
950935602,VISp
950935615,VISp
950935628,VISp
950935640,VISp
950935651,VISp
950935664,VISp
950935677,VISp
950935701,VISp
950935726,VISp
950935753,VISp
950935766,VISp
950935792,VISp
950935804,VISp
950935828,VISp
950935840,VISp
950935863,VISp
950935888,VISp
950935909,VISp
950935923,VISp
950935936,VISp
950935948,VISp
950935970,VISp
950936556,VISp
950936568,VISp
950936581,VISp
950936593,VISp
950936606,VISp
950936618,VISp
950936633,VISp
950936658,VISp
950936784,VISp
950936796,VISp
950936810,VISp
950936836,VISp
950942720,VISl
950942733,VISl
950942758,VISl
950942782,VISl
950942795,VISl
950942807,VISl
950942819,VISl
950942833,VISl
950942906,VISl
950942918,VISl
950942929,VISl
950942942,VISl
950942953,VISl
950942965,VISl
950943024,VISl
950943047,VISl
950943058,VISl
950943074,VISl
950943084,VISl
950943099,VISl
950943111,VISl
950943125,VISl
950943138,VISl
950943168,VISl
950943190,VISl
950943201,VISl
950943213,VISl
950943226,VISl
950943261,VISl
950943269,VISl
950943277,VISl
950943286,VISl
950943296,VISl
950943307,VISl
950943317,VISl
950943329,VISl
950943337,VISl
950943365,VISl
950943374,VISl
950943399,VISl
950943438,VISl
950943451,VISl
950943488,VISl
950943512,VISl
950943576,VISl
950943589,VISl
950943604,VISl
950943614,VISl
950943638,VISl
950943662,VISl
950943674,VISl
950943685,VISl
950943698,VISl
950943711,VISl
950943725,VISl
950943737,VISl
950943750,VISl
950943766,VISl
950943794,VISl
950943835,VISl
950943888,VISl
950943915,VISl
950943988,VISl
950944000,VISl
950944065,VISl
950944126,VISl
