start,stop,orientation,spatial_frequency,phase
5398.31325738159,5398.563476312724,0.0,0.16,0.5
5398.563476312724,5398.813695243857,0.0,0.04,0.0
5398.813695243857,5399.063914174991,90.0,0.02,0.5
5399.063914174991,5399.314133106124,150.0,0.04,0.75
5399.314133106124,5399.564339174991,30.0,0.02,0.0
5399.564339174991,5399.814545243857,120.0,0.02,0.5
5399.814545243857,5400.064751312722,150.0,0.08,0.75
5400.064751312722,5400.31495738159,90.0,0.02,0.5
5400.31495738159,5400.565163812724,0.0,0.16,0.75
5400.565163812724,5400.815370243858,120.0,0.32,0.5
5400.815370243858,5401.065576674992,90.0,0.32,0.75
5401.065576674992,5401.315783106124,90.0,0.08,0.0
5401.315783106124,5401.565996674991,30.0,0.02,0.0
5401.565996674991,5401.816210243856,150.0,0.04,0.75
5401.816210243856,5402.066423812724,0.0,0.04,0.5
5402.066423812724,5402.31663738159,90.0,0.04,0.0
5402.31663738159,5402.566846312724,120.0,0.02,0.75
5402.566846312724,5402.817055243858,90.0,0.08,0.0
5402.817055243858,5403.0672641749925,150.0,0.02,0.75
5403.0672641749925,5403.317473106124,30.0,0.32,0.25
5403.317473106124,5403.567679174991,30.0,0.16,0.75
5403.567679174991,5403.817885243857,120.0,0.02,0.5
5403.817885243857,5404.068091312724,120.0,0.04,0.0
5404.068091312724,5404.31829738159,150.0,0.04,0.75
5404.31829738159,5404.568508812724,60.0,0.16,0.75
5404.568508812724,5404.8187202438585,30.0,0.32,0.5
5404.8187202438585,5405.0689316749895,0.0,0.04,0.75
5405.0689316749895,5405.319143106124,0.0,0.04,0.25
5405.319143106124,5405.569349174991,90.0,0.02,0.75
5405.569349174991,5405.8195552438565,120.0,0.32,0.75
5405.8195552438565,5406.069761312724,150.0,0.16,0.0
5406.069761312724,5406.319967381592,150.0,0.08,0.5
5406.319967381592,5406.570176312725,30.0,0.16,0.5
5406.570176312725,5406.820385243856,90.0,0.32,0.5
5406.820385243856,5407.070594174991,60.0,0.08,0.5
5407.070594174991,5407.320803106124,0.0,0.16,0.75
5407.320803106124,5407.571006674991,150.0,0.08,0.25
5407.571006674991,5407.8212102438565,120.0,0.04,0.75
5407.8212102438565,5408.071413812723,90.0,0.08,0.75
5408.071413812723,5408.32161738159,150.0,0.04,0.25
5408.32161738159,5408.571828812724,30.0,0.08,0.5
5408.571828812724,5408.8220402438565,150.0,0.02,0.25
5408.8220402438565,5409.072251674989,150.0,0.02,0.75
5409.072251674989,5409.322463106124,0.0,0.04,0.75
5409.322463106124,5409.572684174989,60.0,0.16,0.25
5409.572684174989,5409.822905243856,120.0,0.04,0.0
5409.822905243856,5410.073126312724,30.0,0.04,0.5
5410.073126312724,5410.323347381591,0.0,0.02,0.25
5410.323347381591,5410.573546312724,120.0,0.32,0.75
5410.573546312724,5410.823745243857,150.0,0.02,0.25
5410.823745243857,5411.073944174989,120.0,0.08,0.25
5411.073944174989,5411.324143106124,60.0,0.02,0.5
5411.324143106124,5411.574359174991,150.0,0.04,0.0
5411.574359174991,5411.824575243857,0.0,0.02,0.0
5411.824575243857,5412.0747913127225,30.0,0.04,0.25
5412.0747913127225,5412.325007381592,60.0,0.16,0.5
5412.325007381592,5412.575206312724,90.0,0.02,0.5
