unit_id,session,structure,mean_rate,spont_rate,max_rate,pref_dir,pref_ori,gOSI,gDSI,p_gOSI
950919098,719161530,VISam,4.357558547626058,3.8800881312727076,4.8863337105797235,0.0,0.0,0.020699156884412834,0.03809613153873685,0.5808383233532934
950919109,719161530,VISam,23.913105792165354,21.015792974908205,24.426190434240194,45.0,45.0,0.011475955340406083,0.010280043426373437,0.5369261477045908
950919124,719161530,VISam,18.29656703225189,18.21812894065095,19.870034324412835,90.0,90.0,0.021859425161458727,0.023552901459973134,0.17764471057884232
950919137,719161530,VISam,2.17627201824159,2.3147361102926465,2.7576886706644306,315.0,135.0,0.0820417383305247,0.09471440857726561,0.22355289421157684
950919151,719161530,VISam,18.637416889783854,17.102388421650854,19.916641357289443,315.0,135.0,0.025271108416269505,0.015245933544196292,0.07984031936127745
950919164,719161530,VISam,17.730149101835305,16.053268683364028,19.470354168555026,315.0,135.0,0.02204078408385352,0.01543075944893775,0.1217564870259481
950919229,719161530,VISam,0.4703426655880827,0.3497097409599795,0.6794317087820566,90.0,90.0,0.0888952834344322,0.09104643662798131,0.25748502994011974
950919242,719161530,VISam,3.8989139634961476,2.0316382477837096,5.3174872536661955,0.0,0.0,0.15045752662822529,0.009739473926522172,0.001996007984031936
950919256,719161530,VISam,0.6248954413159391,5.062437783003433,0.899248461497736,135.0,135.0,0.1723111521163724,0.0782977528579469,0.001996007984031936
950919269,719161530,VISam,5.209690369983699,7.160683583036868,8.321826063854012,0.0,0.0,0.14412562427926404,0.10604553526059657,0.001996007984031936
950919295,719161530,VISam,1.5572258848304295,1.6319699724215861,2.397995109921563,90.0,90.0,0.2763196146610362,0.026066719433251635,0.001996007984031936
950919309,719161530,VISam,6.073511801403334,9.142373196433725,8.13985064204527,90.0,90.0,0.04709479585000361,0.047103319879723805,0.3153692614770459
950919321,719161530,VISam,3.01420124372412,0.5995002499659673,9.198967378536182,90.0,90.0,0.7223167977621632,0.01704096999572808,0.001996007984031936
950919334,719161530,VISam,3.7167930400538394,0.033305606416196,6.967528436772519,180.0,0.0,0.4054960268091862,0.03369346927170875,0.001996007984031936
