start,stop,orientation,spatial_frequency,phase
5381.988652936707,5382.238856576834,120.0,0.32,0.5
5382.238856576834,5382.489060216961,150.0,0.08,0.5
5382.489060216961,5382.739263857088,60.0,0.32,0.5
5382.739263857088,5382.989467497215,120.0,0.04,0.75
5382.989467497215,5383.239686357088,150.0,0.02,0.0
5383.239686357088,5383.48990521696,60.0,0.04,0.0
5383.48990521696,5383.740124076833,90.0,0.32,0.75
5383.740124076833,5383.990342936707,90.0,0.16,0.25
5383.990342936707,5384.240544076834,120.0,0.08,0.5
5384.490745216961,5384.740946357088,60.0,0.16,0.25
5384.740946357088,5384.991147497214,30.0,0.04,0.0
5384.991147497214,5385.241353857087,120.0,0.02,0.75
5385.241353857087,5385.49156021696,0.0,0.04,0.75
5385.49156021696,5385.741766576834,150.0,0.32,0.75
5385.741766576834,5385.9919729367075,30.0,0.16,0.5
5385.9919729367075,5386.242184076834,90.0,0.04,0.0
5386.242184076834,5386.492395216961,120.0,0.32,0.0
5386.492395216961,5386.742606357088,150.0,0.16,0.25
5386.742606357088,5386.992817497215,90.0,0.02,0.0
5386.992817497215,5387.243026357088,150.0,0.16,0.0
5387.243026357088,5387.493235216961,60.0,0.08,0.25
5387.493235216961,5387.743444076834,60.0,0.16,0.0
5387.743444076834,5387.993652936707,90.0,0.16,0.0
5387.993652936707,5388.243861576834,30.0,0.04,0.0
5388.243861576834,5388.494070216961,150.0,0.32,0.75
5388.494070216961,5388.744278857088,90.0,0.02,0.5
5388.744278857088,5388.994487497213,30.0,0.02,0.25
5388.994487497213,5389.244698857086,30.0,0.04,0.0
5389.244698857086,5389.49491021696,0.0,0.08,0.5
5389.745121576833,5389.995332936706,30.0,0.32,0.25
5389.995332936706,5390.245539076834,120.0,0.16,0.25
5390.245539076834,5390.49574521696,0.0,0.32,0.0
5390.49574521696,5390.745951357088,30.0,0.08,0.25
5390.745951357088,5390.996157497214,150.0,0.02,0.5
5390.996157497214,5391.246363857087,150.0,0.16,0.25
5391.246363857087,5391.49657021696,60.0,0.04,0.25
5391.49657021696,5391.746776576833,60.0,0.16,0.75
5391.746776576833,5391.9969829367055,60.0,0.32,0.25
5391.9969829367055,5392.247194076834,60.0,0.16,0.75
5392.247194076834,5392.497405216961,0.0,0.16,0.5
5392.497405216961,5392.747616357086,150.0,0.08,0.5
5392.747616357086,5392.9978274972145,90.0,0.16,0.75
5392.9978274972145,5393.248041357088,120.0,0.02,0.75
5393.248041357088,5393.49825521696,120.0,0.02,0.0
5393.49825521696,5393.748469076833,30.0,0.08,0.25
5393.748469076833,5393.998682936706,150.0,0.08,0.75
5393.998682936706,5394.2488890768345,150.0,0.04,0.5
5394.2488890768345,5394.49909521696,120.0,0.32,0.5
5394.49909521696,5394.749301357088,60.0,0.08,0.75
5394.749301357088,5394.999507497214,0.0,0.02,0.25
5394.999507497214,5395.249716357087,0.0,0.02,0.75
5395.249716357087,5395.49992521696,0.0,0.16,0.5
5395.49992521696,5395.750134076833,90.0,0.32,0.25
5395.750134076833,5396.000342936706,150.0,0.04,0.75
5396.000342936706,5396.250551576834,0.0,0.16,0.5
5396.250551576834,5396.500760216961,120.0,0.16,0.0
5396.500760216961,5396.750968857088,30.0,0.02,0.5
5396.750968857088,5397.001177497215,120.0,0.16,0.75
5397.001177497215,5397.251386357088,150.0,0.32,0.5
5397.251386357088,5397.5015952169615,30.0,0.16,0.25
5397.5015952169615,5397.751804076835,150.0,0.04,0.75
5397.751804076835,5398.002012936707,150.0,0.08,0.0
5398.002012936707,5398.252219076834,150.0,0.08,0.5
5398.252219076834,5398.5024252169615,150.0,0.04,0.0
5398.5024252169615,5398.752631357088,0.0,0.02,0.25
5398.752631357088,5399.0028374972135,60.0,0.16,0.5
5399.0028374972135,5399.253051357086,90.0,0.04,0.75
5399.253051357086,5399.50326521696,60.0,0.32,0.0
5399.50326521696,5399.753479076833,0.0,0.08,0.0
5399.753479076833,5400.003692936706,90.0,0.04,0.0
5400.2539015768325,5400.504110216961,150.0,0.04,0.0
5400.504110216961,5400.754318857088,30.0,0.16,0.0
5400.754318857088,5401.0045274972135,90.0,0.32,0.0
5401.0045274972135,5401.2547413570865,90.0,0.04,0.0
5401.2547413570865,5401.50495521696,90.0,0.16,0.75
5401.50495521696,5401.755169076833,0.0,0.32,0.75
5401.755169076833,5402.005382936706,60.0,0.16,0.5
5402.005382936706,5402.255581576833,120.0,0.08,0.25
5402.50578021696,5402.755978857087,90.0,0.08,0.0
5402.755978857087,5403.006177497215,120.0,0.04,0.75
5403.006177497215,5403.256388857088,30.0,0.04,0.0
5403.256388857088,5403.5066002169615,150.0,0.04,0.5
