start,stop,orientation,temporal_frequency
1591.1338573815906,1593.135537381591,315.0,2.0
1594.1364031061246,1596.1380531061245,135.0,4.0
1597.1388973815906,1599.140577381591,225.0,15.0
1600.1413931061245,1602.1430631061246,270.0,4.0
1603.143897381591,1605.1455473815906,90.0,4.0
1606.1464231061245,1608.148073106125,315.0,4.0
1609.148957381591,1611.150567381591,180.0,15.0
1612.1514231061246,1614.1530931061245,0.0,2.0
1615.1539673815905,1617.1556273815906,180.0,15.0
1618.1564431061245,1620.1581131061246,135.0,15.0
1621.1589173815905,1623.1606273815905,270.0,1.0
1624.1614631061245,1626.1631331061246,180.0,2.0
1627.1639473815908,1629.1656273815906,90.0,1.0
1630.1664731061246,1632.1681431061245,45.0,2.0
1633.1689973815905,1635.170647381591,0.0,4.0
1636.171493106125,1638.1731631061245,315.0,8.0
1639.1739673815905,1641.1756573815906,135.0,15.0
1642.1765031061245,1644.1781731061246,270.0,2.0
1645.1790173815905,1647.1806873815906,0.0,1.0
1648.1815231061246,1650.1831831061245,135.0,2.0
1651.1840173815906,1653.185687381591,135.0,8.0
1654.1865231061245,1656.1881931061246,90.0,15.0
1657.1890373815909,1659.190727381591,135.0,1.0
1660.1915331061246,1662.1932131061246,180.0,2.0
1663.1940373815905,1665.1957473815905,270.0,2.0
1666.1965631061246,1668.198243106125,45.0,15.0
1669.1990873815905,1671.2007473815906,180.0,8.0
1672.201573106125,1674.2032631061245,45.0,4.0
1675.2040873815906,1677.2057173815906,180.0,1.0
1678.2065831061245,1680.2082631061246,225.0,8.0
1681.2090773815905,1683.2107773815906,225.0,1.0
1684.2116031061246,1686.2132731061245,90.0,8.0
1687.2140873815906,1689.2157573815905,315.0,8.0
1690.2166231061246,1692.2182931061245,180.0,4.0
1693.219107381591,1695.2207973815905,135.0,8.0
1696.2216331061245,1698.2233031061246,90.0,4.0
1699.224147381591,1701.2258073815906,180.0,8.0
1702.2266531061246,1704.2283331061246,90.0,2.0
1705.2291573815905,1707.2308373815906,135.0,1.0
1711.2341273815905,1713.2358373815905,225.0,4.0
1714.2366731061245,1716.2383531061246,180.0,4.0
1717.239177381591,1719.2408873815905,45.0,15.0
1720.2416931061246,1722.2433831061246,270.0,4.0
1723.2441773815906,1725.245857381591,45.0,15.0
1726.2467231061246,1728.2483931061245,90.0,1.0
1732.2517231061245,1734.2533931061246,225.0,2.0
1735.2542473815906,1737.2559173815905,135.0,2.0
1738.2567431061245,1740.2584331061246,225.0,1.0
1741.2592173815906,1743.260897381591,315.0,8.0
1744.2617631061246,1746.2634231061245,135.0,4.0
1747.264227381591,1749.265937381591,225.0,8.0
1750.266773106125,1752.2684531061245,315.0,1.0
1753.2692473815905,1755.2709473815905,315.0,2.0
1756.2717931061245,1758.2734731061246,270.0,4.0
1762.2768131061246,1764.2784631061245,270.0,1.0
1765.2793173815905,1767.280977381591,180.0,15.0
1768.2818231061246,1770.2834931061245,0.0,15.0
1771.2843573815906,1773.2859873815905,0.0,1.0
1774.2868331061245,1776.2885131061246,0.0,15.0
1777.2893173815905,1779.2910173815906,135.0,8.0
1780.2918531061246,1782.293523106125,45.0,8.0
1783.2943373815906,1785.296007381591,225.0,1.0
1786.2968631061246,1788.2985431061245,45.0,15.0
1789.2993673815906,1791.3010373815905,225.0,2.0
1792.3018831061245,1794.3035531061246,0.0,1.0
1795.3044273815906,1797.3060373815906,0.0,1.0
1798.3068931061246,1800.308563106125,225.0,15.0
1801.3094073815905,1803.3110673815906,315.0,2.0
1804.3119031061249,1806.3135831061245,90.0,2.0
