unit_id,session,structure,mean_rate,max_rate,pref_dir,pref_ori,gOSI,gDSI,p_gOSI
950911808,715093703,VISam,3.0401093895516755,3.6636145762207364,180.0,0.0,0.05590344901025976,0.041585509257179055,0.5968063872255489
950911817,715093703,VISam,7.612466753970228,9.791764227742531,225.0,45.0,0.0562439154813382,0.07123573271874725,0.15768463073852296
950911828,715093703,VISam,15.170706787402688,16.168979236554687,0.0,0.0,0.0026454754134000065,0.020597794248669858,0.9940119760479041
950911840,715093703,VISam,17.29528785109168,18.700644353910935,0.0,0.0,0.02381423358589525,0.0221663594990215,0.26147704590818366
950911873,715093703,VISam,0.5647529992427825,1.4987495767320154,180.0,0.0,0.46134568669348436,0.0840805680570665,0.001996007984031936
950911880,715093703,VISam,8.421097454516284,12.38156995775402,0.0,0.0,0.19708386416978385,0.03996781825851599,0.001996007984031936
950911901,715093703,VISam,8.443079083035101,10.238080834581309,90.0,90.0,0.0043356253671734,0.040556110642279736,0.998003992015968
950911912,715093703,VISam,2.5012669480813985,4.143212080809711,180.0,0.0,0.34010836778984205,0.06375511975234624,0.001996007984031936
950911922,715093703,VISam,1.523809585434446,2.4113245736552327,180.0,0.0,0.23799400651458938,0.014801619796431601,0.001996007984031936
950911932,715093703,VISam,2.0693528559393903,3.776857980911613,180.0,0.0,0.26470197424835906,0.0670395020409225,0.001996007984031936
950911941,715093703,VISam,0.9766576511745121,1.4192038931034734,45.0,45.0,0.15605763748261392,0.035469240630382017,0.001996007984031936
950911952,715093703,VISam,2.3576160735582437,4.323057347205393,180.0,0.0,0.34846856896016926,0.13122190877293718,0.001996007984031936
950911965,715093703,VISam,1.896420156188367,2.140108209865795,0.0,0.0,0.0344225119533726,0.009351563589186491,0.16167664670658682
950911976,715093703,VISam,0.43776062455235915,0.9125730334968064,180.0,0.0,0.22735667586678648,0.08666338653028904,0.11976047904191617
950911986,715093703,VISam,0.2932335153420016,0.4995849115875318,180.0,0.0,0.3598050330498851,0.09457795468727365,0.001996007984031936
950911996,715093703,VISam,8.076135140047876,9.032434570879548,90.0,90.0,0.059379569307725505,0.00872854380356009,0.001996007984031936
950912007,715093703,VISam,2.553063730777537,5.697960703912904,0.0,0.0,0.1932117976348768,0.13516867094006277,0.001996007984031936
950912018,715093703,VISam,11.777919014549058,13.881683279078116,270.0,90.0,0.07614401411600384,0.041375559840654774,0.001996007984031936
950912065,715093703,VISam,8.877263759895675,11.557026109544188,180.0,0.0,0.05192138959775871,0.0355450967081158,0.04590818363273453
950912076,715093703,VISam,3.1713094891275704,5.608630976494686,225.0,45.0,0.2406205389282979,0.08259624717397294,0.001996007984031936
950912109,715093703,VISam,3.847146439847417,6.427933503499538,270.0,90.0,0.24403951115499653,0.012961265140999649,0.001996007984031936
950912118,715093703,VISam,3.010879136203529,4.016928996055399,0.0,0.0,0.19817794334074834,0.048085507106792116,0.001996007984031936
950912128,715093703,VISam,8.175598693113205,9.139049216688331,180.0,0.0,0.0163121553837976,0.034368638163988004,0.7844311377245509
950912139,715093703,VISam,3.489586819515868,5.681905423600161,90.0,90.0,0.13048333294852663,0.16838709872665966,0.001996007984031936
950912152,715093703,VISam,9.128002854315401,11.989932221692548,225.0,45.0,0.12786558433431525,0.03529398709513673,0.001996007984031936
950912164,715093703,VISam,1.6600344726432585,5.45541365637818,225.0,45.0,0.5620213492887245,0.1554654654303626,0.001996007984031936
950912190,715093703,VISam,5.074436368292766,8.459566194253542,270.0,90.0,0.29575804351144186,0.028515165098820208,0.001996007984031936
950912203,715093703,VISam,1.676711341309057,2.05826952180112,225.0,45.0,0.11592256729352288,0.018853092444381887,0.001996007984031936
950912214,715093703,VISam,3.6399593756369253,6.527865048240952,315.0,135.0,0.31527169021412277,0.09960595055171838,0.001996007984031936
950912226,715093703,VISam,11.57162715019365,22.02897625302049,0.0,0.0,0.4179018663545061,0.040775376047328206,0.001996007984031936
950912238,715093703,VISam,8.6751033325912,13.395412523298232,225.0,45.0,0.17064792035821869,0.06672267144217764,0.001996007984031936
950912249,715093703,VISam,7.703617186654537,12.178025586247863,45.0,45.0,0.25512165657796454,0.03394530770832,0.001996007984031936
950912260,715093703,VISam,8.900701114786774,11.190631610578246,90.0,90.0,0.14273077793068106,0.06626228600000467,0.001996007984031936
950912272,715093703,VISam,7.02104905071551,8.985791697163052,225.0,45.0,0.07426289791000935,0.023978946759006414,0.001996007984031936
950912283,715093703,VISam,7.418690380752482,9.919575488880689,45.0,45.0,0.07564882266350863,0.02197222583834896,0.001996007984031936
950912293,715093703,VISam,2.8237904192131444,5.2089932166570625,180.0,0.0,0.3027513102258145,0.036266947951834376,0.001996007984031936
950912303,715093703,VISam,6.106227100770542,7.00078527506907,225.0,45.0,0.07186513018882243,0.0577523950952764,0.003992015968063872
950912314,715093703,VISam,6.264893105895455,7.034683762111261,0.0,0.0,0.052570771080936274,0.02409156532530474,0.005988023952095809
950912326,715093703,VISam,11.155579438920883,12.833921445136347,0.0,0.0,0.04096969075786935,0.017026844137197267,0.15169660678642716
950912338,715093703,VISam,1.4168887202041989,1.97833882834688,270.0,90.0,0.11346677791939849,0.03742383098208244,0.003992015968063872
950912350,715093703,VISam,3.365088421313284,4.782656096923575,90.0,90.0,0.08975550787535773,0.03898717796748261,0.001996007984031936
950912361,715093703,VISam,5.293242749206535,7.020773980143669,270.0,90.0,0.03426339216134896,0.03191621333788903,0.5748502994011976
950912384,715093703,VISam,3.4703937943543846,4.809290465951889,270.0,90.0,0.09746703528740659,0.03111648204144188,0.001996007984031936
950912396,715093703,VISam,3.452826095090652,10.09818216314691,270.0,90.0,0.5362025739135797,0.07011123329278703,0.001996007984031936
950912406,715093703,VISam,3.919071850496815,7.820156021286264,180.0,0.0,0.29808645410754836,0.04916705917923712,0.001996007984031936
950912417,715093703,VISam,1.215552278848965,1.6540260490965695,0.0,0.0,0.14570092185802455,0.10640338813367312,0.001996007984031936
950912427,715093703,VISam,4.91567314225021,13.35546792475769,90.0,90.0,0.6346083910258717,0.06447271333522521,0.001996007984031936
950912438,715093703,VISam,4.116188400474271,6.201458874080489,225.0,45.0,0.26971963709971447,0.033919167843956446,0.001996007984031936
950912448,715093703,VISam,3.0368002247507158,4.236472903603908,180.0,0.0,0.14188909539624806,0.09283257055717697,0.001996007984031936
950912460,715093703,VISam,0.7059373153251419,1.2323527147087319,45.0,45.0,0.24596392527685987,0.164519036327392,0.001996007984031936
950912473,715093703,VISam,2.139527058442164,3.3706153283248104,45.0,45.0,0.1243282642549041,0.13491743039032966,0.001996007984031936
950912511,715093703,VISam,0.5631023592035702,0.7358704482373101,135.0,135.0,0.09175277891074773,0.048079664469439606,0.059880239520958084
950912520,715093703,VISam,1.20970969509563,1.7453673282968103,45.0,45.0,0.09327247861519297,0.07885834406029858,0.03792415169660679
950912529,715093703,VISam,0.010025011276782061,0.03330548994951892,270.0,90.0,0.6853177759205006,0.28499973108747273,0.01996007984031936
950912547,715093703,VISam,1.3642921049941013,1.9450446528496037,180.0,0.0,0.08625362140971718,0.1434066010716956,0.10379241516966067
