start,stop,orientation,temporal_frequency
1574.7748229367066,1576.7765129367065,315.0,4.0
1577.7773474972146,1579.7790274972147,90.0,8.0
1580.7798329367065,1582.7815629367065,225.0,2.0
1583.7823674972144,1585.7840474972147,90.0,2.0
1586.7848829367065,1588.7865529367066,135.0,8.0
1589.7873774972147,1591.7890474972146,0.0,1.0
1592.7899029367065,1594.7915629367064,315.0,15.0
1595.7924074972148,1597.7940774972144,315.0,4.0
1598.7949329367066,1600.7965629367066,270.0,8.0
1601.7974174972146,1603.7990974972147,90.0,15.0
1604.7999929367065,1606.8015729367066,0.0,15.0
1607.8024374972147,1609.8041074972148,315.0,15.0
1610.8049429367065,1612.8066329367066,270.0,1.0
1619.8124574972146,1621.8141374972147,315.0,1.0
1622.8149929367066,1624.8166329367066,315.0,2.0
1625.8174874972144,1627.8191674972147,315.0,1.0
1628.8200229367064,1630.8217029367065,180.0,8.0
1634.8249929367066,1636.8266829367064,45.0,1.0
1637.8275274972148,1639.8291974972144,315.0,2.0
1640.8300329367066,1642.8317029367065,90.0,8.0
1643.8325274972144,1645.8342174972147,270.0,2.0
1646.8349929367066,1648.8367029367066,135.0,8.0
1649.8375474972147,1651.8392174972146,90.0,1.0
1652.8400729367065,1654.8417429367066,135.0,8.0
1655.8425674972148,1657.8442274972147,135.0,2.0
1658.8450629367069,1660.8467629367065,135.0,4.0
1661.8475974972146,1663.8492674972147,45.0,1.0
1664.8500929367065,1666.8517629367066,315.0,8.0
1667.8525874972147,1669.8542674972146,0.0,1.0
1670.8551029367065,1672.8567829367066,180.0,2.0
1673.8576074972148,1675.8592774972144,0.0,2.0
1676.8601229367066,1678.8618029367065,315.0,8.0
1679.8626274972146,1681.8643074972147,315.0,8.0
1682.8651229367065,1684.8668329367065,45.0,2.0
1685.8676574972146,1687.8693274972147,90.0,1.0
1688.8701629367065,1690.8718529367065,180.0,1.0
1694.8751529367066,1696.8768529367069,135.0,1.0
1697.8776874972148,1699.8793574972144,225.0,8.0
1700.8802229367066,1702.8818729367065,0.0,4.0
1703.8827074972146,1705.8843774972147,135.0,15.0
1706.8852129367065,1708.8868829367066,45.0,15.0
1709.8877274972147,1711.8893974972148,315.0,8.0
1712.8902129367066,1714.8919129367066,225.0,8.0
1715.8927274972148,1717.8944074972146,0.0,15.0
1718.8952529367066,1720.8969629367066,45.0,1.0
1721.8977474972146,1723.8994274972147,270.0,2.0
1724.9002429367065,1726.9019329367065,135.0,8.0
1727.9027574972147,1729.9044274972146,180.0,8.0
1730.9053029367064,1732.9069529367066,180.0,15.0
1733.9077774972147,1735.9094474972146,180.0,1.0
1736.9102729367066,1738.9119629367065,90.0,8.0
1739.9127874972146,1741.9144774972144,0.0,4.0
1742.9153329367066,1744.9170229367066,0.0,4.0
1745.9178174972144,1747.9194974972147,90.0,2.0
1748.9203229367065,1750.9220129367066,225.0,4.0
1751.9228474972147,1753.9245074972146,90.0,15.0
1757.9278574972147,1759.9295274972146,45.0,15.0
1763.9328674972146,1765.9345474972147,270.0,2.0
1766.9353929367066,1768.9370229367069,45.0,1.0
1769.9378874972147,1771.9395574972148,180.0,2.0
1772.9403629367066,1774.942052936707,225.0,15.0
1775.9429074972147,1777.9445874972146,225.0,8.0
1778.9454029367066,1780.9471029367066,45.0,2.0
1781.9479274972146,1783.9495874972147,90.0,2.0
1784.9504329367066,1786.9521329367064,315.0,1.0
1787.9529374972144,1789.9546174972147,270.0,4.0
1790.9554629367065,1792.9571129367066,270.0,4.0
