,pref_dir,max_rate,mean_rate,gOSI,gDSI,OSI,pref_ori
950930088,45.0,13.356576362858341,11.849747885012029,0.03435726910782772,0.03752234134279307,0.062808812665011,45.0
950930105,180.0,10.59784887099296,6.732767488933445,0.12869343388231994,0.15506003409696217,0.2250882291699289,0.0
950930145,90.0,8.206438659916982,6.526411332032435,0.02853776000379385,0.05425439822251486,0.018664409384615582,90.0
950930173,225.0,7.1206783701784495,3.7486135522619337,0.5597016696366276,0.019070027758879497,0.7718442651858096,45.0
950930215,270.0,20.19639174731093,13.83293204592102,0.07862328432559812,0.02535400955784267,0.11919158688404538,90.0
950930237,45.0,19.064769418024348,6.627477785678718,0.6619053926048243,0.004915032993212623,0.845662966222912,45.0
950930276,225.0,18.75090861158389,10.528173881147568,0.328717776704112,0.008277740815191888,0.4897037837408968,45.0
950930295,90.0,7.666910481219052,2.7819845353550887,0.5995947807879984,0.017605740102504482,0.7571309650799734,90.0
950930321,45.0,2.798103339289052,2.3200202852361085,0.05767185761527444,0.0020299161507257475,0.012562957240365545,45.0
950930340,45.0,13.343084761558858,6.005955668477888,0.42790501514991924,0.031080653637894504,0.6448194090027212,45.0
950930358,135.0,8.71566521628921,6.638380733499475,0.03815056127292823,0.023592195556122256,0.026777810030484777,135.0
950930375,45.0,3.877200494837782,2.7644663708626713,0.22291806636785233,0.01591780412007563,0.24719061225783093,45.0
950930392,90.0,6.847597072434322,4.367650586782415,0.22247586056918628,0.020387516368505876,0.3530422865556712,90.0
950930407,180.0,64.1732158936818,56.532110740987534,0.05652075609953061,0.008773866046186135,0.09954220779957278,0.0
950930423,270.0,1.352201414471116,0.720975631494698,0.34466613986036454,0.04236448601169284,0.6036291662840296,90.0
950930437,45.0,0.18662291521170016,0.1386942545081649,0.05425966979931356,0.11716409196080191,0.03847235503066011,45.0
950930454,135.0,6.001720510641385,2.5330017628906805,0.6256652754831418,0.030476074553315923,0.9009611165481255,135.0
950930469,90.0,0.09325519880013586,0.060985690813591634,0.10921499402550855,0.07759835245623452,0.1403376959592586,90.0
950930488,180.0,0.38634470167280577,0.23809486609133945,0.11366348074068335,0.059499963672250536,0.215987401191525,0.0
950930505,315.0,12.935833839614528,7.604090826140567,0.2746478598698975,0.011701938418727222,0.4726194623864951,135.0
950930522,225.0,35.77659411497389,14.667904003364697,0.5202774727149682,0.012898014194681772,0.7371036687289578,45.0
950930541,45.0,16.254094717734514,8.977565470014815,0.26074784785097876,0.11474705579411149,0.34485132041329847,45.0
950930590,270.0,5.661914822149674,2.951549878783625,0.2618692912849784,0.029117287109479962,0.2686148887958105,90.0
950930609,135.0,22.845693422468067,7.95154194126896,0.7484456305800803,0.022903579669234314,0.9930969822628483,135.0
950930633,90.0,5.448767725984616,4.313392788268516,0.12591106780794756,0.03388583526676537,0.17719179508000016,90.0
950930659,135.0,0.4658252943372207,0.18462804329499843,0.6733095952566704,0.029991180121287365,0.9154526182258726,135.0
950930689,270.0,15.52698258207011,7.849643138685236,0.4888756999181571,0.07019254954602656,0.7184788276261327,90.0
950930716,315.0,11.517019781451285,5.512101792130059,0.29287942775300124,0.13717916389383322,0.30533069944703045,135.0
950930767,315.0,3.4637634670029556,2.5773000292969996,0.026200608471209974,0.07027340481851553,0.006189701316422874,135.0
950930795,90.0,24.526114457363615,16.85901803803254,0.21627455825276842,0.02970124559032674,0.33100939651781486,90.0
950930814,225.0,10.0981723126967,2.8029405853312697,0.6051186107936337,0.5238227412612219,0.9157386482907568,45.0
950930841,225.0,5.795126133085335,4.581495493869685,0.06591049547838095,0.02781794885419307,0.12327124602719404,45.0
950930866,0.0,14.785001275042108,7.680095269493767,0.46906771180330453,0.06606254008581573,0.9218084864264812,0.0
950930888,90.0,13.32216799201697,4.827949972476092,0.5898550395278822,0.15647993169125146,0.7351638360428674,90.0
950930905,45.0,4.923487524583245,3.1321114021949557,0.19172871570582575,0.0385063744802995,0.2896565446240447,45.0
950930923,45.0,10.511264566647858,5.1837891290149445,0.43335314709684164,0.1023770291114116,0.5422457696217189,45.0
950930944,135.0,0.7763797964385157,0.39432627583172686,0.3100991885319079,0.004122636991779165,0.37565057978182065,135.0
950930964,90.0,22.534461739205724,18.575157562415633,0.15168349327137542,0.028921752969212414,0.3373150119403239,90.0
950930985,225.0,45.734859404503325,32.977733657338256,0.2045194731840629,0.028507558881273307,0.41615271069699833,45.0
950931004,270.0,14.2547131587239,7.83553749906422,0.1766863023804586,0.13829096700462043,0.3116241648677327,90.0
950931022,225.0,12.342954827483142,5.430593249621795,0.5505209928847302,0.09044108922068811,0.8391461461984335,45.0
950931043,270.0,8.12651412319201,6.884765345966972,0.04446691656646432,0.018844321597630394,0.0878541245842148,90.0
950931065,225.0,0.026644185639156128,0.010025036317808749,0.33295695494748406,0.23543982453455703,0.49999531640749956,45.0
950931118,315.0,2.3380461662473984,1.149560128233885,0.26988999079145115,0.052794793452491426,0.3893006199341287,135.0
950931164,90.0,1.4454557145842022,0.9031039300306469,0.21755588783194127,0.028851998935619454,0.30455833028542856,90.0
950931181,315.0,3.2839206964498286,2.634155118962153,0.08598530562312968,0.11656015552043235,0.11386476900474467,135.0
950931200,45.0,2.6312915173348905,1.9599168111933318,0.16777297640014757,0.05175674707746955,0.25054816217704745,45.0
950931236,0.0,0.1687786301307686,0.10276397340863283,0.1410651468323815,0.05214071454272564,0.2653584013374793,0.0
950931254,135.0,67.73374273698784,53.40990864389852,0.09240005323371804,0.026229263755045227,0.12375258939587389,135.0
950931272,45.0,0.5730202318114094,0.2882409586159991,0.1611925236823718,0.1912163341565037,0.30529028625051946,45.0
