baseline_hz,bf_hz,bf_idx,peak_evoked_hz,evoked_at_bf_hz,latency_s,pval,unit,subject,session,path,n_spikes,pupil_frac_large
6.389033921992778,16000.0,3,0.11056938067852862,0.10525754879298521,0.022500000000000155,0.9720558882235529,0,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,36549,0.4948301329394387
14.36522572154078,8000.0,2,0.8954377855682303,0.8954377855682303,0.022500000000000155,0.2554890219560878,1,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,84680,0.4948301329394387
4.7522946002223705,4000.0,1,0.466580314508084,0.0422259477228355,,0.11976047904191617,2,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,26945,0.4948301329394387
1.5583181283150909,8000.0,2,1.4883981885434059,1.4883981885434059,0.022500000000000155,0.007984031936127744,3,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,9334,0.4948301329394387
9.768315007966708,8000.0,2,5.031955811261456,5.031955811261456,0.01750000000000015,0.05788423153692615,4,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,58505,0.4948301329394387
0.453577869824355,8000.0,2,0.1896177970679943,0.1896177970679943,0.022500000000000155,0.37325349301397204,5,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,2724,0.4948301329394387
0.42350008636689046,32000.0,4,0.2000742231306007,0.12232201605898546,0.022500000000000155,0.5109780439121756,6,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,2458,0.4948301329394387
5.202014837674843,32000.0,4,1.0652511274514174,0.492055243187691,,0.21956087824351297,7,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,30728,0.4948301329394387
1.4157111888582767,4000.0,1,0.7725155219659273,-0.04584817515964601,,0.005988023952095809,8,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,7497,0.4948301329394387
2.486020310630679,4000.0,1,1.28764522599967,0.1441166756706913,,0.001996007984031936,9,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,14123,0.4948301329394387
2.7561058744027753,4000.0,1,1.313993484423087,-0.023229162074007714,,0.005988023952095809,10,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,15234,0.4948301329394387
0.304901790587253,16000.0,3,0.2168855414335631,-0.0026855380687842434,0.08750000000000022,0.07984031936127745,11,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,1606,0.4948301329394387
15.092709058525891,4000.0,1,4.144841759947692,0.3730443661316478,,0.02594810379241517,12,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,87251,0.4948301329394387
8.86629754796356,4000.0,1,0.971917046947989,-0.010133164401915806,0.03750000000000017,0.015968063872255488,13,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,51862,0.4948301329394387
1.6360806316309096,4000.0,1,0.5257217961535907,0.03515224508141923,,0.08582834331337326,14,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,9512,0.4948301329394387
2.9546951393799445,4000.0,1,0.5376335280055362,0.1274966414419736,0.0675000000000002,0.3992015968063872,15,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,16953,0.4948301329394387
0.3215353591235829,4000.0,1,0.15227334152033306,0.05517696964354041,,0.4031936127744511,16,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,1888,0.4948301329394387
13.587044021369934,4000.0,1,4.5416818006522615,-0.2514275830137702,,0.005988023952095809,17,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,78465,0.4948301329394387
5.2461786170715525,8000.0,2,7.218276359231763,7.218276359231763,0.01750000000000015,0.001996007984031936,18,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,34022,0.4948301329394387
8.125049867892159,32000.0,4,0.9280288794019755,0.2509609137790001,,0.18363273453093812,19,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,48673,0.4948301329394387
1.3365979754020594,4000.0,1,0.5376812523147201,-0.014680167182881565,,0.05389221556886228,20,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,7802,0.4948301329394387
31.943751508472868,32000.0,4,0.6101568473222834,0.6101568473222834,,0.6946107784431138,21,LA11,1,sub-LA11/sub-LA11_ses-1_behavior.nwb,196440,0.4948301329394387
