session,unit,direction,peak_rate,peak_pos,field_start,field_end,field_width,spatial_info,n_spikes_field,is_place_cell,slope,phase0,rho,perm_p
Achilles_10252013,9,R,9.268683657509817,1.54,1.36,1.6,0.24,1.0031384353281512,86,True,-0.25,5.4374452176181185,-0.5198935511754613,0.001996007984031936
Achilles_10252013,11,R,8.044623801800126,0.22,3.469446951953614e-18,0.44000000000000006,0.44000000000000006,0.7066537874782248,193,True,-0.53,5.487414959476277,-0.3208562157341481,0.001996007984031936
Achilles_10252013,13,R,2.2153144367499924,0.06,3.469446951953614e-18,0.56,0.56,0.6323085439541344,59,True,0.3500000000000001,3.161441025563554,0.25689807213276306,0.3712574850299401
Achilles_10252013,16,R,7.0353002248452485,0.1,3.469446951953614e-18,0.32000000000000006,0.32000000000000006,0.9334370338062791,170,True,-0.8999999999999999,5.532938822679616,-0.1087031145560347,0.001996007984031936
Achilles_10252013,23,R,26.407970481538438,1.3800000000000001,1.04,1.6,0.56,1.5603229044060798,508,True,-0.6799999999999999,5.747741421505061,-0.22228586020906588,0.001996007984031936
Achilles_10252013,27,R,15.757187813246398,0.33999999999999997,3.469446951953614e-18,0.56,0.56,0.799911830440298,549,True,-0.8200000000000001,6.162737272029611,-0.17560812596927836,0.001996007984031936
Achilles_10252013,33,R,13.716267843316917,0.9,0.64,1.4000000000000001,0.7600000000000001,0.7023604872708257,365,True,-0.8200000000000001,5.782622849939659,-0.36145300738037855,0.001996007984031936
Achilles_10252013,39,R,23.882740888510337,0.26,0.08000000000000002,0.44000000000000006,0.36000000000000004,0.9714523085408611,486,True,-0.77,5.310405376332241,-0.5593098185813474,0.001996007984031936
Achilles_10252013,50,R,6.454097917096967,0.38,0.24000000000000002,0.64,0.4,1.0209553954419441,113,True,-1.54,5.861551639815618,-0.4606105622440932,0.001996007984031936
Achilles_10252013,51,R,16.25753825868838,0.22,3.469446951953614e-18,0.48,0.48,1.0264441982102828,530,True,-0.8300000000000001,4.745476455536824,-0.39644706279907094,0.001996007984031936
Achilles_10252013,52,R,11.30544604867458,0.86,0.6,1.24,0.64,0.801158475240709,283,True,-1.0699999999999998,6.21787902957649,-0.05524326337379902,0.001996007984031936
Achilles_10252013,54,R,7.924127798481855,0.1,3.469446951953614e-18,0.28,0.28,0.4630312775988582,187,True,-0.6699999999999999,4.869063482918109,-0.26415663299262093,0.001996007984031936
