session,unit,cell_type,location,n_spikes,mrl,rayleigh_z,rayleigh_p,pref_phase,rate
Achilles_10252013,2,inhibitory,lCA1,6828,0.06709322443085868,30.73624722020791,4.3385249225940046e-14,2.4894752123799613,33.2692626721623
Achilles_10252013,6,excitatory,lCA1,47,0.8015006740354108,30.192956532523237,7.479070870064001e-17,0.36662563585519287,0.22900634821201346
Achilles_10252013,7,excitatory,lCA1,928,0.06990151379228238,4.534413673060054,0.010699957502393557,4.74318888571478,4.521657258313798
Achilles_10252013,9,excitatory,lCA1,247,0.23098101819622743,13.17800099944059,1.6235647178451358e-06,4.583658134096533,1.2035014469865388
Achilles_10252013,11,excitatory,lCA1,302,0.2930756718585589,25.939791529474398,3.1733039239981866e-12,3.872758806271608,1.4714875991495333
Achilles_10252013,12,excitatory,lCA1,1052,0.14073659975045064,20.83674361580311,8.12498240046069e-10,0.16305867656282622,5.125844219554003
Achilles_10252013,13,excitatory,lCA1,96,0.2532175680958666,6.155437132068943,0.0019815055056196847,3.937015509591877,0.46775764741177217
Achilles_10252013,16,excitatory,lCA1,786,0.14254956754471293,15.971818056847155,1.0774695518599966e-07,3.9448891212859407,3.8297657381838848
Achilles_10252013,18,inhibitory,lCA1,10030,0.34460310419832824,1191.0755332139324,0.0,1.6310599658338674,48.870929203542445
Achilles_10252013,20,inhibitory,lCA1,1102,0.07504607808337363,6.206369046936785,0.002004610391867162,4.061329641918392,5.369467994247635
Achilles_10252013,21,excitatory,lCA1,131,0.07338772632874356,0.7055343472170355,0.49470513049476456,3.192461610642954,0.6382942896973142
Achilles_10252013,23,excitatory,lCA1,708,0.1451523520170146,14.916997349618494,3.1030439891832007e-07,4.124299485621632,3.44971264966182
Achilles_10252013,27,excitatory,lCA1,964,0.15703120922487065,23.771083846482597,4.143459395292215e-11,3.7343934566469876,4.697066376093212
Achilles_10252013,29,excitatory,lCA1,1352,0.10015535504196944,13.562040634124156,1.2514957705150302e-06,0.5165110389597585,6.587586867715792
Achilles_10252013,33,excitatory,lCA1,821,0.3433029204779771,96.7605109663495,4.881366930502046e-44,4.1339806993868065,4.000302380469427
Achilles_10252013,39,excitatory,lCA1,1771,0.17817131354777352,56.22042505624141,2.477011955065717e-25,3.0750937932308338,8.629154099648423
Achilles_10252013,41,excitatory,lCA1,203,0.10340850189166784,2.1707436074862514,0.11404052837354374,4.370975304160705,0.9891125252561432
Achilles_10252013,48,inhibitory,lCA1,3552,0.30615081379524867,332.9229954371752,7.561103830032635e-149,1.7466350909234891,17.30703295423557
Achilles_10252013,49,inhibitory,lCA1,3003,0.16092927927956108,77.77239348710522,1.0187066332480386e-34,1.226273157888763,14.632043908099499
Achilles_10252013,50,excitatory,lCA1,1526,0.15417091562692786,36.27099228972434,1.4395595672136612e-16,3.4108675910328055,7.435397603649629
Achilles_10252013,51,excitatory,lCA1,832,0.15184566298156274,19.183511664770197,4.219034344005023e-09,2.085698967412229,4.053899610902025
Achilles_10252013,52,excitatory,lCA1,889,0.057918691140309946,2.982216982448483,0.05063857546919795,0.699197301119662,4.331630714052765
Achilles_10252013,53,excitatory,lCA1,113,0.26439398946896453,7.899172528406586,0.0003336096891623858,3.6376522181957833,0.5505897308076069
Achilles_10252013,54,excitatory,lCA1,520,0.09678612681982221,4.871128259287008,0.00761315760262152,2.944489650562561,2.533687256813766
Achilles_10252013,55,excitatory,lCA1,1528,0.04517781945655681,3.118702046657643,0.04418927040667182,1.8448918295697234,7.445142554637374
Achilles_10252013,56,excitatory,lCA1,595,0.21746444914980176,28.138018053195896,4.3899224481380224e-13,1.2240053430082125,2.899122918854213
Achilles_10252013,57,excitatory,lCA1,1310,0.12361063709174264,20.016262378916718,1.8920844461027622e-09,2.433096458513377,6.382942896973141
Achilles_10252013,58,excitatory,lCA1,255,0.31597781269866265,25.45970442004694,4.739170833978987e-12,3.236693927147276,1.2424812509375198
Achilles_10252013,70,excitatory,lCA1,55,0.04423922916923349,0.10764101686183777,0.8987749738925267,1.4179712282944665,0.2679861521629945
Achilles_10252013,74,excitatory,lCA1,78,0.10294164813111155,0.8265646677560673,0.4389106434005173,3.6003018505275164,0.38005308852206493
Achilles_10252013,76,excitatory,lCA1,207,0.05264900336628358,0.5737869339808285,0.563944399187882,3.492606731350815,1.0086024272316338
Achilles_10252013,79,excitatory,lCA1,68,0.2935573863734431,5.859963858419673,0.0026156750881859343,4.164329037373971,0.33132833358333863
Achilles_10252013,82,excitatory,lCA1,556,0.2726170280647102,41.32194445890426,5.305865359138677e-19,4.189057698079803,2.7090963745931806
Achilles_10252013,83,inhibitory,lCA1,278,0.5529670079839725,85.00475831341157,6.466617613738961e-41,4.352653156811666,1.3545481872965903
Achilles_10252013,84,excitatory,lCA1,34,0.07171352936724748,0.17485623000644027,0.8415264774502073,1.0933906939976747,0.16566416679166932
Achilles_10252013,86,excitatory,lCA1,102,0.12172807386415074,1.5114078446009662,0.22099982971520982,1.6076269095023494,0.496992500375008
Achilles_10252013,92,excitatory,lCA1,696,0.11313395281051365,8.908306729857944,0.0001322867597061397,1.781390211121931,3.391242943735348
Achilles_10252013,93,excitatory,lCA1,60,0.2519091837173961,3.80749421046989,0.021561198687803342,5.116702473368772,0.29234852963235763
Achilles_10252013,94,excitatory,lCA1,92,0.2686807031156779,6.641417460859623,0.001197100303063626,4.033069883548844,0.4482677454362817
Achilles_10252013,95,excitatory,lCA1,174,0.18393604503102307,5.886849547127891,0.002684677069243718,2.449689212392284,0.847810735933837
Achilles_10252013,96,excitatory,lCA1,76,0.18302466458969852,2.545850116461045,0.07804510265271654,2.056582103695038,0.3703081375343196
Achilles_10252013,97,inhibitory,lCA1,10866,0.22164670623738117,533.8168330849714,1.810790722633643e-235,1.2871309017181332,52.944318716419964
Achilles_10252013,98,excitatory,lCA1,102,0.20883959254542997,4.448625492283203,0.011381284245759623,2.950718486202071,0.496992500375008
Achilles_10252013,101,excitatory,lCA1,534,0.260778516382266,36.31490207989011,9.258273287992124e-17,4.502260841368738,2.601901913727983
Achilles_10252013,103,excitatory,lCA1,200,0.07056151741779622,0.9957855480603918,0.3698951893924743,2.3361047445188814,0.9744950987745254
Achilles_10252013,107,inhibitory,lCA1,9507,0.29005755948341777,799.8561179427205,0.0,1.1530143901399068,46.32262452024707
Achilles_10252013,109,excitatory,lCA1,131,0.11903667126797277,1.8562345129592832,0.15633977988138345,5.23500488397921,0.6382942896973142
Achilles_10252013,110,excitatory,lCA1,43,0.05010381681805816,0.10794687576871369,0.898730896902758,4.396254570289023,0.20951644623652296
Achilles_10252013,112,excitatory,lCA1,756,0.1984728698049528,29.77995891675199,8.822668722603858e-14,3.4468359443277623,3.683591473367706
Achilles_10252013,113,excitatory,lCA1,1341,0.09736124602211925,12.711623596379686,2.9399455708494325e-06,4.8230519740761215,6.5339896372831925
Achilles_10252013,114,excitatory,lCA1,367,0.12604471983956075,5.830628603592043,0.002891603410229624,3.2631618338578097,1.7881985062512542
Achilles_10252013,116,excitatory,lCA1,364,0.1616012636153337,9.505848498354418,7.081545588774146e-05,4.092455748694839,1.7735810797696363
Achilles_10252013,117,excitatory,lCA1,80,0.13071392693210823,1.3668904555210024,0.25559019576825204,3.302089942533923,0.3897980395098102
Achilles_10252013,118,excitatory,lCA1,740,0.160357326796504,19.028709470417375,4.873104086206174e-09,4.03531857944267,3.6056318654657438
Achilles_10252013,121,excitatory,rCA1,45,0.13194003326190457,0.7833677569718617,0.4592843371303485,0.6961435154691742,0.2192613972242682
Achilles_10252013,123,excitatory,rCA1,811,0.056269059750450254,2.5677939460969896,0.07667007376496811,5.023737094786435,3.9515776255307005
Achilles_10252013,125,excitatory,rCA1,755,0.14363076429791913,15.575496321867321,1.6030375687787e-07,5.126405207159304,3.6787189978738333
Achilles_10252013,129,excitatory,rCA1,453,0.11026202486048577,5.507444499229474,0.004013231536711016,4.420003920355884,2.2072313987243
Achilles_10252013,135,inhibitory,rCA1,2397,0.31141705839302264,232.46246046681736,3.100446403326146e-104,4.058266237671728,11.679323758812687
Achilles_10252013,136,inhibitory,rCA1,7096,0.49174181776431786,1715.8838688395522,0.0,4.49415796058954,34.57508610452016
Achilles_10252013,137,excitatory,rCA1,777,0.03464158119547894,0.9324304177807402,0.3937220204992941,3.4591569769373294,3.785913458739031
Achilles_10252013,140,inhibitory,rCA1,3968,0.16052691229046015,102.25095381181205,2.0363576321237122e-45,1.3577168838778177,19.333982759686585
Achilles_10252013,143,excitatory,rCA1,149,0.1929411302044891,5.546715678963258,0.003771672403116092,0.42037560825453724,0.7259988485870215
Achilles_10252013,145,excitatory,rCA1,517,0.25060925564305453,32.47018449022035,4.830898439263348e-15,3.850126411757607,2.519069830332148
Achilles_10252013,146,excitatory,rCA1,1512,0.12274347291023316,22.779731734802493,1.18208959885109e-10,5.147485549418526,7.367182946735412
Achilles_10252013,148,excitatory,rCA1,354,0.5851529590386778,121.21101085698908,9.195114196619e-59,4.494456557717077,1.72485632483091
Achilles_10252013,151,excitatory,rCA1,177,0.3796361605523468,25.509879748610114,3.3527691511306856e-12,4.512572841867669,0.862428162415455
Achilles_10252013,161,excitatory,rCA1,269,0.12752658783872242,4.374755232956807,0.012469477164663354,0.04773796946523609,1.3106959078517366
Achilles_10252013,163,excitatory,rCA1,347,0.1639405052397043,9.32614177261258,8.473629226563269e-05,3.520872301446532,1.6907489963738016
Achilles_10252013,168,inhibitory,rCA1,6048,0.555595986516485,1866.938372610552,0.0,4.438423287719411,29.46873178694165
Achilles_10252013,169,excitatory,rCA1,44,0.3470924567608343,5.30081963577195,0.004492219386185542,1.463483516049197,0.2143889217303956
Achilles_10252013,171,excitatory,rCA1,66,0.4638772568314829,14.202019220763104,3.2689285353155225e-07,1.7702832746961663,0.3215833825955934
