session,track_len,n_pyr,n_place,n_ripples,ripple_rate,rate_nrem,rate_rem,rate_awake,rate_pre,rate_post,rate_maze,ripple_dur_ms,ripple_freq_hz,decoder_err_cm,run_speed,n_pre,n_post,frac_pre,frac_post,frac_ctrl,replay_speed,ev,rev,n_pairs,frac_ctrl_n
Achilles-10252013,160.0,120,106,14625,0.4195220075536795,0.6126494650723726,0.0014485755673587638,0.2885292888278498,0.40957991094886476,0.46003483243205745,0.2181378476420798,41.600000000016735,162.5,4.7299235460099665,42.325438514326095,1023,971,0.059628543499511244,0.1513903192584964,0.0625,283.57783109418574,0.08817857801101757,0.0007943103086292311,5565,400
Gatsby-08022013,160.0,66,44,14838,0.4878733967549021,0.6486486486486487,0.009881422924901186,0.3742345075566043,0.4263080237950255,0.4722106659606842,0.6436555179649694,43.20000000006985,162.5,5.4578351732848205,32.9625842421561,701,419,0.07845934379457917,0.08353221957040573,0.075,235.09633145646382,0.05769027900461838,0.0009519508795705017,946,400
Cicero-09172014,200.0,59,30,12402,0.3695448775633042,0.6915700462034696,0.016611295681063124,0.21991363982727966,0.33398538813926887,0.4420061180662491,0.21378907011501722,41.59999999956199,162.5,8.334354070783476,17.065087628889238,474,465,0.06118143459915612,0.0967741935483871,0.0725,239.29221763799586,0.023841703032167375,0.005438734226269914,435,400
Buddy-06272013,160.0,48,35,10731,0.5096724246842748,0.5755178907721281,0.038366336633663366,0.5026117237376668,0.3630375353380793,0.4222907587998052,1.4853313861088442,44.799999999668216,162.5,7.818839135314931,44.207419977090055,482,313,0.04979253112033195,0.06389776357827476,0.06,238.08946718091602,0.035172701767295825,0.0030500266682357176,595,400
