template,wcorr,slope,p_circ,p_perm,max_p,significant
right,-0.29390079536424973,-239.4182841416654,0.3117206982543641,0.4239401496259352,0.4239401496259352,False
right,-0.024954126396693563,-15.57537142029028,0.9975062344139651,0.9900249376558603,0.9975062344139651,False
right,-0.2259252027054424,-126.44734224261221,0.40648379052369077,0.48129675810473815,0.48129675810473815,False
left,-0.11922889948659145,-43.96309305216979,0.6334164588528678,0.7256857855361596,0.7256857855361596,False
left,0.08975123943848931,69.60027462589069,0.9027431421446384,0.8877805486284289,0.9027431421446384,False
left,0.3157229423953917,197.50837191676075,0.09476309226932668,0.22194513715710723,0.22194513715710723,False
right,-0.45667376787827446,-219.85634910040858,0.004987531172069825,0.02743142144638404,0.02743142144638404,True
right,0.35439246729016866,206.79524295143082,0.05486284289276808,0.24189526184538654,0.24189526184538654,False
left,-0.2198996516465863,-126.06151846931643,0.43640897755610975,0.5187032418952618,0.5187032418952618,False
right,0.4646508124902972,209.5584820202447,0.004987531172069825,0.017456359102244388,0.017456359102244388,True
right,0.34132869021217677,159.4025117028428,0.034912718204488775,0.1396508728179551,0.1396508728179551,False
right,-0.2241548084370507,-111.42297456652186,0.2942643391521197,0.4463840399002494,0.4463840399002494,False
left,-0.18496446911336517,-84.34818855604618,0.38902743142144636,0.5960099750623441,0.5960099750623441,False
right,-0.07075255950238496,-49.40666298379591,0.912718204488778,0.9551122194513716,0.9551122194513716,False
right,-0.532524923823607,-283.98999946370037,0.007481296758104738,0.02743142144638404,0.02743142144638404,True
right,-0.2871318815461071,-196.00830758704316,0.08728179551122195,0.341645885286783,0.341645885286783,False
right,0.3262607320967648,178.64640090638505,0.09975062344139651,0.2144638403990025,0.2144638403990025,False
left,0.20183005972213341,144.09082699734097,0.57356608478803,0.6533665835411472,0.6533665835411472,False
right,-0.0436685660221494,-25.031741325701553,0.9750623441396509,0.9675810473815462,0.9750623441396509,False
right,-0.03138441778579572,-21.11960606520692,0.9800498753117207,0.9875311720698254,0.9875311720698254,False
left,0.3969148079162132,213.20808013752116,0.06234413965087282,0.1745635910224439,0.1745635910224439,False
left,0.06018200895796371,43.04700539427091,0.9526184538653366,0.942643391521197,0.9526184538653366,False
left,0.19015431312968475,137.78204529496907,0.3541147132169576,0.7107231920199502,0.7107231920199502,False
right,0.24487889641437421,101.14039966552248,0.20698254364089774,0.3765586034912718,0.3765586034912718,False
right,0.1956406312986752,108.96049781950111,0.4613466334164589,0.5561097256857855,0.5561097256857855,False
left,-0.2692774004372615,-126.04907679890187,0.10473815461346633,0.341645885286783,0.341645885286783,False
right,0.2333492498769723,105.18100485552735,0.1970074812967581,0.3865336658354115,0.3865336658354115,False
left,-0.3328619485346248,-180.0051813932303,0.07231920199501247,0.19451371571072318,0.19451371571072318,False
right,0.2602936724663667,178.99188386763635,0.30174563591022446,0.49875311720698257,0.49875311720698257,False
left,-0.4285625683758611,-188.53269082411327,0.0024937655860349127,0.032418952618453865,0.032418952618453865,True
right,0.25841114482198463,144.10934485108996,0.3092269326683292,0.5062344139650873,0.5062344139650873,False
right,0.18664141818113536,86.15365641881505,0.38902743142144636,0.543640897755611,0.543640897755611,False
right,-0.3710220089727169,-177.6653666888412,0.0399002493765586,0.09975062344139651,0.09975062344139651,False
left,0.2938501301624953,133.72074835008468,0.16957605985037408,0.23690773067331672,0.23690773067331672,False
right,0.5664305006054244,320.1670087566772,0.0024937655860349127,0.04239401496259352,0.04239401496259352,True
left,-0.20491289081126887,-129.23824143752546,0.5112219451371571,0.5810473815461347,0.5810473815461347,False
left,-0.4247507751234356,-300.69509580584156,0.034912718204488775,0.14214463840399003,0.14214463840399003,False
right,-0.40533719544324515,-262.22774857197044,0.05486284289276808,0.1546134663341646,0.1546134663341646,False
right,-0.11727238494159482,-46.96464037089338,0.6982543640897756,0.7930174563591023,0.7930174563591023,False
right,-0.29752367008033065,-152.81392181856938,0.16458852867830423,0.32917705735660846,0.32917705735660846,False
left,0.3072100693262772,226.11144836264035,0.314214463840399,0.3765586034912718,0.3765586034912718,False
right,0.3156781661392023,129.39227751291338,0.08229426433915212,0.12718204488778054,0.12718204488778054,False
left,-0.330419815907877,-240.91802930287216,0.12219451371571072,0.3316708229426434,0.3316708229426434,False
right,0.19637151408983736,123.46419692788979,0.49625935162094764,0.6259351620947631,0.6259351620947631,False
right,-0.3478777618626193,-123.75976208102405,0.05486284289276808,0.11471321695760599,0.11471321695760599,False
right,-0.5650422317620838,-339.1424439019172,0.0024937655860349127,0.00997506234413965,0.00997506234413965,True
