subject,session,unit,rate,kw_H,kw_p,bf,peak_net,width_oct,selectivity,latency_ms,n_trials,tune_2000,sem_2000,tune_4000,sem_4000,tune_8000,sem_8000,tune_16000,sem_16000,tune_32000,sem_32000
sub-LA9,ses-1,0,32.90893677276687,12.102290854152166,0.016606595362656483,4000.0,0.248203788373612,0.0,0.8,3.0000000000000444,7449,-1.2610169491525425,0.569997559064642,0.248203788373612,0.5540410242112526,-1.5416098226466575,0.5515191215563824,-2.5514950166112955,0.5593256891047618,-0.5163043478260869,0.5672483600410051
sub-LA9,ses-1,1,6.976411014835337,4.038850508348651,0.4007735381035901,4000.0,0.7968647942521228,0.0,0.7280947375483641,2.0000000000000435,7449,-0.5016949152542373,0.4720653895774064,0.7968647942521228,0.4638079763980444,0.286493860845839,0.46996589936923105,-0.07973421926910298,0.4746951146574427,-0.529891304347826,0.4917589983963572
sub-LA9,ses-1,2,12.347323468309561,4.600690964532664,0.330774525462534,8000.0,0.17735334242837653,0.0,0.8,4.163336342344337e-14,7449,-0.14915254237288136,0.5628209763279426,-0.6923579359895493,0.5375321917819548,0.17735334242837653,0.5482350379380572,-1.1295681063122924,0.5553162791565333,-0.29891304347826086,0.565398825730012
sub-LA9,ses-1,3,15.498710167311359,8.384801861657477,0.07845698756072766,32000.0,1.5081521739130435,0.0,0.756579772132296,8.000000000000048,7449,-0.4067796610169492,0.6762540865952089,-0.18288700195950358,0.6757522040131977,0.3274215552523875,0.7251901748715558,-0.8504983388704319,0.6988161397262244,1.5081521739130435,0.6810616636586151
sub-LA9,ses-1,4,17.7956365387749,17.56341280739114,0.0015016474764306905,4000.0,0.18288700195950358,1.0,0.6813753026634383,4.163336342344337e-14,7449,0.10847457627118644,0.5406679321391016,0.18288700195950358,0.5162707517680987,-1.7053206002728514,0.536820926202807,-2.471760797342193,0.5230232251443651,-0.7608695652173914,0.5417550066210565
sub-LA9,ses-1,5,16.13437767014746,5.704459263436621,0.22233333240162473,4000.0,0.9013716525146963,1.0,0.697079700259011,5.000000000000046,7449,-0.18983050847457628,0.6289928375098305,0.9013716525146963,0.617427150417617,0.4638472032742155,0.6235728888293535,-0.9302325581395349,0.6363137327319992,-0.9918478260869565,0.6144819951674944
sub-LA9,ses-1,6,10.870870189479087,7.424494505799848,0.11508522537180683,16000.0,1.5813953488372092,3.0,0.41127583549276514,4.163336342344337e-14,7449,0.8271186440677966,0.5598008901391871,1.3324624428478118,0.5504007194087293,0.9140518417462483,0.5745994881900128,1.5813953488372092,0.5621734776972117,-0.5706521739130435,0.568837959561827
sub-LA9,ses-1,7,11.215256468166817,7.8127973728167746,0.09868143171034639,16000.0,1.7408637873754154,2.0,0.5758273853573332,5.000000000000046,7449,-0.37966101694915255,0.6630866822767716,0.914435009797518,0.6244229408522387,1.0368349249658937,0.6459808495742421,1.7408637873754154,0.6089217725193456,-0.32608695652173914,0.6597175660007457
sub-LA9,ses-1,8,2.3440571073672207,12.897308668199113,0.011788616172368468,32000.0,0.24456521739130435,1.0,0.6369878183831672,4.163336342344337e-14,7449,-0.2711864406779661,0.27109449748472236,-0.248203788373612,0.2736342152416054,-0.9686221009549796,0.2781080892804365,0.19933554817275748,0.24462315327557557,0.24456521739130435,0.25555757459388023
sub-LA9,ses-1,10,4.731129308911321,3.468814473706123,0.4826359882978415,8000.0,0.8321964529331515,1.0,0.6068622051343837,1.0000000000000426,7449,0.02711864406779661,0.41924346865719314,0.2873938602220771,0.3753718531527562,0.8321964529331515,0.38015094356326684,-0.013289036544850499,0.388576367741371,0.4891304347826087,0.3663743838111086
