subject,session,unit,rate,kw_H,kw_p,bf,peak_net,width_oct,selectivity,latency_ms,n_trials,tune_2000,sem_2000,tune_4000,sem_4000,tune_8000,sem_8000,tune_16000,sem_16000,tune_32000,sem_32000
sub-LA9,ses-3,0,12.16876709864577,8.150415605206861,0.08622110168094062,2000.0,1.3454800280308339,0.0,0.7004006657145324,1.0000000000000426,7449,1.3454800280308339,0.5699196063995207,0.13994910941475827,0.5290117073875943,0.11004126547455295,0.5864854888918385,-1.1973684210526316,0.5472089807140744,0.42005420054200543,0.5304231506958768
sub-LA9,ses-3,1,2.639446276321013,8.511881837503527,0.07452788872404227,32000.0,0.39295392953929537,0.0,0.8,6.000000000000047,7449,-0.04204625087596356,0.288252424298962,-0.05089058524173028,0.2601119514600101,-0.6189821182943603,0.2804188265622435,-0.4473684210526316,0.26682947704605947,0.39295392953929537,0.260793546965989
sub-LA9,ses-3,2,4.392042850908381,6.173211767275858,0.18658075789746204,16000.0,0.5,1.0,0.6416791793105621,4.163336342344337e-14,7449,-0.08409250175192712,0.36974539291527936,0.03816793893129771,0.3406711039719261,0.3576341127922971,0.36172014450171047,0.5,0.3453916039958171,-0.2845528455284553,0.3225675768609047
sub-LA9,ses-3,3,19.576390924275817,5.578838840184103,0.23288591045339826,32000.0,0.7994579945799458,0.0,0.8,2.0000000000000435,7449,-1.079187105816398,0.8316287287725335,-0.43256997455470736,0.8125842380087819,-1.0041265474552958,0.7888957894683922,-2.3815789473684212,0.8089105895277451,0.7994579945799458,0.8340371583179255
sub-LA9,ses-3,4,26.568196115435416,20.326289708897963,0.00043051553870308,32000.0,0.962059620596206,1.0,0.630727878722718,1.0000000000000426,7449,-0.5886475122634899,1.0646887704230847,0.8142493638676844,1.0514014002618661,-2.5584594222833563,1.0186441182921402,-4.394736842105263,1.0616886583460021,0.962059620596206,1.0788822351690464
sub-LA9,ses-3,5,1.0778369392066651,5.959841765302146,0.20216745450825374,2000.0,0.44849334267694463,0.0,0.6725998288131736,1.0000000000000426,7449,0.44849334267694463,0.21860564770379276,0.19083969465648856,0.21245557329808515,-0.055020632737276476,0.2095073587248059,-0.02631578947368421,0.2154029627488572,0.0948509485094851,0.20592943070241831
sub-LA9,ses-3,6,3.7949256991424916,5.437557375878046,0.24527300486264836,4000.0,0.27989821882951654,0.0,0.8,4.163336342344337e-14,7449,-0.350385423966363,0.339439978572725,0.27989821882951654,0.32578226132476107,-0.38514442916093533,0.326510718091692,-0.3026315789473684,0.32193901951463966,-0.3252032520325203,0.3469495607603781
sub-LA9,ses-3,7,4.778928047040314,1.4069309839963882,0.8429894876675859,8000.0,0.04126547455295736,0.0,0.8,1.0000000000000426,7449,-0.22424667133847231,0.3812143437836953,-0.16539440203562342,0.358248686826268,0.04126547455295736,0.3729129197484819,-0.2236842105263158,0.3356707296079839,-0.013550135501355014,0.37133288415718135
sub-LA9,ses-3,8,3.7352007117464816,39.83501586193455,4.6821589671732145e-08,16000.0,2.8421052631578947,0.0,0.5821131377819637,3.0000000000000444,7449,-0.02803083391730904,0.3220489080840627,1.0305343511450382,0.3039691120317856,1.3204951856946354,0.34074545468727446,2.8421052631578947,0.33836652972991255,0.7452574525745257,0.3180533289195934
sub-LA9,ses-3,9,5.060697265355269,30.974157074823527,3.0987815186286754e-06,8000.0,1.1279229711141678,0.0,0.7726631001418633,4.000000000000045,7449,0.15416958654519972,0.37683367239516447,-0.44529262086513993,0.3400115593763466,1.1279229711141678,0.38103911367020465,-1.4473684210526316,0.31359971974653567,-0.3252032520325203,0.3495855538103228
