,area,gosi,osi,gdsi,dsi,peak,base,sg_gosi,sg_pref,dg_pref_ori,p
951851547,LP,0.20763567641648287,0.31677865455747184,0.23636918173375737,0.534460564094581,19.650188321899336,5.5953150065370245,0.07298209071199176,79.00847090949594,73.78932489633858,0.05970149253731343
951851557,LP,0.031052315471884865,0.05216948349316268,0.01211427169427677,0.046015737774529664,35.20389045873874,29.025741193824697,0.01887545026511032,14.186932909324703,16.74583808504991,0.004975124378109453
951851661,LP,0.1414591791367802,0.23717380095867827,0.11961435871809767,0.3018281755662051,48.62595343006758,32.839223520299484,0.016150691588897197,171.60477695899618,76.13707128500013,0.014925373134328358
951851709,LP,0.021658712136234184,0.013991941604713093,0.01321220092816969,0.03995304085758204,60.2496866885536,44.91248783496224,0.049742363108266734,177.945241918824,170.14490616535068,0.1890547263681592
951851731,LP,0.0527734941808999,0.0319849497592053,0.015478175556556015,0.02974106088077538,68.60928350095996,48.82584829479736,0.032468792557171895,170.4960983296435,170.70066902443293,0.004975124378109453
951851758,LP,0.30528501627593463,0.5199956995901651,0.3091023426652624,0.7575788357860874,1.931730163890859,0.3830132674773036,0.22824027585464862,77.42288634479162,29.195975995028927,0.26865671641791045
951851772,LP,0.08847702699086721,0.09908146557092659,0.012051823185685118,0.08624996355590954,81.16545227567082,35.02075667151685,0.13684170327099693,103.94590996731753,159.95437027240112,0.004975124378109453
951851798,LP,0.03519148807321242,0.01862081717860275,0.08189263734045364,0.231555339015358,31.973156040039267,20.06656176955109,0.04325226556183007,100.86845787274105,9.16707783767801,0.7810945273631841
951851829,LP,0.1670975252358065,0.15678044265017235,0.4822338941265092,0.8534801063291483,8.426266760321264,6.27807082838556,0.1023115421577526,97.87063618764871,17.847627087614256,0.3333333333333333
951851838,LP,0.25502263519738483,0.19092308207780057,0.05445208797757052,0.14323421014957485,14.487888625599682,0.09991698564396655,0.05589547176660544,177.65679623787548,167.25972205677016,0.014925373134328358
951851850,LP,0.09292992700540845,0.036240379913708286,0.056708535683856844,0.15273058491231528,66.11133115387453,36.11976805671955,0.03631822773599115,14.994826195678947,173.69613641763718,0.014925373134328358
951851864,LP,0.17543950353147894,0.31658960881119796,0.15042693463806778,0.24899615723119042,20.71593960610331,3.0640939104288476,0.20156073008331588,76.10024745143579,46.01623867351536,0.03980099502487562
951851873,LP,0.055950233070795406,0.01813856813112136,0.02401623693178538,0.0380340844161647,107.70988490560748,62.99735300225256,0.0416940397921826,17.46910871834834,174.9165328237482,0.01990049751243781
951851898,LP,0.07361591721398258,0.0766526110829162,0.32886822139491645,0.6497543675345742,16.785925801936543,4.27974284584023,0.12588706264530336,99.25767355964715,20.944656316458452,0.7114427860696517
