start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch,session,r,slope,direction,p_column,p_placefield,p_timebin,significant,n_bins
3499.3176,3499.3736,3499.3408,12.959159851074219,0.056,0.00037230062298476696,191.91082840432108,Non-REM,PRE,Achilles_10252013,-0.2100255106262281,-2.6416668144507667,right,0.5588822355289421,0.7045908183632734,0.7884231536926147,False,5
3504.46,3504.52,3504.4984,9.40040397644043,0.06,0.0002659524616319686,183.98754085071442,Non-REM,PRE,Achilles_10252013,0.26363805316208927,3.25112566014369,left,0.7784431137724551,0.8223552894211577,0.8263473053892215,False,5
3512.1768,3512.2312,3512.2,10.137264251708984,0.0544,0.0002843329275492579,174.30032609678366,Non-REM,PRE,Achilles_10252013,-0.40824850470775204,-7.969081123573096,right,0.17764471057884232,0.3373253493013972,0.3712574850299401,False,5
3513.5352,3513.6528,3513.5608,9.678948402404785,0.1176,0.0002731076965574175,168.97086948777806,Non-REM,PRE,Achilles_10252013,0.231588221234471,1.6625280727453375,left,0.5768463073852296,0.716566866267465,0.5848303393213573,False,8
3513.8592,3513.9112,3513.88,11.527327537536621,0.052,0.0003761165135074407,168.7223487371324,Non-REM,PRE,Achilles_10252013,-0.6379662659943125,-14.26633189681303,right,0.15768463073852296,0.3153692614770459,0.2714570858283433,False,5
3518.7456,3518.8032,3518.7664,10.905667304992676,0.0576,0.0003706701681949198,188.08540408239887,Non-REM,PRE,Achilles_10252013,0.5681879540607759,7.793198482269539,right,0.1377245508982036,0.34930139720558884,0.08782435129740519,False,5
3521.4184,3521.4712,3521.4376,10.205639839172363,0.0528,0.00031515947193838656,166.60122343779292,Non-REM,PRE,Achilles_10252013,-0.6499168548393882,-14.896470378543846,right,0.10778443113772455,0.22554890219560877,0.3532934131736527,False,5
3525.0768,3525.1368,3525.096,6.475356101989746,0.06,0.00024049350759014487,168.62598837220196,Non-REM,PRE,Achilles_10252013,0.1879513331949199,2.2423579997842857,right,0.8502994011976048,0.8602794411177644,0.8522954091816367,False,5
3526.888,3526.9656,3526.9056,8.184154510498047,0.0776,0.0002849264710675925,166.03367881459923,Non-REM,PRE,Achilles_10252013,-0.28365422256814155,-4.1343869619009,left,0.6087824351297405,0.6227544910179641,0.6726546906187625,False,6
3588.3232,3588.3992,3588.344,5.747120380401611,0.076,0.00018821236153598875,144.23193078238734,Non-REM,PRE,Achilles_10252013,0.32539778508046957,5.945978813247625,left,0.562874251497006,0.626746506986028,0.5688622754491018,False,6
3588.6256,3588.7408,3588.6448,9.028403282165527,0.1152,0.00028710917104035616,170.13729158466109,Non-REM,PRE,Achilles_10252013,-0.2621721540499956,-3.2909206520437486,right,0.6087824351297405,0.5429141716566867,0.6846307385229541,False,8
3594.6024,3594.6528,3594.6248,10.431865692138672,0.0504,0.00032730321981944144,169.51766323961843,Non-REM,PRE,Achilles_10252013,0.46021844748501983,6.026145122038731,left,0.25948103792415167,0.4151696606786427,0.4091816367265469,False,5
3595.2464,3595.3,3595.2776,7.7020697593688965,0.0536,0.00021070439834147692,160.82876950114357,Non-REM,PRE,Achilles_10252013,0.6929619766247973,14.095476391428637,right,0.005988023952095809,0.03592814371257485,0.17564870259481039,False,5
3602.9216,3603.0448,3602.9456,11.769343376159668,0.1232,0.00036291516153141856,177.00292453817517,Non-REM,PRE,Achilles_10252013,-0.43145920249517067,-3.8644234493220466,left,0.18363273453093812,0.15568862275449102,0.2554890219560878,False,8
3603.524,3603.576,3603.5424,5.942546367645264,0.052,0.00021085466141812503,149.47394120161283,Non-REM,PRE,Achilles_10252013,-0.459999483853837,-10.617471736312954,left,0.1437125748502994,0.2315369261477046,0.4870259481037924,False,5
3608.02,3608.072,3608.0496,9.538580894470215,0.052,0.00027645035879686475,192.69465806807125,Non-REM,PRE,Achilles_10252013,0.5259513081398814,8.136781583826146,left,0.005988023952095809,0.16167664670658682,0.11377245508982035,False,5
3614.1784,3614.2344,3614.2048,13.327460289001465,0.056,0.00038610678166151047,165.2640453099038,Non-REM,PRE,Achilles_10252013,0.10896344715963113,2.3101282878578115,left,0.9301397205588823,0.9680638722554891,0.9840319361277445,False,5
3617.9912,3618.0464,3618.0272,8.341054916381836,0.0552,0.00026753125712275505,180.09289672848638,Non-REM,PRE,Achilles_10252013,0.2802079815027502,4.884467320541029,left,0.6287425149700598,0.7045908183632734,0.624750499001996,False,5
3621.5528,3621.6048,3621.5776,7.66050910949707,0.052,0.00021284102695062757,161.9542977106658,Non-REM,PRE,Achilles_10252013,-0.33162856832939586,-5.656261330002231,right,0.5608782435129741,0.5588822355289421,0.41916167664670656,False,5
3624.744,3624.864,3624.8264,13.428999900817871,0.12,0.0004105317348148674,173.2376062051912,Non-REM,PRE,Achilles_10252013,0.4377147662218755,4.797734629113721,left,0.12375249500998003,0.4111776447105788,0.3333333333333333,False,8
3625.6264,3625.6792,3625.656,8.499099731445312,0.0528,0.00026679091388359666,162.00092393782225,Non-REM,PRE,Achilles_10252013,0.09039171907109778,1.6640483236869863,left,0.9321357285429142,0.9461077844311377,0.9520958083832335,False,5
3626.2608,3626.3232,3626.284,6.1215972900390625,0.0624,0.00019711816275957972,170.829401224497,Non-REM,PRE,Achilles_10252013,0.3199949802092517,4.090759748407591,left,0.49101796407185627,0.6926147704590818,0.7584830339321357,False,5
3637.0736,3637.1352,3637.092,8.30447769165039,0.0616,0.00033657989115454257,191.08159490137893,Non-REM,PRE,Achilles_10252013,-0.2455931959450133,-3.889413404085175,left,0.3932135728542914,0.7305389221556886,0.7564870259481038,False,5
3637.4448,3637.4952,3637.4696,12.517122268676758,0.0504,0.0003574889269657433,175.72979428824436,Non-REM,PRE,Achilles_10252013,-0.017597855100446664,-0.38894522897761763,left,0.9940119760479041,0.9880239520958084,0.9920159680638723,False,5
3652.2616,3652.3536,3652.3072,11.17992115020752,0.092,0.00032150870538316667,178.44165725908093,Non-REM,PRE,Achilles_10252013,-0.20458632428487614,-3.3379670174443,left,0.780439121756487,0.8622754491017964,0.8522954091816367,False,7
3653.3832,3653.456,3653.4032,6.0494232177734375,0.0728,0.0001966759009519592,146.3512504907904,Non-REM,PRE,Achilles_10252013,-0.4115609102826674,-5.7465329225158275,left,0.20159680638722555,0.45708582834331335,0.36726546906187624,False,6
3657.9352,3658.056,3657.96,13.2628755569458,0.1208,0.00035160069819539785,166.70707522458935,Non-REM,PRE,Achilles_10252013,0.15474194333107927,1.5974702357678798,left,0.8283433133732535,0.8882235528942116,0.7504990019960079,False,8
4033.1168,4033.212,4033.1808,6.599381923675537,0.0952,0.00020163363660685718,156.81072533382394,Non-REM,PRE,Achilles_10252013,-0.21019663424028487,-2.2781774450237564,right,0.6606786427145709,0.7924151696606786,0.7365269461077845,False,7
4034.6672,4034.7896,4034.7632,8.853570938110352,0.1224,0.0003023013996426016,157.42729052564403,Non-REM,PRE,Achilles_10252013,0.29555952247939016,2.5177399118010766,left,0.5089820359281437,0.5688622754491018,0.5868263473053892,False,8
4035.4144,4035.468,4035.448,8.614797592163086,0.0536,0.00026420061476528645,166.1850121518251,Non-REM,PRE,Achilles_10252013,0.529125514590931,8.390748086958109,left,0.0998003992015968,0.2155688622754491,0.32934131736526945,False,5
4035.7224,4035.7808,4035.7512,12.01254653930664,0.0584,0.0003743102424778044,175.50860270385334,Non-REM,PRE,Achilles_10252013,-0.2988809047375105,-4.022868561951073,left,0.4311377245508982,0.7045908183632734,0.716566866267465,False,5
4042.5776,4042.6768,4042.6512,10.740883827209473,0.0992,0.00031140720238909125,159.90037083820664,Non-REM,PRE,Achilles_10252013,-0.40754690345582223,-6.122708564178689,right,0.23353293413173654,0.49700598802395207,0.3972055888223553,False,7
4042.8008,4042.852,4042.8256,13.006083488464355,0.0512,0.00036084363819099963,172.93071629724636,Non-REM,PRE,Achilles_10252013,0.23540152991265464,4.062422424331359,right,0.7085828343313373,0.8003992015968064,0.6407185628742516,False,5
4045.5248,4045.5816,4045.5552,7.894155025482178,0.0568,0.00023942432017065585,146.58309441777595,Non-REM,PRE,Achilles_10252013,-0.3118329209758595,-7.198490071169728,left,0.5808383233532934,0.5588822355289421,0.5668662674650699,False,5
4053.4528,4053.5768,4053.5504,8.690751075744629,0.124,0.0002859829692170024,170.82468323460887,Non-REM,PRE,Achilles_10252013,-0.4546801766982589,-5.013474400272135,right,0.13373253493013973,0.3373253493013972,0.17964071856287425,False,8
4060.5728,4060.6456,4060.604,9.380757331848145,0.0728,0.00026878889184445143,148.55088425820412,Non-REM,PRE,Achilles_10252013,0.6132423063147142,10.99989696048439,right,0.05189620758483034,0.2055888223552894,0.10778443113772455,False,6
4061.1536,4061.2112,4061.1808,8.973825454711914,0.0576,0.00031174792093224823,195.2708942809117,Non-REM,PRE,Achilles_10252013,-0.23059682630991649,-3.291947085454603,left,0.7445109780439122,0.8283433133732535,0.780439121756487,False,5
4069.9512,4070.0088,4069.9784,9.969986915588379,0.0576,0.0003292887413408607,159.0651990131157,Non-REM,PRE,Achilles_10252013,0.6815207759659653,14.461568536637461,left,0.09580838323353294,0.11377245508982035,0.17165668662674652,False,5
4070.6304,4070.6832,4070.6448,6.587553024291992,0.0528,0.0002713378635235131,165.91345469663278,Non-REM,PRE,Achilles_10252013,0.09977658885126586,1.9099888522632291,right,0.9461077844311377,0.9421157684630739,0.9800399201596807,False,5
4074.6576,4074.8064,4074.7496,7.243725299835205,0.1488,0.0002950561756733805,159.16867522327135,Non-REM,PRE,Achilles_10252013,0.3765660566819114,3.8563065204950253,right,0.26147704590818366,0.48303393213572854,0.3013972055888224,False,9
