start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch,session
10054.7904,10054.8432,10054.8128,12.709122657775879,0.0528,0.00014114167424850166,156.05467287049936,Non-REM,PRE,Gatsby_08022013
10056.864,10056.9064,10056.8832,5.183034896850586,0.0424,5.437820072984323e-05,149.1979645403416,Non-REM,PRE,Gatsby_08022013
10065.7112,10065.776,10065.7336,9.09310245513916,0.0648,0.00012777780648320913,159.38283304635704,Non-REM,PRE,Gatsby_08022013
10069.6176,10069.712,10069.6856,12.906542778015137,0.0944,0.00013327742635738105,152.8566701009804,Non-REM,PRE,Gatsby_08022013
10069.7424,10069.7752,10069.7592,5.8469133377075195,0.0328,6.749510066583753e-05,167.16946215239187,Non-REM,PRE,Gatsby_08022013
10070.1104,10070.1408,10070.1256,6.124608516693115,0.0304,9.828858310356736e-05,153.04766384804597,Non-REM,PRE,Gatsby_08022013
10070.1736,10070.2848,10070.2576,8.85602855682373,0.1112,0.00010225122969131917,145.67570402810048,Non-REM,PRE,Gatsby_08022013
10075.4744,10075.58,10075.4888,5.696893692016602,0.1056,7.909564737929031e-05,156.17017666148953,Non-REM,PRE,Gatsby_08022013
10080.3928,10080.4424,10080.42,7.759392738342285,0.0496,8.27865515020676e-05,159.4019544010961,Non-REM,PRE,Gatsby_08022013
10082.0096,10082.0472,10082.0296,6.945154666900635,0.0376,8.913285273592919e-05,156.40117316769087,Non-REM,PRE,Gatsby_08022013
10090.4,10090.44,10090.4184,9.293320655822754,0.04,9.959937597159296e-05,163.06233414224138,Non-REM,PRE,Gatsby_08022013
10092.9392,10092.9832,10092.9616,8.465057373046875,0.044,9.738453809404746e-05,153.61770190161346,Non-REM,PRE,Gatsby_08022013
10099.16,10099.204,10099.184,6.30743408203125,0.044,7.892063877079636e-05,141.10769754052603,Non-REM,PRE,Gatsby_08022013
10099.4888,10099.5288,10099.5056,7.681961536407471,0.04,0.00010353280958952382,152.6818493963359,Non-REM,PRE,Gatsby_08022013
10110.7376,10110.7888,10110.76,5.767215728759766,0.0512,8.099016849882901e-05,153.08025560627163,Non-REM,PRE,Gatsby_08022013
10113.832,10113.9352,10113.9024,6.9896440505981445,0.1032,7.581847603432834e-05,160.98717289926498,Non-REM,PRE,Gatsby_08022013
10121.3552,10121.3856,10121.372,5.115070819854736,0.0304,8.007128781173378e-05,153.8957301777215,Non-REM,PRE,Gatsby_08022013
10122.7256,10122.7784,10122.7608,5.322327136993408,0.0528,7.852890848880634e-05,151.32237426487615,Non-REM,PRE,Gatsby_08022013
10124.7168,10124.7648,10124.7368,7.751422882080078,0.048,9.279264486394823e-05,149.38695560404054,Non-REM,PRE,Gatsby_08022013
10125.1912,10125.26,10125.2288,10.6931791305542,0.0688,0.00011166826152475551,145.77257824093897,Non-REM,PRE,Gatsby_08022013
10126.0856,10126.2032,10126.1704,6.0954413414001465,0.1176,9.202471119351685e-05,162.88312653506966,Non-REM,PRE,Gatsby_08022013
10126.24,10126.2992,10126.2592,8.38676929473877,0.0592,9.765112918103114e-05,141.7404845194209,Non-REM,PRE,Gatsby_08022013
10127.2152,10127.2912,10127.236,5.664788722991943,0.076,8.37529732962139e-05,176.7403535155675,Non-REM,PRE,Gatsby_08022013
10141.96,10142.0704,10142.0488,7.339442729949951,0.1104,8.801033982308581e-05,141.1293835278504,Non-REM,PRE,Gatsby_08022013
10147.6136,10147.692,10147.6496,9.859114646911621,0.0784,0.00010372349061071873,158.1514121862443,Non-REM,PRE,Gatsby_08022013
10147.7528,10147.8064,10147.7792,8.816852569580078,0.0536,9.819387923926115e-05,154.0415341545527,Non-REM,PRE,Gatsby_08022013
10149.584,10149.6552,10149.6184,8.404072761535645,0.0712,9.576160664437339e-05,168.39810562612553,Non-REM,PRE,Gatsby_08022013
10154.1112,10154.1528,10154.132,6.905819892883301,0.0416,7.616161019541323e-05,146.31068249416555,Non-REM,PRE,Gatsby_08022013
10154.24,10154.2872,10154.2648,7.083734512329102,0.0472,9.077756112674251e-05,146.96708987499483,Non-REM,PRE,Gatsby_08022013
10157.1872,10157.236,10157.2176,6.695648193359375,0.0488,0.0001044367891154252,148.3064721844841,Non-REM,PRE,Gatsby_08022013
10159.1864,10159.3192,10159.2968,6.296197891235352,0.1328,7.561333040939644e-05,149.52745486906946,Non-REM,PRE,Gatsby_08022013
10162.2048,10162.2728,10162.2344,9.897480010986328,0.068,0.00010190011380473152,151.4855389821014,Non-REM,PRE,Gatsby_08022013
10163.6064,10163.6456,10163.6248,7.635416030883789,0.0392,8.558000990888104e-05,158.93014373260706,Non-REM,PRE,Gatsby_08022013
10163.8736,10163.9096,10163.888,5.547369956970215,0.036,7.211561023723334e-05,168.543238717149,Non-REM,PRE,Gatsby_08022013
10167.1344,10167.196,10167.1656,11.677067756652832,0.0616,0.0001303569006267935,156.06941725619026,Non-REM,PRE,Gatsby_08022013
10168.3,10168.3608,10168.3256,11.994427680969238,0.0608,0.00012870087812189013,146.11316261723084,Non-REM,PRE,Gatsby_08022013
10169.9952,10170.0416,10170.0152,8.200986862182617,0.0464,9.802924614632502e-05,149.21263145982988,Non-REM,PRE,Gatsby_08022013
10172.0768,10172.1104,10172.0944,5.45991325378418,0.0336,7.155934144975618e-05,169.0710258949651,Non-REM,PRE,Gatsby_08022013
10189.0136,10189.0664,10189.0376,10.01980972290039,0.0528,0.00011843135143863037,167.31649531897392,Non-REM,PRE,Gatsby_08022013
10192.7584,10192.8232,10192.7872,7.3508195877075195,0.0648,9.775618673302233e-05,165.7777144595437,Non-REM,PRE,Gatsby_08022013
10198.9816,10199.024,10199.0016,6.552694320678711,0.0424,9.204728848999366e-05,147.27140951000428,Non-REM,PRE,Gatsby_08022013
10200.012,10200.0624,10200.0328,9.826387405395508,0.0504,0.00010214000940322876,157.41934910117584,Non-REM,PRE,Gatsby_08022013
10201.6304,10201.7432,10201.6592,15.688947677612305,0.1128,0.0001620304974494502,147.75411916443784,Non-REM,PRE,Gatsby_08022013
10201.852,10201.904,10201.8704,9.937784194946289,0.052,0.00012470691581256688,146.31470011581274,Non-REM,PRE,Gatsby_08022013
10207.8224,10207.8632,10207.8432,9.357061386108398,0.0408,9.930074156727642e-05,151.32387854789351,Non-REM,PRE,Gatsby_08022013
10209.3344,10209.3752,10209.3552,8.340985298156738,0.0408,0.0001093969403882511,165.22477192529317,Non-REM,PRE,Gatsby_08022013
10212.692,10212.7328,10212.7136,6.28603458404541,0.0408,7.249507325468585e-05,177.31069970588328,Non-REM,PRE,Gatsby_08022013
10216.5344,10216.5616,10216.5472,5.496245861053467,0.0272,8.461244578938931e-05,165.24710715573596,Non-REM,PRE,Gatsby_08022013
10219.4352,10219.4872,10219.4648,5.368438243865967,0.052,7.593051122967154e-05,160.2338802148638,Non-REM,PRE,Gatsby_08022013
10221.5088,10221.632,10221.5392,5.7735137939453125,0.1232,8.053168858168647e-05,155.4038887431699,Non-REM,PRE,Gatsby_08022013
10226.0344,10226.0792,10226.052,6.436339855194092,0.0448,8.879753295332193e-05,149.25633459179576,Non-REM,PRE,Gatsby_08022013
10230.3056,10230.372,10230.34,13.708971977233887,0.0664,0.0001293281966354698,148.77454284515437,Non-REM,PRE,Gatsby_08022013
10230.4088,10230.4696,10230.4424,8.847699165344238,0.0608,0.00010088669660035521,157.3217922013184,Non-REM,PRE,Gatsby_08022013
10232.6552,10232.7064,10232.6784,7.365367889404297,0.0512,8.783068915363401e-05,143.7984051483672,Non-REM,PRE,Gatsby_08022013
10233.9512,10234.0224,10233.972,5.760227680206299,0.0712,6.911712262080982e-05,154.66732917646084,Non-REM,PRE,Gatsby_08022013
10242.932,10243.0256,10242.9976,9.9035062789917,0.0936,0.0001280712167499587,159.6097113381946,Non-REM,PRE,Gatsby_08022013
10244.1904,10244.2448,10244.2176,9.71343994140625,0.0544,0.00011914846982108429,169.27643991603378,Non-REM,PRE,Gatsby_08022013
10246.1088,10246.1488,10246.1232,5.795068740844727,0.04,8.045152935665101e-05,159.8625294408445,Non-REM,PRE,Gatsby_08022013
