session,n_units,n_hd,pct_hd,wake_min,max_R
Mouse12-120807,77,18,23.376623376623375,168.18333333333334,0.8680142550854117
Mouse12-120808,81,8,9.876543209876543,209.43333333333334,0.5166078003202654
Mouse17-130130,46,13,28.26086956521739,147.16666666666666,0.7936807779598438
Mouse24-131213,22,3,13.636363636363635,77.18333333333334,0.8713493983985792
Mouse28-140313,73,31,42.465753424657535,284.0833333333333,0.8227011360622268
