session,subject,maze,track_len,n_units_total,n_units_used,n_laps,run_time,n_place,n_pairs,frac_place,frac_place_strict,frac_place_any,median_err,chance_err,seconds
Achilles_10252013,Achilles,1.6mLinearMaze,1.6,137,105,82,203.99288960500002,151,210,0.719047619047619,0.7095238095238096,0.9047619047619048,0.06774402599230733,0.4427668959986564,78.07579803466797
Buddy_06272013,Buddy,1.6mLinearMaze,1.6,68,30,51,125.349581608,38,60,0.6333333333333333,0.5833333333333334,0.9,0.11015838944900036,0.4724019838795144,13.802401065826416
Cicero_09012014,Cicero,1.6mLinearMaze,1.6,73,41,88,447.077113694,49,82,0.5975609756097561,0.5853658536585366,0.7317073170731707,0.09754416629113594,0.48590255964720197,16.57777428627014
Cicero_09172014,Cicero,2mLinearMaze,2.0,72,51,58,492.273408603,70,102,0.6862745098039216,0.6568627450980392,0.803921568627451,0.11930760812922052,0.5778424471234951,27.02170991897583
Gatsby_08022013,Gatsby,1.6mLinearMaze,1.6,80,44,83,313.394663187,63,88,0.7159090909090909,0.6704545454545454,0.8636363636363636,0.07914109405634995,0.49360361055298246,12.180024147033691
