unit,n_spikes,base_rate,wilcoxon_p,kw_p,tone_responsive,frequency_tuned,best_frequency,mean_rate,rate_2000,rate_4000,rate_8000,rate_16000,rate_32000,session
0,30017,0.0,0.0,1.3336509725127204e-35,True,True,8000.0,5.255591350442126,4.062777613266213,4.648961968415449,7.698047506529039,6.124134426021219,3.7440352379787107,LA12_ses-2
1,10699,0.0,7.820615392125225e-86,3.6129243559286003e-07,True,True,2000.0,1.1215473828120694,1.4213799230085873,1.3840421127343703,0.6964307921900261,0.6988120195667366,1.4070720665606267,LA12_ses-2
2,5785,0.0,1.3512362764224838e-38,1.1255360591064406e-11,True,True,32000.0,0.4923742962571679,0.6040864672786497,0.4140296918436151,0.26116154707125977,0.21599644241153676,0.9665973326807782,LA12_ses-2
3,41099,0.0,0.0,1.4401924456529758e-08,True,True,32000.0,4.883987143039171,5.4841575362748,5.074821080026024,4.937196866061435,3.417826059335493,5.505934173498104,LA12_ses-2
4,78232,0.0,0.0,4.699272005581423e-25,True,True,8000.0,12.974679870523488,13.408350607047675,10.918554444904478,14.985698296231812,14.903754526396035,10.65704147803744,LA12_ses-2
5,7251,0.0,2.0725900728957728e-47,3.580070723194161e-16,True,True,32000.0,0.5315579815957372,0.414569144210838,0.6387886674158633,0.186543962193757,0.2922304809097262,1.1256576532485012,LA12_ses-2
6,6109,0.0,5.0295844422514025e-48,3.4193382222608927e-13,True,True,32000.0,0.5131346897490683,0.5803968018951732,0.6151298278819424,0.16167143390125607,0.2541134616606315,0.954361923406338,LA12_ses-2
7,38501,0.0,2.4216342927930427e-253,8.750448954543199e-17,True,True,8000.0,3.6298203398203697,3.5771394729049453,3.5961436091559706,4.501927620942669,2.02020202020202,4.4536889758962435,LA12_ses-2
8,9691,0.0,8.053376150446293e-45,1.0671637372056513e-09,True,True,32000.0,0.689348207260761,0.6633106307373408,1.0528183592594782,0.2487252829250093,0.36846451940791564,1.1134222439740609,LA12_ses-2
9,29240,0.0,7.766940220113796e-183,1.8998349261537776e-12,True,True,32000.0,2.779513385164015,3.150725496002369,2.614301768498255,1.6788956597438132,2.464900578108125,3.9887434234675148,LA12_ses-2
10,23735,0.0,0.0,0.0,True,True,8000.0,13.404398029095436,8.96653834764584,5.157627018394748,34.37383410023629,16.187027507782226,2.3369631714180836,LA12_ses-2
11,79824,0.0,0.0,2.9878162068635536e-25,True,True,8000.0,12.919261450265363,13.053005626295528,11.368072396048975,16.440741201343116,12.502382313703068,11.232105713936132,LA12_ses-2
12,16223,0.0,2.3838293812182373e-160,5.886188442527696e-25,True,True,8000.0,2.2122609726758276,1.8477938999111638,1.4668480511030935,3.7184429797288896,2.058319039451115,1.969900893184877,LA12_ses-2
13,7170,0.0,0.0,0.0,True,True,8000.0,7.247835774006842,3.0204323363932484,0.8398888034541906,17.89578410645442,13.785655295089256,0.697418328643093,LA12_ses-2
