region,n,n_resp,frac_resp,n_sig,frac_sig,median_gosi_responsive
VISp,413,213,0.5157384987893463,161,0.3898305084745763,0.264805395234207
VISl,286,177,0.6188811188811189,130,0.45454545454545453,0.2518180655810526
VISrl,497,221,0.44466800804828976,166,0.33400402414486924,0.217582399614917
VISal,181,110,0.6077348066298343,78,0.430939226519337,0.18080492851173446
VISam,225,98,0.43555555555555553,73,0.3244444444444444,0.20204819267827362
VISpm,175,91,0.52,63,0.36,0.2189329961820554
LGd,195,73,0.37435897435897436,28,0.14358974358974358,0.0779241742550801
LP,375,113,0.30133333333333334,39,0.104,0.0801450139011471
CA1,370,25,0.06756756756756757,5,0.013513513513513514,0.0601829602829543
